host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:52:56.267283+00:00,109151.550519,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:52:56.317548+00:00,109151.600326,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,36352,1817650,1,0,1,0,0,1,0,2317304607,3092,26450,109069489,23092,0,-3.2684040,-0.0035773,"[-0.06347904354333878,-0.0021030011121183634,-0.03613102436065674,0.9973267316818237]","[-0.0008027816074900329,-0.0023139226250350475,-0.0035772966220974922]","[-0.07427699863910675,-0.7008939981460571,9.743605613708496]",0.0029106,28.523,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.368508+00:00,109151.650345,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36353,1817700,1,0,1,1,0,1,0,3079934748,0,64870,109151550,23093,0,-3.2682981,-0.0035515,"[-0.0634230449795723,-0.002017001621425152,-0.036125026643276215,0.9973306655883789]","[-0.002032156800851226,-0.004177568014711142,-0.003551500616595149]","[-0.07900500297546387,-0.7108969688415527,9.717309951782227]",0.0028571,28.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.418482+00:00,109151.700349,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36354,1817750,1,0,1,1,0,1,0,3079934748,1,12153,109151600,23094,0,-3.2682471,-0.0035588,"[-0.06339506059885025,-0.0019440019968897104,-0.03611603379249573,0.9973329305648804]","[0.0004116359050385654,-0.002945627085864544,-0.0035588485188782215]","[-0.07420100271701813,-0.7061449885368347,9.714897155761719]",0.0028571,28.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.468522+00:00,109151.750352,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36355,1817800,1,0,1,1,0,1,0,3079934748,2,35846,109151651,23095,0,-3.2681980,-0.0036130,"[-0.06336906552314758,-0.001902002259157598,-0.03613303601741791,0.9973340630531311]","[-0.002418293384835124,-0.0008477937080897391,-0.0036129539366811514]","[-0.06313499808311462,-0.7108359932899475,9.726286888122559]",0.0029982,29.383,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.518486+00:00,109151.800352,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36356,1817850,1,0,1,1,0,1,0,3079934748,3,19114,109151701,23096,0,-3.2681530,-0.0036695,"[-0.06334606558084488,-0.0018790018511936069,-0.03620403632521629,0.9973329901695251]","[-0.004433642607182264,0.0016606635181233287,-0.0036694849841296673]","[-0.07104899734258652,-0.7027570009231567,9.727676391601562]",0.0029982,29.383,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.568480+00:00,109151.850346,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36357,1817900,1,0,1,1,0,1,0,3079934748,4,39387,109151751,23097,0,-3.2681363,-0.0018204,"[-0.06333800405263901,-0.001873000175692141,-0.03632500395178795,0.9973291158676147]","[-0.00810333713889122,-0.00037206930574029684,-0.0018204308580607176]","[-0.06470300257205963,-0.7109270095825195,9.719873428344727]",0.0030445,29.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.617519+00:00,109151.900349,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36358,1817950,1,0,1,1,0,1,0,3079934748,5,25250,109151801,23098,0,-3.2681179,-0.0036732,"[-0.0633300170302391,-0.0018910003127530217,-0.036444008350372314,0.9973252415657043]","[-0.007484059315174818,0.0008485267753712833,-0.003673219820484519]","[-0.08139900118112564,-0.7059289813041687,9.72680377960205]",0.0030445,29.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.667679+00:00,109151.950324,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36359,1818000,1,0,1,1,0,1,0,3079934748,6,47847,109151851,23099,0,-3.2680552,-0.0024725,"[-0.06330104917287827,-0.0019380016019567847,-0.036611028015613556,0.997320830821991]","[-0.009309394285082817,0.0014996043173596263,-0.0024724509567022324]","[-0.0910160019993782,-0.7055550217628479,9.74827766418457]",0.0030572,29.961,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.718485+00:00,109152.000345,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36360,1818050,1,0,1,1,0,1,0,3079934748,7,1905,109151900,23100,0,-3.2679553,-0.0049183,"[-0.0632530078291893,-0.001969000091776252,-0.03679300844669342,0.9973171353340149]","[-0.009305782616138458,0.0014687469229102135,-0.004918250720947981]","[-0.10538200289011002,-0.6978700160980225,9.77438735961914]",0.0030572,29.961,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.767729+00:00,109152.050329,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36361,1818100,1,0,1,1,0,1,0,3079934748,8,19040,109151951,23101,0,-3.2678068,-0.0061621,"[-0.06318102031946182,-0.002005000365898013,-0.03699001297354698,0.9973143339157104]","[-0.010924470610916615,0.0020876582711935043,-0.006162059959024191]","[-0.09665200114250183,-0.7035840153694153,9.770574569702148]",0.0031880,31.242,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.818300+00:00,109152.100346,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36362,1818150,1,0,1,1,0,1,0,3079934748,9,60117,109152001,23102,0,-3.2675796,-0.0074267,"[-0.06307003647089005,-0.002048001391813159,-0.03719702363014221,0.9973135590553284]","[-0.010501664131879807,0.004564978647977114,-0.00742674246430397]","[-0.10780499875545502,-0.7001540064811707,9.78158950805664]",0.0033004,32.344,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.868422+00:00,109152.150283,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36363,1818200,1,0,1,1,0,1,0,3079934748,10,36411,109152051,23103,0,-3.2673163,-0.0086054,"[-0.06294006109237671,-0.00206200173124671,-0.03740503266453743,0.9973139762878418]","[-0.010514788329601288,0.0020541828125715256,-0.008605415932834148]","[-0.09828200191259384,-0.700124979019165,9.786495208740234]",0.0033004,32.344,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.918396+00:00,109152.200413,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36364,1818250,1,0,1,1,0,1,0,3079934748,11,8974,109152101,23104,0,-3.2670355,-0.0085796,"[-0.06280004233121872,-0.002047001151368022,-0.03759702667593956,0.9973156452178955]","[-0.009913173504173756,0.0008025722345337272,-0.008579602465033531]","[-0.09831099957227707,-0.6975359916687012,9.798452377319336]",0.0033004,32.344,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:56.968439+00:00,109152.250287,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36365,1818300,1,0,1,1,0,1,0,3079934748,12,32434,109152151,23105,0,-3.2667274,-0.0079607,"[-0.0626470074057579,-0.002046000212430954,-0.03778400644659996,0.9973182082176208]","[-0.006864904426038265,0.0014144672313705087,-0.007960744202136993]","[-0.09597299993038177,-0.709646999835968,9.793858528137207]",0.0033004,32.344,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:57.018347+00:00,109152.300353,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36366,1818350,1,0,1,1,0,1,0,3079934748,13,14688,109152201,23106,0,-3.2664616,-0.0085538,"[-0.0625140443444252,-0.002022001426666975,-0.037939026951789856,0.9973207116127014]","[-0.005649561062455177,0.0007750483346171677,-0.008553753606975079]","[-0.08397500216960907,-0.707552969455719,9.77717399597168]",0.0033275,32.609,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:52:57.068455+00:00,109152.350343,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,36367,1818400,1,0,1,1,0,1,0,3079934748,14,23950,109152251,23107,0,-3.2662172,-0.0061424,"[-0.062392063438892365,-0.0020070020109415054,-0.03807903826236725,0.9973230361938477]","[-0.007676010485738516,0.0020666795317083597,-0.00614237179979682]","[-0.07930000126361847,-0.7243880033493042,9.779074668884277]",0.0033275,32.609,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
