host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:19:52.788372+00:00,96368.071664,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:19:52.839543+00:00,96368.121508,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,2231,111601,1,0,1,0,0,1,0,1360262946,596,42610,96358684,837,0,0.0373315,0.0861458,"[0.9992008209228516,-0.034769970923662186,0.007007993757724762,-0.018430985510349274]","[0.008271272294223309,-0.023498659953475,0.08614577353000641]","[-0.25085100531578064,-0.660398006439209,9.819340705871582]",0.2130564,2087.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:52.889621+00:00,96368.171511,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2232,111651,1,0,1,1,0,1,0,1176375865,0,9728,96368071,838,0,0.0331129,0.0848332,"[0.9992514252662659,-0.03442898392677307,0.006663997191935778,-0.01633499376475811]","[0.012982580810785294,-0.016889935359358788,0.08483323454856873]","[-0.22929400205612183,-0.6559669971466064,9.80113410949707]",0.2129871,2087.273,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:52.939587+00:00,96368.221509,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2233,111701,1,0,1,1,0,1,0,1176375865,1,8861,96368122,839,0,0.0288788,0.0860008,"[0.9992994666099548,-0.0340149886906147,0.006418997887521982,-0.01422799564898014]","[0.012999440543353558,-0.013755306601524353,0.08600083738565445]","[-0.20536699891090393,-0.6465659737586975,9.794073104858398]",0.2130389,2087.781,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:52.989609+00:00,96368.271552,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2234,111751,1,0,1,1,0,1,0,1176375865,2,9369,96368172,840,0,0.0246071,0.0871759,"[0.9993427991867065,-0.03359097242355347,0.006264995317906141,-0.012098990380764008]","[0.014234470203518867,-0.010628549382090569,0.08717585355043411]","[-0.1695770025253296,-0.6590870022773743,9.773079872131348]",0.2133036,2090.375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:53.039402+00:00,96368.321505,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2235,111801,1,0,1,1,0,1,0,1176375865,3,14151,96368222,841,0,0.0202938,0.0883508,"[0.9993810653686523,-0.03317899629473686,0.006138999946415424,-0.009947999380528927]","[0.013638509437441826,-0.008113826625049114,0.0883508250117302]","[-0.14566999673843384,-0.6569749712944031,9.76132869720459]",0.2133036,2090.375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:53.089512+00:00,96368.371453,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2236,111851,1,0,1,1,0,1,0,1176375865,4,43834,96368272,842,0,0.0159814,0.0870935,"[0.9994122982025146,-0.03283398970961571,0.006012998055666685,-0.007796997204422951]","[0.009176173247396946,-0.007684510666877031,0.08709345012903214]","[-0.0899370014667511,-0.6674150228500366,9.725339889526367]",0.2137157,2094.414,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:53.139594+00:00,96368.421513,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2237,111901,1,0,1,1,0,1,0,1176375865,5,54141,96368322,843,0,0.0117022,0.0858730,"[0.9994348883628845,-0.03260797634720802,0.005881995428353548,-0.005661995615810156]","[0.008363373577594757,-0.008110597729682922,0.08587300777435303]","[-0.07084199786186218,-0.6724849939346313,9.71444034576416]",0.2142809,2099.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:53.188768+00:00,96368.471490,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2238,111951,1,0,1,1,0,1,0,1176375865,6,25313,96368372,844,0,0.0074991,0.0851939,"[0.9994485974311829,-0.03251298516988754,0.005727997049689293,-0.003564998274669051]","[0.0008596794214099646,-0.0068221078254282475,0.08519386500120163]","[-0.016769999638199806,-0.6924530267715454,9.684170722961426]",0.2142809,2099.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:19:53.238384+00:00,96368.521432,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2239,112001,1,0,1,1,0,1,0,1176375865,7,26636,96368422,845,0,0.0034416,0.0796797,"[0.9994536638259888,-0.03254098445177078,0.005577997304499149,-0.0015399991534650326]","[-0.004621404688805342,-0.008103790692985058,0.07967967540025711]","[-3.9999998989515007e-05,-0.6926770210266113,9.67477035522461]",0.2149123,2106.141,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
