host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:37:11.706273+00:00,97406.989531,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:37:11.756834+00:00,97407.039330,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,8736,436851,1,0,1,0,0,1,0,2643200322,1611,15253,97379514,1936,0,3.3107834,-0.0022807,"[0.08428002893924713,-0.007790002506226301,-0.03289901465177536,0.9958683848381042]","[0.000391163193853572,-0.006049398798495531,-0.0022806567139923573]","[-0.1267250031232834,-0.6909210085868835,9.75005054473877]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:11.806925+00:00,97407.089279,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8737,436901,1,0,1,1,0,1,0,2754197875,0,25312,97406989,1937,0,3.3111949,-0.0005163,"[0.08448800444602966,-0.007715000305324793,-0.032847002148628235,0.995853066444397]","[0.0016327553894370794,-0.001667260774411261,-0.000516320753376931]","[-0.13147400319576263,-0.6737679839134216,9.768935203552246]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:11.856459+00:00,97407.139336,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8738,436951,1,0,1,1,0,1,0,2754197875,1,20251,97407040,1938,0,3.3115580,0.0008170,"[0.08466804027557373,-0.007753003388643265,-0.03275801241397858,0.9958404302597046]","[0.004510384984314442,0.004570773337036371,0.0008170410292223096]","[-0.1347379982471466,-0.6791340112686157,9.784170150756836]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:11.906883+00:00,97407.189327,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8739,437001,1,0,1,1,0,1,0,2754197875,2,11253,97407090,1939,0,3.3119206,-0.0012457,"[0.08484604954719543,-0.007856004871428013,-0.03260201960802078,0.9958295822143555]","[0.004114805720746517,0.0057953656651079655,-0.0012456938857212663]","[-0.1410609930753708,-0.6759830117225647,9.778450965881348]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:11.957421+00:00,97407.239349,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8740,437051,1,0,1,1,0,1,0,2754197875,3,16945,97407139,1940,0,3.3123436,-0.0012309,"[0.08505301922559738,-0.007995002903044224,-0.03243401274085045,0.9958162903785706]","[0.006551163271069527,0.00577964074909687,-0.0012309284647926688]","[-0.1505340039730072,-0.6565499901771545,9.787652015686035]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:12.007387+00:00,97407.289295,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8741,437101,1,0,1,1,0,1,0,2754197875,4,56188,97407190,1941,0,3.3128667,-0.0037025,"[0.08531004190444946,-0.008136004209518433,-0.03223802149295807,0.9957995414733887]","[0.005953161511570215,0.007000410463660955,-0.0037025415804237127]","[-0.14092500507831573,-0.6421250104904175,9.789950370788574]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:12.056543+00:00,97407.339322,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8742,437151,1,0,1,1,0,1,0,2754197875,5,60932,97407240,1942,0,3.3135018,-0.0054742,"[0.08562400192022324,-0.00824899971485138,-0.03200700506567955,0.9957790970802307]","[0.007155378814786673,0.003850196488201618,-0.005474225617945194]","[-0.1289139986038208,-0.627784013748169,9.78747844696045]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:12.107166+00:00,97407.389343,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8743,437201,1,0,1,1,0,1,0,2754197875,6,35562,97407290,1943,0,3.3142304,-0.0085131,"[0.08598608523607254,-0.0083190081641078,-0.031769029796123505,0.9957549571990967]","[0.006543344352394342,0.0025679029058665037,-0.008513052947819233]","[-0.10263499617576599,-0.6280879974365234,9.775790214538574]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:37:12.156601+00:00,97407.439334,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8744,437251,1,0,1,1,0,1,0,2754197875,7,3401,97407339,1944,0,3.3150730,-0.0097175,"[0.08640702813863754,-0.0083250030875206,-0.03155400976538658,0.9957253336906433]","[0.0077595943585038185,0.0019207698060199618,-0.00971752218902111]","[-0.10256700217723846,-0.6185399889945984,9.770854949951172]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
