host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-12T10:54:20.816011+00:00,4836.099253,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T10:54:20.865993+00:00,4836.149012,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,3632,181650,1,0,1,1,0,1,0,903647472,275,54507,4766060,381,0,0.7143612,0.0233081,"[0.9362190961837769,-0.03504699841141701,-0.0073830001056194305,0.34958699345588684]","[-0.005719007458537817,-0.002566977869719267,0.023308105766773224]","[-0.11012200266122818,-0.6955159902572632,9.769499778747559]",0.2500000,2450.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:20.916210+00:00,4836.199086,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3633,181700,1,0,1,1,0,1,0,1589160936,0,10801,4836099,382,0,0.7168026,0.0220557,"[0.9357880353927612,-0.035134971141815186,-0.007465994451195002,0.35072869062423706]","[-0.003265912411734462,-0.0001027824473567307,0.022055743262171745]","[-0.09569299966096878,-0.7010160088539124,9.728967666625977]",0.2500000,2450.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:20.965978+00:00,4836.249026,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3634,181750,1,0,1,1,0,1,0,1589160936,1,15279,4836149,383,0,0.7192012,0.0226967,"[0.9353641867637634,-0.03519096225500107,-0.007520991377532482,0.35185059905052185]","[-0.0020561201963573694,-0.0013506057439371943,0.02269669994711876]","[-0.08160299807786942,-0.729653000831604,9.748740196228027]",0.2500000,2450.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:21.016042+00:00,4836.299069,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3635,181800,1,0,1,1,0,1,0,1589160936,2,58346,4836199,384,0,0.7216258,0.0229079,"[0.9349360466003418,-0.03520597517490387,-0.0075519937090575695,0.3529847264289856]","[-0.0008382467785850167,-0.001355911372229457,0.02290790155529976]","[-0.10140199959278107,-0.705286979675293,9.76254653930664]",0.2559184,2508.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:21.066614+00:00,4836.349050,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3636,181850,1,0,1,1,0,1,0,1589160936,3,8646,4836249,385,0,0.7240347,0.0227188,"[0.9345100522041321,-0.03519997373223305,-0.00759099330753088,0.3541106879711151]","[0.0015983900520950556,-0.0013742198934778571,0.022718848660588264]","[-0.09563300013542175,-0.6865100264549255,9.733551979064941]",0.2559184,2508.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:21.115929+00:00,4836.399008,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3637,181900,1,0,1,1,0,1,0,1589160936,4,63876,4836299,386,0,0.7264240,0.0215181,"[0.9340886473655701,-0.03512898087501526,-0.007591996807605028,0.35522785782814026]","[0.0015927177155390382,-0.0026373148430138826,0.021518059074878693]","[-0.07200299948453903,-0.7151910066604614,9.753435134887695]",0.2616327,2564.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:21.165917+00:00,4836.449000,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3638,181950,1,0,1,1,0,1,0,1589160936,5,6142,4836350,387,0,0.7287603,0.0209067,"[0.9336767196655273,-0.03501998260617256,-0.007589996792376041,0.3563198149204254]","[0.005255622789263725,-0.0014209424844011664,0.020906653255224228]","[-0.09351599961519241,-0.7173510193824768,9.76281452178955]",0.2616327,2564.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:21.217089+00:00,4836.499078,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3639,182000,1,0,1,1,0,1,0,1589160936,6,51294,4836399,388,0,0.7311004,0.0208993,"[0.9332649111747742,-0.034856975078582764,-0.007556995376944542,0.35741373896598816]","[0.007699433248490095,-0.00018900170107372105,0.02089930698275566]","[-0.10506299883127213,-0.6623389720916748,9.737887382507324]",0.2531632,2481.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:54:21.265962+00:00,4836.549026,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3640,182050,1,0,1,1,0,1,0,1589160936,7,6721,4836449,389,0,0.7334313,0.0209067,"[0.9328537583351135,-0.03468397259712219,-0.0075259944424033165,0.3585027754306793]","[0.007086613215506077,-0.0008089077891781926,0.02090667188167572]","[-0.07664500176906586,-0.7009570002555847,9.73878002166748]",0.2531632,2481.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
