host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T13:08:13.997410+00:00,99269.280678,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T13:08:14.047641+00:00,99269.330485,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5864,293250,1,0,1,1,0,1,0,555589738,0,17592,99269280,1622,0,1.8822528,-0.0300136,"[0.5886226296424866,-0.017834989354014397,0.03724497929215431,-0.807352602481842]","[-0.01170129794627428,0.0017921564867720008,-0.03001362271606922]","[-0.10818400233983994,-0.7944769859313965,9.749387741088867]",0.2077989,2036.430,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.098617+00:00,99269.380554,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5865,293300,1,0,1,1,0,1,0,555589738,1,49723,99269331,1623,0,1.8839122,-0.0331249,"[0.5879467725753784,-0.017988989129662514,0.037437982857227325,-0.8078325390815735]","[-0.009644078090786934,0.005483528133481741,-0.03312493488192558]","[-0.10834399610757828,-0.8159300088882446,9.762495040893555]",0.2078364,2036.797,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.147534+00:00,99269.430487,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5866,293350,1,0,1,1,0,1,0,555589738,2,48550,99269381,1624,0,1.8856943,-0.0356125,"[0.5872244238853455,-0.018033981323242188,0.03761997073888779,-0.8083482980728149]","[-0.005557495169341564,0.009169506840407848,-0.03561246395111084]","[-0.11076399683952332,-0.8231469988822937,9.761774063110352]",0.2078659,2037.086,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.197790+00:00,99269.480479,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5867,293400,1,0,1,1,0,1,0,555589738,3,31050,99269431,1625,0,1.8875530,-0.0350231,"[0.5864750146865845,-0.017950985580682755,0.03782697021961212,-0.8088843822479248]","[-0.0037199249491095543,0.011036938987672329,-0.035023100674152374]","[-0.11558099836111069,-0.835224986076355,9.757099151611328]",0.2078659,2037.086,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.247673+00:00,99269.530478,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5868,293450,1,0,1,1,0,1,0,555589738,4,40605,99269481,1626,0,1.8893998,-0.0356345,"[0.5857326984405518,-0.017781991511583328,0.03796198219060898,-0.8094195127487183]","[0.0017739352770149708,0.012865344993770123,-0.035634495317935944]","[-0.11319600045681,-0.8450779914855957,9.742877960205078]",0.2078500,2036.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.298006+00:00,99269.580488,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5869,293500,1,0,1,1,0,1,0,555589738,5,25380,99269531,1627,0,1.8911358,-0.0313174,"[0.5850368142127991,-0.01754598878324032,0.03803097456693649,-0.8099244832992554]","[0.00419648690149188,0.011655920185148716,-0.031317438930273056]","[-0.11799599975347519,-0.8424670100212097,9.754779815673828]",0.2079416,2037.828,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.347833+00:00,99269.630483,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5870,293550,1,0,1,1,0,1,0,555589738,6,28179,99269581,1628,0,1.8927271,-0.0281827,"[0.5843997597694397,-0.017286989837884903,0.03799597918987274,-0.8103915452957153]","[0.007827801629900932,0.008551659993827343,-0.028182722628116608]","[-0.13708999752998352,-0.8398640155792236,9.76171875]",0.2079656,2038.062,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.398524+00:00,99269.680511,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5871,293600,1,0,1,1,0,1,0,555589738,7,43775,99269631,1629,0,1.8941447,-0.0252149,"[0.5838325619697571,-0.017025990411639214,0.03782898187637329,-0.8108136653900146]","[0.013888318091630936,0.004181442316621542,-0.025214947760105133]","[-0.14504900574684143,-0.8365100026130676,9.768774032592773]",0.2079656,2038.062,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:08:14.448575+00:00,99269.730542,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5872,293650,1,0,1,1,0,1,0,555589738,8,8426,99269681,1630,0,1.8954337,-0.0231214,"[0.5833165645599365,-0.01676798053085804,0.037532955408096313,-0.8112039566040039]","[0.01752861961722374,0.0023120203986763954,-0.0231214240193367]","[-0.15856899321079254,-0.8274080157279968,9.782876968383789]",0.2080022,2038.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
