host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T13:07:24.385938+00:00,99219.669195,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T13:07:24.436669+00:00,99219.718990,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4872,243650,1,0,1,1,0,1,0,994275578,0,4042,99219669,1557,0,0.9128236,0.0152197,"[0.8970730304718018,-0.03138597682118416,0.023456983268260956,-0.4401416778564453]","[0.006340955849736929,-0.025211874395608902,0.015219742432236671]","[-0.14169900119304657,-0.850380003452301,9.701848983764648]",0.2080660,2039.047,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.486732+00:00,99219.768991,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4873,243700,1,0,1,1,0,1,0,994275578,1,1319,99219719,1558,0,0.9122236,0.0092011,"[0.8972024917602539,-0.03155096620321274,0.02281797304749489,-0.4398995339870453]","[0.011200301349163055,-0.029063502326607704,0.009201114997267723]","[-0.16078400611877441,-0.8478140234947205,9.706390380859375]",0.2079472,2037.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.537097+00:00,99219.819016,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4874,243750,1,0,1,1,0,1,0,994275578,2,41400,99219770,1559,0,0.9118015,0.0043685,"[0.8972963690757751,-0.03160999342799187,0.022071994841098785,-0.43974190950393677]","[0.013628944754600525,-0.03163629025220871,0.00436850730329752]","[-0.16785100102424622,-0.8211020231246948,9.720308303833008]",0.2079879,2038.281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.586970+00:00,99219.868997,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4875,243800,1,0,1,1,0,1,0,994275578,3,3213,99219820,1560,0,0.9115587,0.0030682,"[0.8973525166511536,-0.03160196542739868,0.021348975598812103,-0.43966349959373474]","[0.011825897730886936,-0.027896873652935028,0.0030681665521115065]","[-0.1725270003080368,-0.7771959900856018,9.757990837097168]",0.2080389,2038.781,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.636293+00:00,99219.919028,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4876,243850,1,0,1,1,0,1,0,994275578,4,20785,99219870,1561,0,0.9114138,0.0016793,"[0.8973875641822815,-0.031562965363264084,0.020747976377606392,-0.43962350487709045]","[0.00639073271304369,-0.02039080299437046,0.0016793208196759224]","[-0.18892799317836761,-0.716060996055603,9.764898300170898]",0.2080389,2038.781,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.686578+00:00,99219.968987,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4877,243900,1,0,1,1,0,1,0,994275578,5,54930,99219919,1562,0,0.9113171,0.0026847,"[0.8974121809005737,-0.031494975090026855,0.02042098343372345,-0.43959367275238037]","[0.0015796975931152701,-0.009738624095916748,0.002684683073312044]","[-0.18873000144958496,-0.670989990234375,9.775430679321289]",0.2081362,2039.734,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.736716+00:00,99220.018996,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4878,243950,1,0,1,1,0,1,0,994275578,6,44988,99219969,1563,0,0.9112610,0.0024929,"[0.8974267244338989,-0.031431980431079865,0.020368989557027817,-0.43957075476646423]","[-0.006289870012551546,-0.0015775682404637337,0.0024929235223680735]","[-0.19812600314617157,-0.6223610043525696,9.805793762207031]",0.2083658,2041.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.787169+00:00,99220.069069,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4879,244000,1,0,1,1,0,1,0,994275578,7,16838,99220020,1564,0,0.9112235,0.0021795,"[0.8974345326423645,-0.03142298758029938,0.020639991387724876,-0.43954285979270935]","[-0.01411838736385107,0.013445737771689892,0.0021794973872601986]","[-0.18848299980163574,-0.6031619906425476,9.805622100830078]",0.2086368,2044.641,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:07:24.836377+00:00,99220.118985,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,4880,244050,1,0,1,1,0,1,0,994275578,8,39306,99220070,1565,0,0.9111933,0.0044741,"[0.8974401354789734,-0.03140299767255783,0.021181998774409294,-0.4395069479942322]","[-0.018953630700707436,0.020370297133922577,0.004474116954952478]","[-0.18131999671459198,-0.5983110070228577,9.810430526733398]",0.2086368,2044.641,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
