host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T11:54:24.853880+00:00,94840.137143,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T11:54:24.904426+00:00,94840.186785,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,8301,415100,1,0,1,0,0,1,0,3623888380,2757,16129,94831697,3913,0,1.0858743,0.0124239,"[0.8554917573928833,-0.034441981464624405,0.013674994930624962,-0.5164887309074402]","[0.019890088587999344,-0.000999480253085494,0.01242389902472496]","[0.1094290018081665,-0.6822770237922668,9.759836196899414]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:24.953758+00:00,94840.236681,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8302,415150,1,0,1,1,0,1,0,2920000274,0,16185,94840137,3914,0,1.0853186,0.0105416,"[0.8556505441665649,-0.034061986953020096,0.013408995233476162,-0.5162578225135803]","[0.013805677182972431,-0.00035943312104791403,0.010541561990976334]","[0.11670400202274323,-0.6680610179901123,9.747715950012207]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.004130+00:00,94840.286763,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8303,415200,1,0,1,1,0,1,0,2920000274,1,64469,94840187,3915,0,1.0848321,0.0093186,"[0.8557862639427185,-0.03380696848034859,0.013215988874435425,-0.5160545706748962]","[0.01014549471437931,-0.0015989311505109072,0.009318609721958637]","[0.1332080066204071,-0.7042179703712463,9.748437881469727]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.054532+00:00,94840.336687,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8304,415250,1,0,1,1,0,1,0,2920000274,2,6277,94840237,3916,0,1.0843855,0.0082405,"[0.8559085726737976,-0.033627983182668686,0.01308299507945776,-0.515866756439209]","[0.00406359788030386,-0.00032477089553140104,0.008240467868745327]","[0.11352899670600891,-0.6729919910430908,9.738956451416016]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.104674+00:00,94840.386701,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8305,415300,1,0,1,1,0,1,0,2920000274,3,2907,94840287,3917,0,1.0839664,0.0080071,"[0.8560206294059753,-0.03353198990225792,0.013017994351685047,-0.5156888365745544]","[-0.0008087681489996612,-0.0002958856930490583,0.008007116615772247]","[0.12167800217866898,-0.6394379734992981,9.732958793640137]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.153681+00:00,94840.436690,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8306,415350,1,0,1,1,0,1,0,2920000274,4,29298,94840337,3918,0,1.0836085,0.0073735,"[0.8561141490936279,-0.03350197896361351,0.01300898939371109,-0.5155356526374817]","[-0.0008003905531950295,0.0009440660360269248,0.007373545318841934]","[0.13822099566459656,-0.6733009815216064,9.726449966430664]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.203846+00:00,94840.486684,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8307,415400,1,0,1,1,0,1,0,2920000274,5,2613,94840387,3919,0,1.0832821,0.0073293,"[0.8561980128288269,-0.03351297974586487,0.013044990599155426,-0.5153946876525879]","[-0.004447448067367077,0.0022153465542942286,0.007329266052693129]","[0.12862899899482727,-0.6730369925498962,9.740728378295898]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.253666+00:00,94840.536677,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8308,415450,1,0,1,1,0,1,0,2920000274,6,48041,94840437,3920,0,1.0829270,0.0091267,"[0.8562875986099243,-0.033568985760211945,0.013140993192791939,-0.5152397751808167]","[-0.006879040971398354,0.0035018986091017723,0.009126728400588036]","[0.12883299589157104,-0.6296299695968628,9.747289657592773]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:54:25.303781+00:00,94840.586678,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,8309,415500,1,0,1,1,0,1,0,2920000274,7,11657,94840487,3921,0,1.0825419,0.0103460,"[0.8563850522041321,-0.03362397849559784,0.013277990743517876,-0.5150706768035889]","[-0.00565893342718482,0.004133305978029966,0.010345962829887867]","[0.13587400317192078,-0.6660739779472351,9.726317405700684]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
