host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T08:20:03.768175+00:00,81979.051345,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T08:20:03.817944+00:00,81979.100533,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3904,195250,1,0,1,1,0,1,0,4016421335,0,5356,81979051,2,1,-1.9228021,0.0100920,"[0.5721113085746765,-0.017569992691278458,0.034879982471466064,-0.8192456364631653]","[-0.009440748021006584,-0.017269317060709,0.010092034935951233]","[-0.12395299971103668,-0.7367429733276367,9.796335220336914]",0.2130293,2087.688,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:20:03.867579+00:00,81979.150475,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3905,195300,1,0,1,1,0,1,0,4016421335,1,53824,81979101,3,1,-1.9223217,0.0076573,"[0.5722916722297668,-0.018058981746435165,0.03482697159051895,-0.8191112279891968]","[-0.00883052870631218,-0.017719997093081474,0.007657283451408148]","[-0.11299599707126617,-0.7745890021324158,9.789820671081543]",0.2134957,2092.258,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:20:03.917825+00:00,81979.200525,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3906,195350,1,0,1,1,0,1,0,4016421335,2,30895,81979151,4,1,-1.9220327,0.0052594,"[0.5723943114280701,-0.01851699873805046,0.03469399735331535,-0.8190349340438843]","[-0.004570773337036371,-0.01902606151998043,0.0052594454027712345]","[-0.1319970041513443,-0.7477849721908569,9.805999755859375]",0.2134957,2092.258,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:20:03.967980+00:00,81979.250553,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3907,195400,1,0,1,1,0,1,0,4016421335,2,30895,81979151,4,1,-1.9219317,0.0003900,"[0.572421133518219,-0.01892298460006714,0.03449297323822975,-0.8190153241157532]","[-0.0009090198436751962,-0.019111355766654015,0.0003899763978552073]","[-0.12467099726200104,-0.7239480018615723,9.793739318847656]",0.2139469,2096.680,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:20:04.017627+00:00,81979.300480,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3908,195450,1,0,1,1,0,1,0,4016421335,4,52825,81979251,6,1,-1.9220091,-0.0032541,"[0.5723775029182434,-0.019252000376582146,0.034262992441654205,-0.8190478682518005]","[0.0031569688580930233,-0.019183840602636337,-0.003254096722230315]","[-0.12241899967193604,-0.7430670261383057,9.802842140197754]",0.2139469,2096.680,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:20:04.067650+00:00,81979.350511,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3909,195500,1,0,1,1,0,1,0,4016421335,5,36107,81979301,7,1,-1.9221867,-0.0044745,"[0.5722936987876892,-0.019547976553440094,0.033937957137823105,-0.8191129565238953]","[0.007226832211017609,-0.017977798357605934,-0.004474482964724302]","[-0.10474400222301483,-0.7357410192489624,9.762956619262695]",0.2143718,2100.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:20:04.118186+00:00,81979.400544,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3910,195550,1,0,1,1,0,1,0,4016421335,6,16087,81979351,8,1,-1.9223832,-0.0044867,"[0.5722066760063171,-0.019714990630745888,0.033554982393980026,-0.8191854953765869]","[0.012520503252744675,-0.015516536310315132,-0.004486717749387026]","[-0.08419600129127502,-0.7754909992218018,9.739789962768555]",0.2143718,2100.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:20:04.167681+00:00,81979.450475,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3911,195600,1,0,1,1,0,1,0,4016421335,7,10083,81979401,9,1,-1.9225006,-0.0021035,"[0.5721557140350342,-0.019781988114118576,0.03313698247075081,-0.8192365169525146]","[0.014979376457631588,-0.011134537868201733,-0.0021035405807197094]","[-0.09135600179433823,-0.777899980545044,9.737343788146973]",0.2143718,2100.844,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:20:04.217813+00:00,81979.500528,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3912,195650,1,0,1,1,0,1,0,4016421335,8,17284,81979451,10,1,-1.9224303,0.0039483,"[0.5721870064735413,-0.019703984260559082,0.03271597623825073,-0.8192334771156311]","[0.01743280328810215,-0.0067062703892588615,0.003948318772017956]","[-0.09350299835205078,-0.7346289753913879,9.734284400939941]",0.2147959,2105.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
