host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-15T07:18:37.804147+00:00,251093.087366,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-15T07:18:37.854664+00:00,251093.137235,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2177,108900,1,0,1,1,0,1,0,2615472494,0,55239,251093087,1,0,-0.7001610,-0.0300170,"[0.9386824369430542,-0.03515199199318886,-0.009203998371958733,0.34286290407180786]","[0.013323494233191013,0.0103646544739604,-0.030017029494047165]","[-0.03164200112223625,-0.7539370059967041,9.749672889709473]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:37.904181+00:00,251093.187180,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2178,108950,1,0,1,1,0,1,0,2615472494,1,5211,251093138,2,0,-0.6986001,-0.0299764,"[0.9389575123786926,-0.03493998572230339,-0.00896199606359005,0.34213685989379883]","[0.01636146754026413,0.009097302332520485,-0.02997644990682602]","[-0.024490999057888985,-0.7514910101890564,9.754515647888184]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:37.954137+00:00,251093.237163,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2179,109000,1,0,1,1,0,1,0,2615472494,2,13306,251093187,3,0,-0.6970977,-0.0280684,"[0.9392240047454834,-0.03468097001314163,-0.008784991689026356,0.3414357304573059]","[0.01633385755121708,0.004961499944329262,-0.02806835249066353]","[-0.03323199972510338,-0.7473689913749695,9.759154319763184]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:38.004120+00:00,251093.287164,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2180,109050,1,0,1,1,0,1,0,2615472494,3,8804,251093237,4,0,-0.6955957,-0.0292102,"[0.9394921064376831,-0.0343649685382843,-0.008659993298351765,0.3407326936721802]","[0.015087621286511421,-3.675663538160734e-05,-0.029210180044174194]","[-0.03477099910378456,-0.7344589829444885,9.763742446899414]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:38.054144+00:00,251093.337200,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2181,109100,1,0,1,1,0,1,0,2615472494,4,34956,251093287,5,0,-0.6941404,-0.0291659,"[0.9397528767585754,-0.03401797264814377,-0.008611994795501232,0.34004876017570496]","[0.016293365508317947,-0.0021241006907075644,-0.029165934771299362]","[-0.052921000868082047,-0.7054370045661926,9.767905235290527]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:38.104201+00:00,251093.387166,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2182,109150,1,0,1,1,0,1,0,2615472494,5,42183,251093337,6,0,-0.6926780,-0.0297331,"[0.9400160312652588,-0.03362799435853958,-0.008634000085294247,0.33935895562171936]","[0.0162793155759573,-0.004627164453268051,-0.029733149334788322]","[-0.057590000331401825,-0.6812520027160645,9.774691581726074]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:38.154816+00:00,251093.437160,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2183,109200,1,0,1,1,0,1,0,2615472494,6,37605,251093387,7,0,-0.6912117,-0.0291217,"[0.9402783513069153,-0.03326396644115448,-0.008706990629434586,0.338665634393692]","[0.012616444379091263,-0.005843536928296089,-0.029121743515133858]","[-0.0789330005645752,-0.6546199917793274,9.778851509094238]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:38.204309+00:00,251093.487103,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2184,109250,1,0,1,1,0,1,0,2615472494,7,31903,251093438,8,0,-0.6897336,-0.0303152,"[0.9405414462089539,-0.0329129621386528,-0.008782989345490932,0.33796659111976624]","[0.010166961699724197,-0.008338590152561665,-0.030315183103084564]","[-0.0835459977388382,-0.6282129883766174,9.773614883422852]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-15T07:18:38.254184+00:00,251093.537102,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2185,109300,1,0,1,1,0,1,0,2615472494,8,23351,251093487,9,0,-0.6881878,-0.0315492,"[0.9408131837844849,-0.03262297436594963,-0.008857992477715015,0.337235689163208]","[0.008341522887349129,-0.008342220447957516,-0.03154916688799858]","[-0.09772899746894836,-0.6040930151939392,9.773096084594727]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
