host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:05:25.820080+00:00,88301.103329,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:05:25.870209+00:00,88301.153088,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,480,24050,1,0,1,1,0,1,0,8213565,0,58441,88301103,1,0,1.8981980,0.0032339,"[0.5823404788970947,-0.009996999055147171,0.024577995762228966,-0.8125118613243103]","[-0.0010470404522493482,-0.041538771241903305,0.0032339030876755714]","[0.005222000181674957,-0.5275200009346008,9.777949333190918]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:25.920384+00:00,88301.203078,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,481,24100,1,0,1,1,0,1,0,8213565,1,13910,88301153,2,0,1.8977163,0.0046411,"[0.5825129747390747,-0.011068991385400295,0.023834984749555588,-0.8123964667320251]","[0.0001095717670978047,-0.05151265859603882,0.004641127306967974]","[0.03873800113797188,-0.5159029960632324,9.761373519897461]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:25.970658+00:00,88301.253093,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,482,24150,1,0,1,1,0,1,0,8213565,2,27629,88301203,3,0,1.8970832,0.0066229,"[0.5827423930168152,-0.012287991121411324,0.022932982072234154,-0.8122403621673584]","[-0.0011635760311037302,-0.06021542847156525,0.006622914224863052]","[0.06025100126862526,-0.5137439966201782,9.751992225646973]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.021101+00:00,88301.303102,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,483,24200,1,0,1,1,0,1,0,8213565,3,50904,88301253,4,0,1.8963302,0.0087178,"[0.5830137729644775,-0.013728988356888294,0.021820977330207825,-0.8120532035827637]","[0.001593956840224564,-0.0739351287484169,0.008717797696590424]","[0.09838700294494629,-0.5154489874839783,9.757255554199219]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.071160+00:00,88301.353101,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,484,24250,1,0,1,1,0,1,0,8213565,4,25152,88301304,5,0,1.8955176,0.0088555,"[0.5833026170730591,-0.015355992130935192,0.020515989512205124,-0.8118505477905273]","[0.0060232533141970634,-0.0802023783326149,0.008855469524860382]","[0.1414089947938919,-0.5168520212173462,9.731383323669434]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",254,1,1
2026-08-13T10:05:26.120027+00:00,88301.403023,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,485,24300,1,0,1,1,0,1,0,8213565,5,26797,88301354,6,0,1.8946530,0.0102184,"[0.5836085081100464,-0.01705799624323845,0.0190769974142313,-0.8116318583488464]","[0.007194823119789362,-0.08768091350793839,0.010218449868261814]","[0.16279099881649017,-0.5165839791297913,9.755611419677734]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.170625+00:00,88301.453031,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,486,24350,1,0,1,1,0,1,0,8213565,6,9365,88301403,7,0,1.8937465,0.0090324,"[0.5839278697967529,-0.018801994621753693,0.01751699484884739,-0.8113987445831299]","[0.009625508449971676,-0.08895976841449738,0.009032445959746838]","[0.17477600276470184,-0.4972130060195923,9.767460823059082]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.220035+00:00,88301.503030,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,487,24400,1,0,1,1,0,1,0,8213565,7,26567,88301453,8,0,1.8929167,0.0077801,"[0.5842166543006897,-0.02045898139476776,0.01589198410511017,-0.8111842274665833]","[0.012078586034476757,-0.08649555593729019,0.007780084386467934]","[0.1939380019903183,-0.48042601346969604,9.769831657409668]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.270846+00:00,88301.553103,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,488,24450,1,0,1,1,0,1,0,8213565,8,800,88301503,9,0,1.8921961,0.0077212,"[0.5844636559486389,-0.02197897993028164,0.014291984960436821,-0.8109962344169617]","[0.01698114722967148,-0.08153630793094635,0.007721161935478449]","[0.23690900206565857,-0.4684869945049286,9.777345657348633]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.321107+00:00,88301.603041,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,489,24500,1,0,1,1,0,1,0,8213565,9,11995,88301554,10,0,1.8915676,0.0047449,"[0.584676206111908,-0.02337499149143696,0.012688993476331234,-0.8108306527137756]","[0.018654411658644676,-0.0740966871380806,0.004744852427393198]","[0.2895050048828125,-0.45531800389289856,9.763364791870117]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.371197+00:00,88301.653105,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,490,24550,1,0,1,1,0,1,0,8213565,10,26845,88301604,11,0,1.8910586,0.0025605,"[0.5848456621170044,-0.02457999251782894,0.011193996295332909,-0.8106948137283325]","[0.018299898132681847,-0.06600984185934067,0.0025604679249227047]","[0.3134630024433136,-0.4403040111064911,9.75622272491455]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.421178+00:00,88301.703115,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,491,24600,1,0,1,1,0,1,0,8213565,11,31491,88301654,12,0,1.8906984,-0.0000991,"[0.5849617719650269,-0.0255619827657938,0.00982399471104145,-0.8105984330177307]","[0.019596366211771965,-0.05357174575328827,-9.911724919220433e-05]","[0.35886600613594055,-0.43595901131629944,9.739889144897461]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.470593+00:00,88301.753083,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,492,24650,1,0,1,1,0,1,0,8213565,12,29363,88301704,13,0,1.8905188,-0.0027514,"[0.5850110650062561,-0.026345981284976006,0.008623993024230003,-0.8105514049530029]","[0.018449019640684128,-0.042365580797195435,-0.002751372056081891]","[0.4423069953918457,-0.4435589909553528,9.740960121154785]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.521148+00:00,88301.803084,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,493,24700,1,0,1,1,0,1,0,8213565,13,18875,88301753,14,0,1.8905174,-0.0053594,"[0.5849941372871399,-0.026951979845762253,0.007555993739515543,-0.8105543255805969]","[0.017286736518144608,-0.03365480154752731,-0.005359382834285498]","[0.4829699993133545,-0.4319390058517456,9.726863861083984]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.571245+00:00,88301.853114,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,494,24750,1,0,1,1,0,1,0,8213565,14,47976,88301804,15,0,1.8906077,-0.0067371,"[0.5849444270133972,-0.02741897664964199,0.006676994264125824,-0.8105822801589966]","[0.015509816817939281,-0.025548499077558517,-0.0067371283657848835]","[0.5211660265922546,-0.43226099014282227,9.71771240234375]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:05:26.620462+00:00,88301.903080,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,495,24800,1,0,1,1,0,1,0,8213565,15,55836,88301854,16,0,1.8908031,-0.0077404,"[0.5848555564880371,-0.027771994471549988,0.005984999239444733,-0.8106398582458496]","[0.010081527754664421,-0.016789596527814865,-0.0077404482290148735]","[0.5362510085105896,-0.4297789931297302,9.727444648742676]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
