host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:30:02.180223+00:00,96977.463520,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:30:02.231116+00:00,96977.513417,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,146,7351,1,0,1,1,0,1,0,1511466427,0,19051,96977463,1,0,1.8152728,0.2543021,"[0.6155110597610474,-0.01132799219340086,0.02281998284161091,-0.7877163887023926]","[0.11422024667263031,0.04823266342282295,0.25430208444595337]","[-0.11391100287437439,-0.46107199788093567,9.837972640991211]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.281376+00:00,96977.563304,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,147,7401,1,0,1,1,0,1,0,1511466427,1,62045,96977514,2,0,1.8032112,0.2505705,"[0.6202989816665649,-0.008657999336719513,0.02153399959206581,-0.7840219736099243]","[0.09288525581359863,0.04458101466298103,0.25057047605514526]","[-0.12797099351882935,-0.42026200890541077,9.827617645263672]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.330438+00:00,96977.613337,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,148,7451,1,0,1,1,0,1,0,1511466427,2,31380,96977564,3,0,1.7913471,0.2455680,"[0.6249715685844421,-0.006377996411174536,0.020640987902879715,-0.780348539352417]","[0.06973724812269211,0.04300523176789284,0.24556799232959747]","[-0.1427990049123764,-0.37382298707962036,9.817965507507324]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.381392+00:00,96977.663353,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,149,7501,1,0,1,1,0,1,0,1511466427,3,64823,96977613,4,0,1.7796639,0.2410296,"[0.6295397281646729,-0.004576997831463814,0.020151985809206963,-0.7766934633255005]","[0.04250068962574005,0.03688594698905945,0.24102959036827087]","[-0.15228000283241272,-0.3691149950027466,9.808192253112793]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.430744+00:00,96977.713354,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,150,7551,1,0,1,1,0,1,0,1511466427,4,611,96977664,5,0,1.7681870,0.2369296,"[0.6339981555938721,-0.0033119982108473778,0.020083989948034286,-0.7730666399002075]","[0.017897916957736015,0.02992299012839794,0.23692962527275085]","[-0.1680079996585846,-0.34354299306869507,9.797243118286133]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.480281+00:00,96977.763364,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,151,7601,1,0,1,1,0,1,0,1511466427,5,50831,96977714,6,0,1.7568847,0.2338241,"[0.6383634209632874,-0.0025679992977529764,0.020385997369885445,-0.7694608569145203]","[-0.008325604721903801,0.023815158754587173,0.23382414877414703]","[-0.1823740005493164,-0.3555409908294678,9.794853210449219]",0.0018678,18.305,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.531459+00:00,96977.813366,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,152,7651,1,0,1,1,0,1,0,1511466427,6,57646,96977763,7,0,1.7457575,0.2294995,"[0.6426378488540649,-0.002360000042244792,0.021067989990115166,-0.7658767104148865]","[-0.03027624636888504,0.0189120564609766,0.22949950397014618]","[-0.19668099284172058,-0.3727160096168518,9.768555641174316]",0.0018678,18.305,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.581517+00:00,96977.863426,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,153,7701,1,0,1,1,0,1,0,1511466427,7,13825,96977814,8,0,1.7348362,0.2258342,"[0.6468114256858826,-0.0026359993498772383,0.02208498865365982,-0.7623255848884583]","[-0.051633648574352264,0.011517374776303768,0.2258342206478119]","[-0.21342800557613373,-0.3822610080242157,9.768503189086914]",0.0037962,37.203,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.631365+00:00,96977.913302,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,154,7751,1,0,1,1,0,1,0,1511466427,8,53720,96977864,9,0,1.7240493,0.2205728,"[0.6509119272232056,-0.0033539975993335247,0.02335798181593418,-0.7587864398956299]","[-0.07096581906080246,0.0028413264080882072,0.2205728441476822]","[-0.2334519922733307,-0.40613698959350586,9.774219512939453]",0.0037962,37.203,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.681427+00:00,96977.963365,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,155,7801,1,0,1,1,0,1,0,1511466427,9,5428,96977914,10,0,1.7134027,0.2203418,"[0.654936671257019,-0.004456996917724609,0.02486298233270645,-0.7552614808082581]","[-0.08458712697029114,-0.00019257963867858052,0.22034183144569397]","[-0.2351830005645752,-0.4448849856853485,9.757179260253906]",0.0053045,51.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.731445+00:00,96978.013395,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,156,7851,1,0,1,1,0,1,0,1511466427,10,57346,96977964,11,0,1.7028861,0.2172549,"[0.6588891744613647,-0.005877997726202011,0.026542985811829567,-0.7517486214637756]","[-0.09861025214195251,-0.0032598734833300114,0.2172549068927765]","[-0.25676900148391724,-0.4688760042190552,9.75488567352295]",0.0053045,51.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:30:02.781448+00:00,96978.063370,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,157,7901,1,0,1,1,0,1,0,1511466427,11,62428,96978014,12,0,1.6924824,0.2148680,"[0.6627753376960754,-0.007544991560280323,0.02835497260093689,-0.7482432723045349]","[-0.10717117786407471,-0.009474065154790878,0.21486796438694]","[-0.27606698870658875,-0.5047590136528015,9.762388229370117]",0.0063504,62.234,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
