host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T11:59:58.254607+00:00,95173.537878,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T11:59:58.304363+00:00,95173.587698,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T11:59:58.356681+00:00,95173.637705,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,190,9551,1,0,1,1,0,1,0,615597228,1,44126,95173587,2,0,1.1991177,-0.0012212,"[0.8249508142471313,-0.03216596320271492,0.028773967176675797,-0.5635543465614319]","[0.0008514240034855902,0.0033209952525794506,-0.0012211545836180449]","[-0.11799199879169464,-0.844946026802063,9.750018119812012]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.404787+00:00,95173.687694,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,191,9601,1,0,1,1,0,1,0,615597228,2,62368,95173640,3,0,1.1991343,-0.0011830,"[0.8249501585960388,-0.03206197917461395,0.028748981654644012,-0.5635626316070557]","[0.0034833282697945833,0.0020562598947435617,-0.0011830365983769298]","[-0.11322200298309326,-0.8449680209159851,9.75007152557373]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.455095+00:00,95173.737705,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,192,9651,1,0,1,1,0,1,0,615597228,3,24053,95173688,4,0,1.1991405,-0.0012052,"[0.8249521851539612,-0.03196097910404205,0.028724979609251022,-0.5635665655136108]","[0.0016598082147538662,0.0026919087395071983,-0.001205167267471552]","[-0.12754499912261963,-0.8325449824333191,9.771315574645996]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.504622+00:00,95173.787629,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,193,9701,1,0,1,1,0,1,0,615597228,4,34231,95173738,5,0,1.1991382,-0.0011867,"[0.8249565958976746,-0.03186196833848953,0.028710970655083656,-0.5635664463043213]","[0.0028742430731654167,0.002060186816379428,-0.0011867366265505552]","[-0.13713699579238892,-0.8322809934616089,9.785593032836914]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.555150+00:00,95173.837713,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,194,9751,1,0,1,1,0,1,0,615597228,5,44412,95173788,6,0,1.1991601,-0.0024096,"[0.824954092502594,-0.03176295384764671,0.028699956834316254,-0.5635762810707092]","[0.002876040991395712,0.002044775290414691,-0.0024096365086734295]","[-0.14185599982738495,-0.8226379752159119,9.78539752960205]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.605216+00:00,95173.887690,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,195,9801,1,0,1,1,0,1,0,615597228,6,30009,95173838,7,0,1.1991763,-0.0012310,"[0.8249526619911194,-0.03167898580431938,0.02868599072098732,-0.5635837912559509]","[0.002889165887609124,0.004555553663522005,-0.001230963272973895]","[-0.13464100658893585,-0.8180069923400879,9.775818824768066]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.655808+00:00,95173.937709,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,196,9851,1,0,1,1,0,1,0,615597228,7,54668,95173888,8,0,1.1991904,-0.0015968,"[0.8249515295028687,-0.031600989401340485,0.02868599072098732,-0.5635898113250732]","[0.0012481198646128178,0.0016496502794325352,-0.001596836606040597]","[-0.12910300493240356,-0.8236569762229919,9.775163650512695]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.705121+00:00,95173.987739,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,197,9901,1,0,1,1,0,1,0,615597228,8,9270,95173939,9,0,1.1992005,-0.0012126,"[0.8249505162239075,-0.03154999390244484,0.028691990301012993,-0.5635938048362732]","[0.000441620679339394,0.0026997628156095743,-0.0012125675566494465]","[-0.13221800327301025,-0.8157219886779785,9.76861572265625]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.754811+00:00,95174.037683,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,198,9951,1,0,1,1,0,1,0,615597228,9,7262,95173988,10,0,1.1991889,0.0000288,"[0.824955403804779,-0.0315069742500782,0.028704972937703133,-0.5635885000228882]","[0.001654258114285767,0.0020834868773818016,2.876302824006416e-05]","[-0.12261299788951874,-0.8135809898376465,9.754302024841309]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.804761+00:00,95174.087692,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,199,10001,1,0,1,1,0,1,0,615597228,10,16869,95174038,11,0,1.1991839,0.0000029,"[0.8249571919441223,-0.03149498254060745,0.02872297912836075,-0.5635855793952942]","[-0.0007783295586705208,0.002723062876611948,2.9321533929760335e-06]","[-0.11063200235366821,-0.8163340091705322,9.735289573669434]",0.0000231,0.227,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.854985+00:00,95174.137642,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,200,10051,1,0,1,1,0,1,0,615597228,11,1591,95174088,12,0,1.1991799,-0.0012458,"[0.8249576091766357,-0.03151297569274902,0.028751971200108528,-0.5635824799537659]","[-0.0032091368921101093,0.003347210120409727,-0.0012457810807973146]","[-0.09877099841833115,-0.8333370089530945,9.72847843170166]",0.0000231,0.227,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.905511+00:00,95174.187709,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,201,10101,1,0,1,1,0,1,0,615597228,12,25310,95174138,13,0,1.1991496,0.0000287,"[0.8249651193618774,-0.031537976115942,0.028800982981920242,-0.563567578792572]","[-0.002007704693824053,0.0008594001410529017,2.872812001442071e-05]","[-0.10120199620723724,-0.8454260230064392,9.723831176757812]",0.0001299,1.273,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:58.954533+00:00,95174.237703,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.049216,201,10101,1,0,1,1,0,1,0,615597228,12,25310,95174138,13,0,1.1991496,0.0000287,"[0.8249651193618774,-0.031537976115942,0.028800982981920242,-0.563567578792572]","[-0.002007704693824053,0.0008594001410529017,2.872812001442071e-05]","[-0.10120199620723724,-0.8454260230064392,9.723831176757812]",0.0001299,1.273,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:59.006771+00:00,95174.287708,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,203,10201,1,0,1,1,0,1,0,615597228,14,35040,95174237,15,0,1.1990944,-0.0005938,"[0.824977695941925,-0.03161199018359184,0.028921987861394882,-0.5635387897491455]","[-0.003834069473668933,0.0008634842233732343,-0.0005937959649600089]","[-0.09634699672460556,-0.8359730243682861,9.714152336120605]",0.0001626,1.594,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:59.055802+00:00,95174.337709,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,204,10251,1,0,1,1,0,1,0,615597228,15,56865,95174289,16,0,1.1990612,0.0000139,"[0.8249852061271667,-0.03166298195719719,0.02896898053586483,-0.5635226368904114]","[-0.004444062244147062,0.000875143043231219,1.3945181308372412e-05]","[-0.08687900006771088,-0.8480079770088196,9.716836929321289]",0.0001626,1.594,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:59:59.105539+00:00,95174.387668,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,205,10301,1,0,1,1,0,1,0,615597228,16,1649,95174339,17,0,1.1990291,-0.0012237,"[0.8249910473823547,-0.03174298256635666,0.029043979942798615,-0.5635056495666504]","[-0.0068785869516432285,0.000875439727678895,-0.0012237027985975146]","[-0.09639400243759155,-0.8529940247535706,9.702407836914062]",0.0002479,2.430,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
