host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:02:00.032671+00:00,95295.315932,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:02:00.083136+00:00,95295.365709,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,167,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2026147,0.0000176,"[0.8239651918411255,-0.03209797665476799,0.028670981526374817,-0.5650035738945007]","[-0.0038349770475178957,0.000871198542881757,1.7645279513089918e-05]","[-0.08686999976634979,-0.8431230187416077,9.721563339233398]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.132806+00:00,95295.415763,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,168,8450,0,0,1,1,0,1,0,2503812969,0,23435,95295316,1,0,1.2025737,-0.0024466,"[0.8239752054214478,-0.032137978821992874,0.028712980449199677,-0.5649845600128174]","[-0.0032147918827831745,0.0020840975921601057,-0.002446567639708519]","[-0.08685299754142761,-0.8431969881057739,9.716767311096191]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.183436+00:00,95295.465718,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,169,8500,0,0,1,1,0,1,0,2503812969,1,52651,95295366,2,0,1.2025467,-0.0006196,"[0.8239814043045044,-0.032173991203308105,0.028784992173314095,-0.5649698972702026]","[-0.004435684997588396,0.0021151122637093067,-0.0006195919122546911]","[-0.09403400123119354,-0.8528950214385986,9.709630012512207]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.233122+00:00,95295.515701,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,170,8550,0,0,1,1,0,1,0,2503812969,2,38608,95295416,3,0,1.2025331,-0.0012532,"[0.8239834904670715,-0.032215993851423264,0.028853992000222206,-0.5649608969688416]","[-0.005647972691804171,0.00294704083353281,-0.0012531812535598874]","[-0.10361599922180176,-0.8469330072402954,9.729423522949219]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.283065+00:00,95295.565753,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,171,8600,0,0,1,1,0,1,0,2503812969,3,61079,95295466,4,0,1.2025058,-0.0000045,"[0.823988676071167,-0.03227996453642845,0.028937967494130135,-0.5649454593658447]","[-0.005658497102558613,0.0015068475622683764,-4.485496447159676e-06]","[-0.1036050021648407,-0.8502629995346069,9.721475601196289]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.333120+00:00,95295.615750,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,172,8650,0,0,1,1,0,1,0,2503812969,4,54872,95295516,5,0,1.2024579,-0.0000082,"[0.8239997029304504,-0.032340966165065765,0.029023969545960426,-0.5649213790893555]","[-0.004436591640114784,0.0021228091791272163,-8.150687790475786e-06]","[-0.11565300077199936,-0.8570569753646851,9.745426177978516]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.384253+00:00,95295.665726,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,173,8700,0,0,1,1,0,1,0,2503812969,5,44575,95295566,6,0,1.2024298,-0.0012016,"[0.8240054249763489,-0.032395996153354645,0.029101993888616562,-0.5649058818817139]","[-0.003224076936021447,0.0008518428658135235,-0.0012015544343739748]","[-0.13467499613761902,-0.8375430107116699,9.756913185119629]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.432811+00:00,95295.715766,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,174,8750,0,0,1,1,0,1,0,2503812969,6,12901,95295616,7,0,1.2024118,-0.0012605,"[0.8240087628364563,-0.032435961067676544,0.029185965657234192,-0.5648943185806274]","[-0.005645494442433119,0.003362935269251466,-0.001260546618141234]","[-0.13720500469207764,-0.8516709804534912,9.776284217834473]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:02:00.482781+00:00,95295.765766,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,175,8800,0,0,1,1,0,1,0,2503812969,7,25556,95295667,8,0,1.2023993,0.0012037,"[0.824011504650116,-0.032454993575811386,0.02925299108028412,-0.5648857951164246]","[-0.004434672184288502,0.0027620880864560604,0.0012036837870255113]","[-0.14188599586486816,-0.82989102602005,9.783105850219727]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
