host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:07:03.932740+00:00,95599.215987,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:07:03.983975+00:00,95599.265842,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,280,14051,0,0,1,1,0,1,0,4289549402,0,34716,95599216,1,0,1.1941977,0.0012885,"[0.8263196349143982,-0.03263599053025246,0.028686990961432457,-0.5615227818489075]","[-0.0032426300458610058,-0.0016126494156196713,0.0012884719762951136]","[-0.08209600299596786,-0.8505449891090393,9.709733963012695]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.034052+00:00,95599.315788,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,281,14101,0,0,1,1,0,1,0,4289549402,1,34017,95599267,2,0,1.1941922,0.0012737,"[0.8263198733329773,-0.03266697749495506,0.02870498225092888,-0.5615196228027344]","[-0.0020169897470623255,-0.0003728372394107282,0.0012737413635477424]","[-0.0845789983868599,-0.857492983341217,9.726598739624023]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.084172+00:00,95599.365768,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,282,14151,0,0,1,1,0,1,0,4289549402,2,57935,95599317,3,0,1.1941868,0.0012737,"[0.8263208866119385,-0.032681986689567566,0.028697986155748367,-0.5615177154541016]","[-0.0020169897470623255,-0.0003728372394107282,0.0012737413635477424]","[-0.08445599675178528,-0.8555650115013123,9.695387840270996]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.133990+00:00,95599.415786,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,283,14201,0,0,1,1,0,1,0,4289549402,3,59554,95599367,4,0,1.1941999,0.0000324,"[0.8263158798217773,-0.03271498158574104,0.02868698351085186,-0.5615236163139343]","[-0.003229609690606594,0.00024342107644770294,3.239331272197887e-05]","[-0.08694300055503845,-0.8600339889526367,9.717013359069824]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.183579+00:00,95599.465775,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,284,14251,0,0,1,1,0,1,0,4289549402,4,46046,95599417,5,0,1.1942157,0.0006881,"[0.8263103365898132,-0.03274799883365631,0.0286679957062006,-0.5615309476852417]","[-0.0014144672313705087,-0.0016321622533723712,0.0006880960427224636]","[-0.09891500324010849,-0.8573169708251953,9.733628273010254]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.234049+00:00,95599.515842,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,285,14301,0,0,1,1,0,1,0,4289549402,5,24260,95599466,6,0,1.1942037,0.0016593,"[0.8263137936592102,-0.03274398669600487,0.028653984889388084,-0.5615267157554626]","[-0.002010130789130926,0.0008799601346254349,0.0016592671163380146]","[-0.10052900016307831,-0.8547459840774536,9.743966102600098]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.284029+00:00,95599.565786,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,286,14351,0,0,1,1,0,1,0,4289549402,6,17232,95599517,7,0,1.1941824,0.0018668,"[0.8263198137283325,-0.03274398297071457,0.028636982664465904,-0.561518669128418]","[-0.0014013424515724182,0.0008785988320596516,0.001866769278421998]","[-0.10844700038433075,-0.8523889780044556,9.738243103027344]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.333853+00:00,95599.615770,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,287,14401,0,0,1,1,0,1,0,4289549402,7,15127,95599567,8,0,1.1942004,0.0012590,"[0.8263149857521057,-0.032738979905843735,0.028626983985304832,-0.5615266561508179]","[-0.0007913497393019497,0.000866957358084619,0.0012590107508003712]","[-0.11806000024080276,-0.8594149947166443,9.747831344604492]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.383847+00:00,95599.665762,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,288,14451,0,0,1,1,0,1,0,4289549402,8,45314,95599617,9,0,1.1941940,0.0024487,"[0.8263176679611206,-0.03271696716547012,0.0285989698022604,-0.5615254044532776]","[-0.002612949814647436,0.002141867997124791,0.0024487320333719254]","[-0.1323619931936264,-0.8446229696273804,9.766639709472656]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.433993+00:00,95599.715779,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,289,14501,0,0,1,1,0,1,0,4289549402,9,30190,95599667,10,0,1.1941854,0.0012811,"[0.826321542263031,-0.03267998993396759,0.028599990531802177,-0.5615218281745911]","[-0.0007988197612576187,-0.0003807086613960564,0.0012811415363103151]","[-0.13234899938106537,-0.8372970223426819,9.773727416992188]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.484060+00:00,95599.765836,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,290,14551,0,0,1,1,0,1,0,4289549402,10,30937,95599717,11,0,1.1941803,0.0012443,"[0.8263248205184937,-0.03263399004936218,0.028579989448189735,-0.5615207552909851]","[0.0004342728352639824,0.002106769708916545,0.001244280138053]","[-0.12998099625110626,-0.8323140144348145,9.785676956176758]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.533083+00:00,95599.815766,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,291,14601,0,0,1,1,0,1,0,4289549402,11,34144,95599767,12,0,1.1941658,0.0020964,"[0.8263288736343384,-0.03263197839260101,0.028562981635332108,-0.5615156292915344]","[-0.0008000240195542574,-0.00037042866460978985,0.0020964022260159254]","[-0.1306840032339096,-0.8253269791603088,9.770373344421387]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.582961+00:00,95599.865822,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,292,14651,0,0,1,1,0,1,0,4289549402,12,63466,95599816,13,0,1.1941439,0.0006402,"[0.826336145401001,-0.03260397911071777,0.028563978150486946,-0.5615065693855286]","[-0.0020086122676730156,0.0008671144605614245,0.0006401693099178374]","[-0.13226400315761566,-0.8229020237922668,9.771119117736816]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.633819+00:00,95599.915826,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,293,14701,0,0,1,1,0,1,0,4289549402,13,13062,95599866,14,0,1.1941376,0.0012369,"[0.8263387680053711,-0.032581984996795654,0.028568986803293228,-0.5615037083625793]","[-0.0007838798337616026,0.0021146410144865513,0.0012368973111733794]","[-0.12037300318479538,-0.8228099942207336,9.780850410461426]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:07:04.683739+00:00,95599.965765,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,294,14751,0,0,1,1,0,1,0,4289549402,14,19611,95599916,15,0,1.1941332,0.0012443,"[0.8263412117958069,-0.032550979405641556,0.028576979413628578,-0.5615015625953674]","[0.0004342728352639824,0.002106769708916545,0.001244280138053]","[-0.1178859993815422,-0.818340003490448,9.759223937988281]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
