host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T14:01:59.362595+00:00,102494.645871,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T14:01:59.412764+00:00,102494.695732,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,220,11051,1,0,1,1,0,1,0,3959609380,0,56069,102494645,1,0,0.8322763,-0.0024060,"[0.9140417575836182,-0.03342898190021515,0.018367988988757133,-0.40382274985313416]","[-0.005669807083904743,-0.001019342103973031,-0.00240604137070477]","[-0.060318998992443085,-0.7412649989128113,9.782739639282227]",0.0002160,2.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.462970+00:00,102494.745726,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,221,11101,1,0,1,1,0,1,0,3959609380,1,25395,102494696,2,0,0.8322795,-0.0036548,"[0.9140386581420898,-0.03349898010492325,0.018348991870880127,-0.4038248062133789]","[-0.0062696244567632675,0.00021682227088604122,-0.0036547717172652483]","[-0.04838100075721741,-0.7487559914588928,9.768593788146973]",0.0001746,1.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.513803+00:00,102494.795747,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,222,11151,1,0,1,1,0,1,0,3959609380,2,56284,102494746,3,0,0.8322468,-0.0011794,"[0.9140422940254211,-0.033584967255592346,0.01832498237490654,-0.40381062030792236]","[-0.004452195484191179,-0.0008038463420234621,-0.0011794411111623049]","[-0.08263299614191055,-0.7368360161781311,9.803208351135254]",0.0001746,1.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.563859+00:00,102494.845751,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,223,11201,1,0,1,1,0,1,0,3959609380,3,30441,102494796,4,0,0.8321705,-0.0024269,"[0.9140546917915344,-0.033669982105493546,0.01831698790192604,-0.40377581119537354]","[-0.0036283298395574093,0.0008390495786443353,-0.0024269153364002705]","[-0.07158699631690979,-0.7430809736251831,9.81782054901123]",0.0001770,1.734,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.613811+00:00,102494.895754,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,224,11251,1,0,1,1,0,1,0,3959609380,4,34653,102494847,5,0,0.8320675,-0.0011868,"[0.914072573184967,-0.03375398367643356,0.018283993005752563,-0.4037298560142517]","[-0.00444971676915884,-0.0003879518189933151,-0.0011868238216266036]","[-0.09149599820375443,-0.7453100085258484,9.823221206665039]",0.0001770,1.734,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.663772+00:00,102494.945688,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,225,11301,1,0,1,1,0,1,0,3959609380,5,47909,102494897,6,0,0.8319640,0.0006033,"[0.9140915274620056,-0.03380998969078064,0.018269993364810944,-0.4036828875541687]","[-0.004437499679625034,0.0021305235568434,0.0006032905075699091]","[-0.08432299643754959,-0.7355740070343018,9.832757949829102]",0.0001515,1.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.713056+00:00,102494.995735,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,226,11351,1,0,1,1,0,1,0,3959609380,6,63037,102494946,7,0,0.8318579,0.0012516,"[0.9141114950180054,-0.03384995833039284,0.018263977020978928,-0.40363451838493347]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[-0.10578099638223648,-0.7355120182037354,9.830108642578125]",0.0001515,1.484,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.763448+00:00,102495.045743,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,227,11401,1,0,1,1,0,1,0,3959609380,7,16955,102494996,8,0,0.8317496,-0.0011684,"[0.914131760597229,-0.033895980566740036,0.01824098825454712,-0.4035857617855072]","[-0.0032352821435779333,-0.001019656308926642,-0.001168375718407333]","[-0.10587500035762787,-0.744949996471405,9.842241287231445]",0.0001706,1.672,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.813610+00:00,102495.095748,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,228,11451,1,0,1,1,0,1,0,3959609380,8,39543,102495046,9,0,0.8317229,-0.0015846,"[0.9141362309455872,-0.033924974501132965,0.01818898506462574,-0.4035756289958954]","[-0.002824885305017233,-0.00040357248508371413,-0.001584602054208517]","[-0.10983700305223465,-0.7474470138549805,9.835036277770996]",0.0001690,1.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T14:01:59.862926+00:00,102495.145726,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,229,11501,1,0,1,1,0,1,0,3959609380,9,24846,102495096,10,0,0.8317105,-0.0024134,"[0.9141376614570618,-0.03395896032452583,0.018122978508472443,-0.40357252955436707]","[-0.0032259970903396606,0.0002125811151927337,-0.0024133888073265553]","[-0.12254100292921066,-0.7425410151481628,9.8372163772583]",0.0001690,1.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
