host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T13:54:07.960395+00:00,102023.243676,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T13:54:08.011046+00:00,102023.293542,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,217,10901,1,0,1,1,0,1,0,554993548,0,40170,102023243,1,0,0.8271971,0.0085546,"[0.915020763874054,-0.03469197824597359,0.017961988225579262,-0.4015107750892639]","[-0.004043194931000471,0.002228157129138708,0.008554626256227493]","[-0.1097240000963211,-0.7512170076370239,9.798312187194824]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.060662+00:00,102023.343532,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,218,10951,1,0,1,1,0,1,0,554993548,1,29328,102023294,2,0,0.8271711,0.0073551,"[0.9150246977806091,-0.03472498059272766,0.018009990453720093,-0.4014967978000641]","[-0.0020148255862295628,0.001575788133777678,0.007355096749961376]","[-0.09852399677038193,-0.7556679844856262,9.772917747497559]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.111516+00:00,102023.393486,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,219,11001,1,0,1,1,0,1,0,554993548,2,61162,102023344,3,0,0.8271889,0.0060990,"[0.9150214791297913,-0.034712959080934525,0.018044980242848396,-0.4015035629272461]","[-0.002001822693273425,0.0034318757243454456,0.006099018268287182]","[-0.10330700129270554,-0.7678930163383484,9.758649826049805]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.160731+00:00,102023.443518,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,220,11051,1,0,1,1,0,1,0,554993548,3,38573,102023394,4,0,0.8272307,0.0049351,"[0.9150135517120361,-0.034697987139225006,0.018091993406414986,-0.40152081847190857]","[0.0004213748325128108,0.0009053546818904579,0.004935110919177532]","[-0.09601999819278717,-0.7512720227241516,9.746495246887207]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.211014+00:00,102023.493530,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,221,11101,1,0,1,1,0,1,0,554993548,4,33454,102023444,5,0,0.8272821,0.0061175,"[0.9150053262710571,-0.034641992300748825,0.018104996532201767,-0.40154391527175903]","[-0.0007873878930695355,0.002800171496346593,0.0061174663715064526]","[-0.08168300241231918,-0.7514479756355286,9.739465713500977]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.260629+00:00,102023.543472,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,222,11151,1,0,1,1,0,1,0,554993548,5,64233,102023494,6,0,0.8273647,0.0049277,"[0.9149913191795349,-0.034568991512060165,0.018129998818039894,-0.40158089995384216]","[0.00042387068970128894,0.0013212491758167744,0.004927745554596186]","[-0.052115000784397125,-0.7514169812202454,9.698224067687988]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.311175+00:00,102023.593528,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,223,11201,1,0,1,1,0,1,0,554993548,6,41362,102023544,7,0,0.8274280,0.0061580,"[0.9149812459945679,-0.03449496626853943,0.01816498301923275,-0.4016086161136627]","[0.00041957717621698976,0.0009207833209075034,0.006158027797937393]","[-0.014670000411570072,-0.7625870108604431,9.661237716674805]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.361124+00:00,102023.643526,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,224,11251,1,0,1,1,0,1,0,554993548,7,14258,102023594,8,0,0.8274696,0.0061507,"[0.9149765372276306,-0.03439698740839958,0.01816399395465851,-0.40162786841392517]","[0.0028633871115744114,0.0021527239587157965,0.006150679662823677]","[-0.01230200007557869,-0.7625240087509155,9.666062355041504]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T13:54:08.411708+00:00,102023.693563,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,225,11301,1,0,1,1,0,1,0,554993548,8,20757,102023644,9,0,0.8274950,0.0061802,"[0.9149758815765381,-0.03427397832274437,0.01816498674452305,-0.4016397297382355]","[0.004074087366461754,0.0008971865754574537,0.006180176045745611]","[-0.005090999882668257,-0.7603349685668945,9.654118537902832]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
