host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:28:01.717455+00:00,89657.000709,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:28:01.767885+00:00,89657.050545,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,113,5701,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6232557,0.0121618,"[0.9511991143226624,-0.03446896746754646,-0.00547299487516284,0.3065977096557617]","[-0.014200069010257721,0.0023399803321808577,0.01216178573668003]","[-0.09565400332212448,-0.6839579939842224,9.743110656738281]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:01.817859+00:00,89657.100494,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,114,5751,0,0,1,1,0,1,0,1651897676,0,61703,89657000,1,0,-0.6236874,0.0109168,"[0.9511213302612305,-0.03477896749973297,-0.005502994172275066,0.3068036735057831]","[-0.014190783724188805,0.0035722353495657444,0.010916773229837418]","[-0.12197999656200409,-0.6859130263328552,9.764425277709961]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:01.868619+00:00,89657.150500,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,115,5801,0,0,1,1,0,1,0,1651897676,1,30596,89657051,2,0,-0.6240979,0.0133700,"[0.9510473012924194,-0.03506699204444885,-0.00551599869504571,0.30699998140335083]","[-0.012976245023310184,0.0035952210891991854,0.013369955122470856]","[-0.11402100324630737,-0.6794250011444092,9.771617889404297]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:01.918255+00:00,89657.200579,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,116,5851,0,0,1,1,0,1,0,1651897676,2,2073,89657101,3,0,-0.6244982,0.0109352,"[0.9509761333465576,-0.035316966474056244,-0.0055159940384328365,0.3071916997432709]","[-0.01114535890519619,0.003552565351128578,0.010935238562524319]","[-0.12444199621677399,-0.6855719685554504,9.785980224609375]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:01.968536+00:00,89657.250562,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,117,5901,0,0,1,1,0,1,0,1651897676,3,52469,89657151,4,0,-0.6248482,0.0103570,"[0.9509139060974121,-0.035530973225831985,-0.005501995328813791,0.3073597550392151]","[-0.009324666112661362,0.0022853866685181856,0.010356975719332695]","[-0.1315460056066513,-0.6709960103034973,9.792880058288574]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:02.018350+00:00,89657.300571,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,118,5951,0,0,1,1,0,1,0,1651897676,4,48879,89657201,5,0,-0.6251825,0.0097345,"[0.9508558511734009,-0.03569997474551201,-0.005497995764017105,0.307519793510437]","[-0.007489033509045839,0.003513557370752096,0.009734487161040306]","[-0.13161799311637878,-0.6829869747161865,9.795455932617188]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:02.068699+00:00,89657.350568,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,119,6001,1,0,1,1,0,1,0,1651897676,5,10447,89657251,6,0,-0.6254818,0.0085116,"[0.9508052468299866,-0.03581295907497406,-0.005470993462949991,0.3076636493206024]","[-0.005656227935105562,0.004110163077712059,0.008511604741215706]","[-0.11962500214576721,-0.6734930276870728,9.790657043457031]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:02.118741+00:00,89657.400581,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,120,6051,1,0,1,1,0,1,0,1651897676,6,20065,89657301,7,0,-0.6257387,0.0085227,"[0.9507622122764587,-0.0358949638903141,-0.005429993849247694,0.3077876567840576]","[-0.005659963469952345,0.0034863303881138563,0.008522669784724712]","[-0.11241400241851807,-0.6762250065803528,9.771590232849121]",0.0001020,1.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:28:02.168699+00:00,89657.450569,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,121,6101,1,0,1,1,0,1,0,1651897676,7,25741,89657351,8,0,-0.6260007,0.0089893,"[0.9507197737693787,-0.03594297543168068,-0.005392995662987232,0.30791381001472473]","[-0.0007978249923326075,0.001796432537958026,0.008989335969090462]","[-0.10933300107717514,-0.6971349716186523,9.768733024597168]",0.0001020,1.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
