host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T09:53:56.721306+00:00,87612.004550,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T09:53:56.771545+00:00,87612.054353,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,362,18150,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:56.821701+00:00,87612.104355,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,363,18200,1,0,1,1,0,1,0,1112546987,0,26638,87612004,1,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:56.871485+00:00,87612.154375,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,364,18250,1,0,1,1,0,1,0,1112546987,1,38327,87612054,2,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:56.921892+00:00,87612.204304,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,365,18300,1,0,1,1,0,1,0,1112546987,2,59194,87612105,3,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:56.972290+00:00,87612.254376,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,366,18350,1,0,1,1,0,1,0,1112546987,3,46731,87612154,4,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.021809+00:00,87612.304359,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,367,18400,1,0,1,1,0,1,0,1112546987,4,23628,87612205,5,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.072480+00:00,87612.354378,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,368,18450,1,0,1,1,0,1,0,1112546987,5,20370,87612255,6,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.121675+00:00,87612.404404,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,369,18500,1,0,1,1,0,1,0,1112546987,6,54248,87612305,7,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.171773+00:00,87612.454394,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,370,18550,1,0,1,1,0,1,0,1112546987,7,43951,87612355,8,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.221548+00:00,87612.504362,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,371,18600,1,0,1,1,0,1,0,1112546987,8,6714,87612405,9,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.271803+00:00,87612.554404,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,372,18650,1,0,1,1,0,1,0,1112546987,9,39548,87612455,10,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.321550+00:00,87612.604365,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,373,18700,1,0,1,1,0,1,0,1112546987,10,33640,87612504,11,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.371993+00:00,87612.654367,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,374,18750,1,0,1,1,0,1,0,1112546987,11,32789,87612555,12,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.421480+00:00,87612.704363,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,375,18800,1,0,1,1,0,1,0,1112546987,12,42195,87612604,13,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.471472+00:00,87612.754360,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,376,18850,1,0,1,1,0,1,0,1112546987,13,18889,87612655,14,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.521401+00:00,87612.804359,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,377,18900,1,0,1,1,0,1,0,1112546987,14,56355,87612704,15,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T09:53:57.571345+00:00,87612.854376,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,378,18950,1,0,1,1,0,1,0,1112546987,15,53245,87612754,16,0,0.4109622,-0.0269489,"[0.9783399701118469,-0.03464996814727783,-0.011828988790512085,0.20374080538749695]","[-0.00682566873729229,0.003046926110982895,-0.02694893255829811]","[0.1020440012216568,-0.7452239990234375,9.731890678405762]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
