host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T11:47:38.495944+00:00,94433.779179,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T11:47:38.546429+00:00,94433.828985,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,174,8750,1,0,1,1,0,1,0,1185572422,0,24103,94433779,1,0,1.3242822,0.0209156,"[0.788197934627533,-0.027186984196305275,0.031924985349178314,-0.6139916777610779]","[-0.04831968620419502,0.003089250298216939,0.020915554836392403]","[-0.18794499337673187,-0.8151479959487915,9.788756370544434]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.596709+00:00,94433.878939,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,175,8800,1,0,1,1,0,1,0,1185572422,1,63521,94433829,2,0,1.3233570,0.0193294,"[0.7884525060653687,-0.028028976172208786,0.03272797539830208,-0.6135845184326172]","[-0.03856690973043442,0.0038375426083803177,0.019329365342855453]","[-0.17300300300121307,-0.8637160062789917,9.764055252075195]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.646423+00:00,94433.929083,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,176,8850,1,0,1,1,0,1,0,1185572422,2,35724,94433880,3,0,1.3225288,0.0157086,"[0.7886826992034912,-0.028694992884993553,0.03339598700404167,-0.6132218241691589]","[-0.032474346458911896,0.0031281011179089546,0.015708645805716515]","[-0.17324499785900116,-0.909417986869812,9.764724731445312]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.696785+00:00,94433.978999,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,177,8900,1,0,1,1,0,1,0,1185572422,3,57928,94433929,4,0,1.3218280,0.0133551,"[0.7888785004615784,-0.029219975695014,0.03388097509741783,-0.612918496131897]","[-0.02273656241595745,0.0011627908097580075,0.013355102390050888]","[-0.1850609928369522,-0.8704739809036255,9.790403366088867]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.746207+00:00,94434.028935,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,178,8950,1,0,1,1,0,1,0,1185572422,4,44087,94433980,5,0,1.3211981,0.0128138,"[0.7890582084655762,-0.02958500012755394,0.03418099507689476,-0.6126529574394226]","[-0.014824983663856983,-0.00014371040742844343,0.012813788838684559]","[-0.17541800439357758,-0.8660370111465454,9.768858909606934]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.796105+00:00,94434.078948,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,179,9000,1,0,1,1,0,1,0,1185572422,5,11156,94434029,6,0,1.3206732,0.0111196,"[0.789210319519043,-0.029826976358890533,0.034282978624105453,-0.6124395132064819]","[-0.004493943881243467,-0.004600600805133581,0.011119616217911243]","[-0.15633699297904968,-0.9005709886550903,9.719210624694824]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.846141+00:00,94434.128927,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,180,9050,1,0,1,1,0,1,0,1185572422,6,60130,94434079,7,0,1.3201523,0.0099398,"[0.7893686294555664,-0.029872970655560493,0.03420696780085564,-0.6122374534606934]","[0.0044448478147387505,-0.004049879498779774,0.009939825162291527]","[-0.1832430064678192,-0.86080402135849,9.741506576538086]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.897155+00:00,94434.179038,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,181,9100,1,0,1,1,0,1,0,1185572422,7,14589,94434129,8,0,1.3196365,0.0099522,"[0.7895312309265137,-0.029762979596853256,0.034001972526311874,-0.6120445728302002]","[0.010137117467820644,-0.0028389000799506903,0.009952181950211525]","[-0.17822900414466858,-0.8257910013198853,9.725056648254395]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T11:47:38.946163+00:00,94434.229031,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,182,9150,1,0,1,1,0,1,0,1185572422,8,9280,94434180,9,0,1.3191332,0.0111936,"[0.789696455001831,-0.029473990201950073,0.03370299190282822,-0.6118618249893188]","[0.01684272475540638,-0.0016190721653401852,0.011193599551916122]","[-0.16779999434947968,-0.8262419700622559,9.6987943649292]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
