host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:43:04.743792+00:00,90560.027026,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:43:04.794418+00:00,90560.076838,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,141,7100,1,0,1,1,0,1,0,1959210761,0,37646,90560027,1,0,1.3047514,0.0197131,"[0.7942405343055725,-0.02527599409222603,0.022757994011044502,-0.6066508293151855]","[-0.004517802037298679,-0.0063641685992479324,0.019713127985596657]","[0.01926499977707863,-0.6469889879226685,9.679119110107422]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:04.844812+00:00,90560.126846,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,142,7150,1,0,1,1,0,1,0,1959210761,1,15931,90560077,2,0,1.3031045,0.0196320,"[0.7947365641593933,-0.02539798989892006,0.022728990763425827,-0.60599684715271]","[-0.004490435589104891,-0.00178932910785079,0.019632039591670036]","[0.008751999586820602,-0.6732419729232788,9.689779281616211]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:04.894874+00:00,90560.176792,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,143,7200,1,0,1,1,0,1,0,1959210761,2,23973,90560128,3,0,1.3014443,0.0200274,"[0.7952380776405334,-0.025455985218286514,0.02274198643863201,-0.6053356528282166]","[-0.002859337953850627,-0.0005470036994665861,0.020027393475174904]","[0.007178999949246645,-0.6733080148696899,9.68496322631836]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:04.943993+00:00,90560.226778,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,144,7250,1,0,1,1,0,1,0,1959210761,3,39241,90560178,4,0,1.2997477,0.0207739,"[0.7957510948181152,-0.025479968637228012,0.02281697280704975,-0.6046572923660278]","[-0.0020235346164554358,0.0036169681698083878,0.020773870870471]","[-0.004840000066906214,-0.6802250146865845,9.700919151306152]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:04.994663+00:00,90560.276844,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,145,7300,1,0,1,1,0,1,0,1959210761,4,48879,90560227,5,0,1.2980469,0.0219488,"[0.7962659001350403,-0.025464987382292747,0.02292298898100853,-0.6039757132530212]","[-0.00261949491687119,0.006131673231720924,0.021948842331767082]","[-0.004954999778419733,-0.6920310258865356,9.715485572814941]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:05.043901+00:00,90560.326853,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.049228,145,7300,1,0,1,1,0,1,0,1959210761,4,48879,90560227,5,0,1.2980469,0.0219488,"[0.7962659001350403,-0.025464987382292747,0.02292298898100853,-0.6039757132530212]","[-0.00261949491687119,0.006131673231720924,0.021948842331767082]","[-0.004954999778419733,-0.6920310258865356,9.715485572814941]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:05.095871+00:00,90560.376790,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,147,7400,1,0,1,1,0,1,0,1959210761,6,18417,90560326,7,0,1.2945845,0.0231091,"[0.7973169684410095,-0.025281984359025955,0.023224985226988792,-0.602583646774292]","[-0.0001588249724591151,0.010498260147869587,0.02310911938548088]","[-0.02171899937093258,-0.69166100025177,9.734477996826172]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:05.145008+00:00,90560.426899,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,148,7450,1,0,1,1,0,1,0,1959210761,7,17260,90560379,8,0,1.2928382,0.0218616,"[0.7978475689888,-0.02514197677373886,0.02341497875750065,-0.6018794178962708]","[-0.0011659323936328292,0.011529122479259968,0.02186162769794464]","[-0.07113099843263626,-0.6876400113105774,9.772232055664062]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:43:05.194902+00:00,90560.476853,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,149,7500,1,0,1,1,0,1,0,1959210761,8,13672,90560428,9,0,1.2911233,0.0218641,"[0.7983689308166504,-0.024975989013910294,0.023619988933205605,-0.6011866927146912]","[-0.0019805473275482655,0.01111846324056387,0.021864071488380432]","[-0.10535600036382675,-0.6733760237693787,9.802812576293945]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
