host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:40:32.126910+00:00,90407.410147,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:40:32.177215+00:00,90407.459897,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,112,5651,0,0,1,1,0,1,0,2111321916,0,51510,90407410,1,0,2.3696847,-0.0024171,"[-0.37636134028434753,0.008766007609665394,-0.03382603079080582,0.9258137941360474]","[-0.007497079204767942,-0.0010075437603518367,-0.0024171241093426943]","[-0.11949700117111206,-0.6592810153961182,9.776055335998535]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.227282+00:00,90407.509913,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,113,5701,0,0,1,1,0,1,0,2111321916,1,28464,90407460,2,0,2.3703256,-0.0024282,"[-0.3760623335838318,0.00884400773793459,-0.03395402804017067,0.925929844379425]","[-0.007493344601243734,-0.0003837106633000076,-0.002428189618512988]","[-0.12661400437355042,-0.6471109986305237,9.782989501953125]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.277016+00:00,90407.559894,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,114,5751,0,0,1,1,0,1,0,2111321916,2,56556,90407510,3,0,2.3709426,-0.0036695,"[-0.37577423453330994,0.008918006904423237,-0.034046027809381485,0.9260426759719849]","[-0.006874974351376295,0.0008445997955277562,-0.0036695199087262154]","[-0.11715000122785568,-0.6517459750175476,9.797562599182129]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.327500+00:00,90407.609909,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,115,5801,0,0,1,1,0,1,0,2111321916,3,30041,90407560,4,0,2.3715827,-0.0028321,"[-0.3754752278327942,0.008996005170047283,-0.03414302319288254,0.9261596202850342]","[-0.006883648689836264,-0.00039278637268580496,-0.0028321282006800175]","[-0.11236599832773209,-0.6518290042877197,9.793621063232422]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.377089+00:00,90407.659961,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,116,5851,0,0,1,1,0,1,0,2111321916,4,4528,90407610,5,0,2.3722558,-0.0042588,"[-0.3751623034477234,0.009032007306814194,-0.03423602506518364,0.9262827038764954]","[-0.006881536915898323,-0.0004107807471882552,-0.0042588477954268456]","[-0.10998599976301193,-0.6518149971961975,9.795247077941895]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.426988+00:00,90407.709896,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,117,5901,0,0,1,1,0,1,0,2111321916,5,48261,90407660,6,0,2.3729458,-0.0049219,"[-0.3748423755168915,0.009041009470820427,-0.03432003781199455,0.9264090061187744]","[-0.004421879071742296,0.003308812854811549,-0.004921881016343832]","[-0.10521599650382996,-0.6567580103874207,9.788176536560059]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.477960+00:00,90407.759890,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,118,5951,0,0,1,1,0,1,0,2111321916,6,32243,90407710,7,0,2.3736365,-0.0049293,"[-0.3745233714580536,0.009005008265376091,-0.03438703343272209,0.9265359044075012]","[-0.00564006669446826,0.003316666930913925,-0.004929263610392809]","[-0.08845199644565582,-0.6522079706192017,9.776308059692383]",10.4245062,102160.156,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.527080+00:00,90407.809904,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,119,6001,1,0,1,1,0,1,0,2111321916,7,15025,90407761,8,0,2.3743546,-0.0037064,"[-0.37419208884239197,0.008955002762377262,-0.03447001054883003,0.9266670942306519]","[-0.005641864612698555,0.003332095453515649,-0.0037063637282699347]","[-0.07416699826717377,-0.6718469858169556,9.755171775817871]",0.0000016,0.016,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:40:32.577032+00:00,90407.859898,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,120,6051,1,0,1,1,0,1,0,2111321916,8,39367,90407810,9,0,2.3750536,-0.0049145,"[-0.37386927008628845,0.008918006904423237,-0.034554027020931244,0.9267946481704712]","[-0.0032037091441452503,0.003300941316410899,-0.004914498422294855]","[-0.05990299955010414,-0.6840130090713501,9.750718116760254]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
