host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T11:57:47.225994+00:00,181442.509287,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T11:57:47.276110+00:00,181442.559115,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,395,19801,1,0,1,1,0,1,0,3075592604,0,20478,181442509,1,0,-2.8069334,0.0024967,"[0.16633307933807373,-0.009261003695428371,-0.032073013484478,0.9855043888092041]","[-0.002018804894760251,-0.0003574085421860218,0.002496658591553569]","[-0.05723299831151962,-0.658187985420227,9.709588050842285]",0.0002280,2.234,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.326646+00:00,181442.609119,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,396,19851,1,0,1,1,0,1,0,3075592604,1,35602,181442559,2,0,-2.8069451,0.0012516,"[0.1663270890712738,-0.009267004206776619,-0.03206801787018776,0.9855055212974548]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[-0.07880999892950058,-0.6674540042877197,9.72626781463623]",0.0002224,2.180,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.376966+00:00,181442.659129,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,397,19901,1,0,1,1,0,1,0,3075592604,2,42857,181442609,3,0,-2.8069468,0.0024893,"[0.16632603108882904,-0.009271000511944294,-0.03208000212907791,0.9855052828788757]","[-0.003236974822357297,-0.00034955458249896765,0.002489258535206318]","[-0.0836390033364296,-0.652413010597229,9.764372825622559]",0.0002224,2.180,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.426138+00:00,181442.709080,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,398,19951,1,0,1,1,0,1,0,3075592604,3,62904,181442660,4,0,-2.8069394,0.0024893,"[0.16633008420467377,-0.009259006008505821,-0.0320880226790905,0.9855044484138489]","[-0.002016309183090925,5.846852945978753e-05,0.002489275997504592]","[-0.08523199707269669,-0.6458320021629333,9.774651527404785]",0.0002527,2.477,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.476765+00:00,181442.759127,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,399,20001,1,0,1,1,0,1,0,3075592604,4,22496,181442709,5,0,-2.8069286,0.0012590,"[0.16633519530296326,-0.009265012107789516,-0.03210004046559334,0.9855031371116638]","[-0.0007913497393019497,0.000866957358084619,0.0012590107508003712]","[-0.10274200141429901,-0.6448519825935364,9.780834197998047]",0.0002527,2.477,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.527148+00:00,181442.809136,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,400,20051,1,0,1,1,0,1,0,3075592604,5,61398,181442760,6,0,-2.8069453,0.0018705,"[0.16632705926895142,-0.00926300324499607,-0.03207501024007797,0.9855053424835205]","[-0.0026232474483549595,0.0002626371569931507,0.0018704519607126713]","[-0.1051350012421608,-0.6300420165061951,9.804576873779297]",0.0001905,1.867,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.577045+00:00,181442.859127,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,401,20101,1,0,1,1,0,1,0,3075592604,6,35640,181442810,7,0,-2.8069317,0.0024819,"[0.1663341373205185,-0.009252007119357586,-0.032086025923490524,0.9855038523674011]","[-0.0007931648287922144,0.0008823861135169864,0.0024819280952215195]","[-0.08844800293445587,-0.6251620054244995,9.814292907714844]",0.0001913,1.875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.627092+00:00,181442.909144,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,402,20151,1,0,1,1,0,1,0,3075592604,7,21671,181442860,8,0,-2.8069234,0.0012516,"[0.16633816063404083,-0.009258008562028408,-0.032060034573078156,0.9855039715766907]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[-0.08127500116825104,-0.6351100206375122,9.795331001281738]",0.0001913,1.875,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T11:57:47.676947+00:00,181442.959039,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,403,20201,1,0,1,1,0,1,0,3075592604,8,59250,181442910,9,0,-2.8068991,0.0024696,"[0.1663501113653183,-0.009257006458938122,-0.03206402435898781,0.9855018258094788]","[-0.0028234366327524185,0.0008954934892244637,0.0024696059990674257]","[-0.0788320004940033,-0.6296299695968628,9.78728199005127]",0.0001586,1.555,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
