host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:22:04.756047+00:00,89300.039302,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:22:04.806301+00:00,89300.089119,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,234,11751,1,0,1,1,0,1,0,3091951228,0,25326,89300039,1,0,-0.7098576,0.0012147,"[0.9370607733726501,-0.03358898311853409,-0.007513995748013258,0.34746578335762024]","[-0.004438407253473997,0.0021382379345595837,0.0012147317174822092]","[-0.07169699668884277,-0.6869869828224182,9.709845542907715]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:04.856155+00:00,89300.139110,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,235,11801,1,0,1,1,0,1,0,3091951228,1,39319,89300089,2,0,-0.7098868,0.0012811,"[0.937055230140686,-0.033601969480514526,-0.007509992457926273,0.3474796414375305]","[-0.002629809780046344,-0.0009927434148266912,0.001281106611713767]","[-0.09082499891519547,-0.684237003326416,9.7263765335083]",0.0000462,0.453,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:04.906286+00:00,89300.189124,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,236,11851,1,0,1,1,0,1,0,3091951228,2,44981,89300139,3,0,-0.7098945,0.0012639,"[0.9370535612106323,-0.033610984683036804,-0.007522996515035629,0.3474828600883484]","[-0.002420562319457531,4.5657812734134495e-05,0.0012639150954782963]","[-0.08848900347948074,-0.683214008808136,9.741580963134766]",0.0000151,0.148,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:04.956229+00:00,89300.239111,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,237,11901,1,0,1,1,0,1,0,3091951228,3,26905,89300189,4,0,-0.7099156,0.0006328,"[0.9370487332344055,-0.033642981201410294,-0.007525995839387178,0.3474927842617035]","[-0.0032267821952700615,0.0008749859407544136,0.0006327865994535387]","[-0.10274600237607956,-0.6768190264701843,9.735726356506348]",0.0000151,0.148,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:05.006977+00:00,89300.289124,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,238,11951,1,0,1,1,0,1,0,3091951228,4,50161,89300239,5,0,-0.7099626,0.0018668,"[0.9370392560958862,-0.03367698937654495,-0.007527998182922602,0.34751489758491516]","[-0.003232332179322839,0.0002665641368366778,0.0018667516997084022]","[-0.10522899776697159,-0.6788470149040222,9.75971508026123]",0.0000702,0.688,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:05.056890+00:00,89300.339144,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,239,12001,1,0,1,1,0,1,0,3091951228,5,60938,89300290,6,0,-0.7099496,0.0024745,"[0.9370412826538086,-0.03368399664759636,-0.0075229983776807785,0.3475089371204376]","[-0.0020113347563892603,0.0008902400732040405,0.0024745280388742685]","[-0.11716300249099731,-0.6639930009841919,9.78334903717041]",0.0000702,0.688,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:05.106869+00:00,89300.389116,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,240,12051,1,0,1,1,0,1,0,3091951228,6,24470,89300340,7,0,-0.7099548,0.0012811,"[0.9370394945144653,-0.033706989139318466,-0.007509997580200434,0.347511887550354]","[-0.0007988197612576187,-0.0003807086613960564,0.0012811415363103151]","[-0.12191200256347656,-0.651760995388031,9.795108795166016]",0.0000901,0.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:05.156465+00:00,89300.439031,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,241,12101,1,0,1,1,0,1,0,3091951228,7,51638,89300390,8,0,-0.7099611,0.0012774,"[0.9370381832122803,-0.03371099755167961,-0.007507997564971447,0.34751492738723755]","[-0.0014079046668484807,-0.0003767642192542553,0.0012774413917213678]","[-0.1100199967622757,-0.6565899848937988,9.797715187072754]",0.0000901,0.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:22:05.207096+00:00,89300.489121,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,242,12151,1,0,1,1,0,1,0,3091951228,8,34183,89300439,9,0,-0.7099589,0.0024671,"[0.9370385408401489,-0.033711988478899,-0.007508996874094009,0.3475138545036316]","[-0.0032295051496475935,0.0008981116116046906,0.002467145211994648]","[-0.0917539969086647,-0.6631489992141724,9.794025421142578]",0.0001602,1.570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
