host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T09:00:03.951174+00:00,170779.234592,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T09:00:03.989872+00:00,170779.272488,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,376,18850,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2224090,0.0463663,"[-0.4432373046875,0.01753501035273075,-0.03199402242898941,0.8956615924835205]","[-0.011186636053025723,0.005871357396245003,0.04636629670858383]","[-0.055590998381376266,-0.7164999842643738,9.830406188964844]",0.3426993,3358.453,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.040527+00:00,170779.322508,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,377,18900,1,0,1,1,0,1,0,1203354100,0,9246,170779234,1,0,2.2202945,0.0426018,"[-0.4441920518875122,0.017347002401947975,-0.03230000659823418,0.8951811194419861]","[-0.006876527797430754,0.012659815140068531,0.04260179400444031]","[-0.055612001568078995,-0.7188689708709717,9.832840919494629]",0.3419435,3351.047,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.090466+00:00,170779.372512,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,378,18950,1,0,1,1,0,1,0,1203354100,1,13264,170779273,2,0,2.2182918,0.0412831,"[-0.4451025724411011,0.016993017867207527,-0.032615043222904205,0.8947241306304932]","[-0.0044010397978127,0.018867062404751778,0.041283074766397476]","[-0.06992699950933456,-0.7261649966239929,9.823187828063965]",0.3419435,3351.047,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.168127+00:00,170779.450174,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,380,19050,1,0,1,1,0,1,0,1203354100,3,64011,170779373,4,0,2.2147145,0.0370004,"[-0.4467502534389496,0.015741009265184402,-0.03329101949930191,0.8939005136489868]","[0.0017779844347387552,0.032500822097063065,0.037000369280576706]","[-0.07144799828529358,-0.7387589812278748,9.785774230957031]",0.3410037,3341.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.189082+00:00,170779.472492,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.021117,380,19050,1,0,1,1,0,1,0,1203354100,3,64011,170779373,4,0,2.2147145,0.0370004,"[-0.4467502534389496,0.015741009265184402,-0.03329101949930191,0.8939005136489868]","[0.0017779844347387552,0.032500822097063065,0.037000369280576706]","[-0.07144799828529358,-0.7387589812278748,9.785774230957031]",0.3410037,3341.836,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.240034+00:00,170779.522514,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,381,19100,1,0,1,1,0,1,0,1203354100,4,34193,170779451,5,0,2.2130809,0.0369046,"[-0.4475131928920746,0.014855008572340012,-0.0336800143122673,0.893519401550293]","[0.0042516570538282394,0.03872348368167877,0.03690455108880997]","[-0.06500899791717529,-0.7489719986915588,9.749216079711914]",0.3400375,3332.367,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.289917+00:00,170779.572494,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,382,19150,1,0,1,1,0,1,0,1203354100,5,31800,170779472,6,0,2.2115147,0.0360008,"[-0.4482501745223999,0.013826005160808563,-0.03407801315188408,0.8931513428688049]","[0.0061137317679822445,0.044315971434116364,0.03600083664059639]","[-0.08413200080394745,-0.7536219954490662,9.753861427307129]",0.3400375,3332.367,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.422475+00:00,170779.702690,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,385,19300,1,0,1,1,0,1,0,1203354100,7,52953,170779573,8,0,2.2068908,0.0371205,"[-0.45043542981147766,0.010297010652720928,-0.03541703522205353,0.8920468091964722]","[0.00553644634783268,0.04994989559054375,0.03712053596973419]","[-0.09574799984693527,-0.7376829981803894,9.691123962402344]",0.3376650,3309.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:00:04.422770+00:00,170779.706299,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000601,385,19300,1,0,1,1,0,1,0,1203354100,7,52953,170779573,8,0,2.2068908,0.0371205,"[-0.45043542981147766,0.010297010652720928,-0.03541703522205353,0.8920468091964722]","[0.00553644634783268,0.04994989559054375,0.03712053596973419]","[-0.09574799984693527,-0.7376829981803894,9.691123962402344]",0.3376650,3309.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
