host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T10:23:41.932985+00:00,175797.216271,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T10:23:41.984282+00:00,175797.266125,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,279,14001,1,0,1,1,0,1,0,931095193,0,40566,175797216,1,0,-3.3067491,0.0262884,"[-0.08271902054548264,-0.005243001505732536,-0.03595700487494469,0.9959102272987366]","[-0.00712375296279788,-0.033096469938755035,0.02628839574754238]","[-0.1531990021467209,-0.6996150016784668,9.802650451660156]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.034312+00:00,175797.316193,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,280,14051,1,0,1,1,0,1,0,931095193,1,57588,175797267,2,0,-3.3079927,0.0250950,"[-0.08331003785133362,-0.0043780021369457245,-0.036032017320394516,0.9958624243736267]","[-0.0040802485309541225,-0.03375540301203728,0.025095008313655853]","[-0.14852699637413025,-0.7065969705581665,9.819597244262695]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.084099+00:00,175797.366068,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,281,14101,1,0,1,1,0,1,0,931095193,2,60867,175797317,3,0,-3.3092687,0.0250545,"[-0.08391804248094559,-0.0035580017138272524,-0.036066021770238876,0.9958134293556213]","[-0.0034562235232442617,-0.031263962388038635,0.025054465979337692]","[-0.1350799947977066,-0.7252219915390015,9.812029838562012]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.134103+00:00,175797.416065,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,282,14151,1,0,1,1,0,1,0,931095193,3,10543,175797367,4,0,-3.3105640,0.0262479,"[-0.08453702926635742,-0.0027840009424835443,-0.03607301414012909,0.9957633018493652]","[-0.0010067408438771963,-0.028768908232450485,0.026247920468449593]","[-0.1367119997739792,-0.7356989979743958,9.80816650390625]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.184123+00:00,175797.466070,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,283,14201,1,0,1,1,0,1,0,931095193,4,8351,175797417,5,0,-3.3118613,0.0273971,"[-0.08516004681587219,-0.00210500112734735,-0.0360800176858902,0.995711624622345]","[-0.002204333432018757,-0.025002576410770416,0.02739707939326763]","[-0.10561999678611755,-0.7312880158424377,9.791668891906738]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.234200+00:00,175797.516121,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,284,14251,1,0,1,1,0,1,0,931095193,5,13121,175797467,6,0,-3.3131618,0.0255038,"[-0.08578803390264511,-0.0015250007854774594,-0.03606101870536804,0.9956594705581665]","[-0.000961048121098429,-0.02129053883254528,0.025503765791654587]","[-0.08158999681472778,-0.7272469997406006,9.74870491027832]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.284202+00:00,175797.566116,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,285,14301,1,0,1,1,0,1,0,931095193,6,19676,175797517,7,0,-3.3144565,0.0260857,"[-0.08641605824232101,-0.001033000648021698,-0.03606502339243889,0.9956056475639343]","[-0.0021726556587964296,-0.020027270540595055,0.026085708290338516]","[-0.07670900225639343,-0.712984025478363,9.738957405090332]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.334244+00:00,175797.616122,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,286,14351,1,0,1,1,0,1,0,931095193,7,34864,175797567,8,0,-3.3157415,0.0271833,"[-0.08704204112291336,-0.0006150003173388541,-0.036116018891334534,0.9955495595932007]","[-0.004573460668325424,-0.013757715001702309,0.027183260768651962]","[-0.05752599984407425,-0.7085909843444824,9.717522621154785]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.384021+00:00,175797.666117,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,287,14401,1,0,1,1,0,1,0,931095193,8,64036,175797617,9,0,-3.3170791,0.0271267,"[-0.0876980721950531,-0.00031100018532015383,-0.03617902845144272,0.9954898357391357]","[-0.0065888273529708385,-0.01124924048781395,0.02712670899927616]","[-0.05351199954748154,-0.6997529864311218,9.719837188720703]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.433243+00:00,175797.716028,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,288,14451,1,0,1,1,0,1,0,931095193,9,27652,175797667,10,0,-3.3184402,0.0288922,"[-0.08836907148361206,-9.400015551364049e-05,-0.03625403344631195,0.9954278469085693]","[-0.006975190714001656,-0.00748044578358531,0.02889224886894226]","[-0.038343001157045364,-0.6943560242652893,9.71033763885498]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.484200+00:00,175797.766125,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,289,14501,1,0,1,1,0,1,0,931095193,10,40951,175797716,11,0,-3.3198171,0.0294300,"[-0.0890510156750679,2.9000093491049483e-05,-0.036333005875349045,0.9953641891479492]","[-0.008171875961124897,-0.003721809946000576,0.02942996844649315]","[-0.038339000195264816,-0.6919140219688416,9.712699890136719]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.534220+00:00,175797.816135,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,290,14551,1,0,1,1,0,1,0,931095193,11,31198,175797767,12,0,-3.3212304,0.0312570,"[-0.08975301682949066,9.999996109399945e-05,-0.03641100600361824,0.9952982664108276]","[-0.005730770993977785,-0.002466743579134345,0.03125698119401932]","[-0.03843599930405617,-0.70871502161026,9.71534538269043]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T10:23:42.584214+00:00,175797.866125,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,291,14601,1,0,1,1,0,1,0,931095193,12,8866,175797817,13,0,-3.3227184,0.0318095,"[-0.09049505740404129,9.299995144829154e-05,-0.036505021154880524,0.9952276349067688]","[-0.004491098690778017,0.0012761324178427458,0.03180946409702301]","[-0.040860000997781754,-0.7011579871177673,9.736795425415039]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
