host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:51:31.963832+00:00,91067.247103,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:51:32.014082+00:00,91067.296946,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,548,27451,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5918155,0.0018447,"[0.9560217261314392,-0.031063979491591454,0.01487199030816555,-0.2912668287754059]","[-0.0013938723132014275,0.002126282313838601,0.001844655955210328]","[-0.16981400549411774,-0.6580600142478943,9.840228080749512]",0.0000319,0.312,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.064234+00:00,91067.346889,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,549,27501,1,0,1,1,0,1,0,1611038497,0,2070,91067247,1,0,0.5918217,0.0012701,"[0.9560231566429138,-0.030990971252322197,0.01485698577016592,-0.2912707030773163]","[-0.0007950847502797842,0.00024312437744811177,0.0012700761435553432]","[-0.16983099281787872,-0.6579869985580444,9.845024108886719]",0.0000399,0.391,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.114272+00:00,91067.396939,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,550,27551,1,0,1,1,0,1,0,1611038497,1,13422,91067297,2,0,0.5918133,0.0000619,"[0.9560268521308899,-0.03091897815465927,0.014806990511715412,-0.29126882553100586]","[0.0016430530231446028,0.00021197022579144686,6.194173329276964e-05]","[-0.1745849996805191,-0.6580380201339722,9.84017276763916]",0.0000399,0.391,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.164055+00:00,91067.446883,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,551,27601,1,0,1,1,0,1,0,1611038497,2,34738,91067347,3,0,0.5918447,0.0000767,"[0.9560243487358093,-0.03085596300661564,0.014766981825232506,-0.2912856340408325]","[0.0004174129571765661,-0.001027841935865581,7.6672324212268e-05]","[-0.17457599937915802,-0.6629959940910339,9.830652236938477]",0.0001156,1.133,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.214828+00:00,91067.496957,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,552,27651,1,0,1,1,0,1,0,1611038497,3,53894,91067397,4,0,0.5918751,0.0012959,"[0.9560223817825317,-0.030780989676713943,0.014727993868291378,-0.2913018763065338]","[0.0016375202685594559,-0.0003964340721722692,0.0012959069572389126]","[-0.15064699947834015,-0.6642619967460632,9.807757377624512]",0.0001156,1.133,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.265090+00:00,91067.546975,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,553,27701,1,0,1,1,0,1,0,1611038497,4,46703,91067447,5,0,0.5919093,0.0000546,"[0.9560200572013855,-0.030703969299793243,0.01466898713260889,-0.2913207709789276]","[0.002255873056128621,0.0008318762993440032,5.457644510897808e-05]","[-0.14334900677204132,-0.654250979423523,9.782903671264648]",0.0001602,1.570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.315087+00:00,91067.596971,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,554,27751,1,0,1,1,0,1,0,1611038497,5,3673,91067498,6,0,0.5919651,0.0012664,"[0.9560141563415527,-0.03063897229731083,0.014612986706197262,-0.29134973883628845]","[0.00042680278420448303,0.0008590859360992908,0.001266410923562944]","[-0.129054993391037,-0.6591640114784241,9.780741691589355]",0.0002272,2.227,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.364738+00:00,91067.646955,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,555,27801,1,0,1,1,0,1,0,1611038497,6,34448,91067548,7,0,0.5920141,0.0000730,"[0.9560091495513916,-0.030578970909118652,0.01455098669975996,-0.29137569665908813]","[-0.0001916546025313437,-0.001023897435516119,7.297221600310877e-05]","[-0.12423799932003021,-0.6470860242843628,9.785416603088379]",0.0002272,2.227,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:51:32.414341+00:00,91067.696947,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,556,27851,1,0,1,1,0,1,0,1611038497,7,65239,91067598,8,0,0.5920721,0.0000988,"[0.9560027122497559,-0.030519980937242508,0.014493990689516068,-0.2914058268070221]","[0.0004099429352208972,-0.0022755253594368696,9.87856401479803e-05]","[-0.12184000015258789,-0.6496120095252991,9.77828598022461]",0.0003261,3.195,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
