host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:48:03.337898+00:00,90858.621168,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:48:03.388284+00:00,90858.671009,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,184,9251,1,0,0,0,0,0,0,0,0,0,0,0,0,1.4516711,-0.0256522,"[0.7476314306259155,-0.02157898247241974,0.026259979233145714,-0.6632435321807861]","[0.0016922539798542857,0.0017595887184143066,-0.025652222335338593]","[-0.10047999769449234,-0.681236982345581,9.76220417022705]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.438868+00:00,90858.721058,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,185,9301,1,0,1,1,0,1,0,2041778956,0,25050,90858621,1,0,1.4516033,-0.0268935,"[0.7476564049720764,-0.02149498276412487,0.02619897946715355,-0.6632205247879028]","[0.0023106238804757595,0.00298791634850204,-0.026893535628914833]","[-0.11241800338029861,-0.6737459897994995,9.776350021362305]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.488058+00:00,90858.770954,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,186,9351,1,0,1,1,0,1,0,2041778956,1,63482,90858671,2,0,1.4515264,-0.0268972,"[0.7476843595504761,-0.021411985158920288,0.026127982884645462,-0.6631945371627808]","[0.0017015389166772366,0.0029918609652668238,-0.026897236704826355]","[-0.12674999237060547,-0.6662079691886902,9.792864799499512]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.538225+00:00,90858.820999,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,187,9401,1,0,1,1,0,1,0,2041778956,2,31235,90858722,3,0,1.4514307,-0.0244735,"[0.7477193474769592,-0.021297985687851906,0.02605598047375679,-0.66316157579422]","[0.005367358680814505,0.005494471173733473,-0.02447349578142166]","[-0.1745550036430359,-0.655705988407135,9.83534049987793]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.589111+00:00,90858.870971,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,188,9451,1,0,1,1,0,1,0,2041778956,3,58515,90858771,4,0,1.4513261,-0.0250555,"[0.7477571368217468,-0.021186986938118935,0.025977985933423042,-0.6631255745887756]","[0.0029169865883886814,0.0030071325600147247,-0.025055496022105217]","[-0.17453399300575256,-0.6533380150794983,9.832908630371094]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.638445+00:00,90858.920962,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,189,9501,1,0,1,1,0,1,0,2041778956,4,59811,90858821,5,0,1.4512410,-0.0256891,"[0.7477885484695435,-0.02107398398220539,0.025933977216482162,-0.6630954742431641]","[0.0029253638349473476,0.004247101955115795,-0.02568906545639038]","[-0.1745080053806305,-0.6485270261764526,9.83283805847168]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.688507+00:00,90858.971102,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,190,9551,1,0,1,1,0,1,0,2041778956,5,60734,90858872,6,0,1.4511420,-0.0250850,"[0.7478243708610535,-0.02096998505294323,0.025877980515360832,-0.6630606055259705]","[0.0017062862170860171,0.004262670408934355,-0.02508499100804329]","[-0.16968299448490143,-0.6315649747848511,9.842240333557129]",0.0000040,0.039,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.738732+00:00,90859.021053,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,191,9601,1,0,1,1,0,1,0,2041778956,6,9464,90858921,7,0,1.4510708,-0.0269304,"[0.7478505969047546,-0.02087298408150673,0.02581597864627838,-0.6630364060401917]","[0.0017127265455201268,0.004863377660512924,-0.026930414140224457]","[-0.16494199633598328,-0.6437600255012512,9.832878112792969]",0.0000040,0.039,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:48:03.788402+00:00,90859.071027,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,192,9651,1,0,1,1,0,1,0,2041778956,7,14118,90858971,8,0,1.4509560,-0.0244244,"[0.7478908896446228,-0.020798994228243828,0.025754986330866814,-0.6629957556724548]","[0.0012818919494748116,0.0013617408694699407,-0.024424400180578232]","[-0.14565299451351166,-0.6373649835586548,9.785027503967285]",0.0000359,0.352,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
