host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:21:49.746942+00:00,1245505.214601,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:21:49.797481+00:00,1245505.264514,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,293,14701,1,0,1,1,0,1,0,2606736603,0,18555,1245505214,1,0,-2.4748459,0.0012480,"[-0.3271200954914093,0.008936001919209957,-0.03439400717616081,0.9443144202232361]","[-0.0007876147283241153,0.001490807975642383,0.0012479628203436732]","[-0.08854600042104721,-0.6862499713897705,9.752820014953613]",0.0505102,495.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:49.848340+00:00,1245505.314538,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,294,14751,1,0,1,1,0,1,0,2606736603,1,3897,1245505265,2,0,-2.4748204,0.0012442,"[-0.32713231444358826,0.008928009308874607,-0.03437303379178047,0.9443109631538391]","[-0.003227690001949668,0.0008827003184705973,0.0012442453298717737]","[-0.102852001786232,-0.6788210272789001,9.762141227722168]",0.0521429,511.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:49.898137+00:00,1245505.364531,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,295,14801,1,0,1,1,0,1,0,2606736603,2,42454,1245505315,3,0,-2.4747868,0.0006550,"[-0.32714807987213135,0.008930002339184284,-0.03434900566935539,0.9443064332008362]","[0.00042771038715727627,0.0008513716165907681,0.0006549523095600307]","[-0.11246500164270401,-0.6760050058364868,9.785978317260742]",0.0521429,511.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:49.948139+00:00,1245505.414526,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,296,14851,1,0,1,1,0,1,0,2606736603,3,25466,1245505365,4,0,-2.4747782,0.0016814,"[-0.3271522521972656,0.00892600603401661,-0.03433002531528473,0.9443056583404541]","[-0.002017583232372999,-0.0003676885098684579,0.0016813804395496845]","[-0.07738099992275238,-0.6766059994697571,9.757604598999023]",0.0554082,543.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:49.998113+00:00,1245505.464526,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,297,14901,1,0,1,1,0,1,0,2606736603,4,21855,1245505415,5,0,-2.4747639,0.0024967,"[-0.3271591365337372,0.008920004591345787,-0.03430001437664032,0.9443044662475586]","[-0.0001877974282251671,0.00025460863253101707,0.0024966762866824865]","[-0.07172200083732605,-0.6819559931755066,9.724165916442871]",0.0554082,543.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:50.048185+00:00,1245505.514560,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,298,14951,1,0,1,1,0,1,0,2606736603,5,44582,1245505465,6,0,-2.4747572,0.0012664,"[-0.32716214656829834,0.008923003450036049,-0.034271009266376495,0.9443044662475586]","[-0.001404169830493629,0.00024705135729163885,0.0012663761153817177]","[-0.06940499693155289,-0.681672990322113,9.743377685546875]",0.0554082,543.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:50.098115+00:00,1245505.564526,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,299,15001,1,0,1,1,0,1,0,2606736603,6,30307,1245505515,7,0,-2.4747553,0.0006328,"[-0.3271631896495819,0.008916004560887814,-0.03426101803779602,0.9443044662475586]","[-0.0032267821952700615,0.0008749859407544136,0.0006327865994535387]","[-0.09092599898576736,-0.6788759827613831,9.762279510498047]",0.0456122,447.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:50.148133+00:00,1245505.614525,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,300,15051,1,0,1,1,0,1,0,2606736603,7,61097,1245505565,8,0,-2.4747519,0.0012184,"[-0.32716527581214905,0.008905007503926754,-0.03426402807235718,0.9443037509918213]","[-0.001998314866796136,0.002746345242485404,0.0012184493243694305]","[-0.10769499838352203,-0.68094801902771,9.778907775878906]",0.0456122,447.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:21:50.198122+00:00,1245505.664529,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,301,15101,1,0,1,1,0,1,0,2606736603,8,14053,1245505615,9,0,-2.4747393,0.0000705,"[-0.32717129588127136,0.008899008855223656,-0.03426003083586693,0.9443018436431885]","[-0.0012080470332875848,-0.0012252909364178777,7.051130523905158e-05]","[-0.08375000208616257,-0.6748999953269958,9.76230239868164]",0.0452041,443.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
