host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-12T10:51:26.483743+00:00,4661.767040,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T10:51:26.534853+00:00,4661.816897,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,145,7300,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0910585,0.0037676,"[0.5009633302688599,-0.02219998463988304,-0.0289749838411808,0.8646984696388245]","[0.00589750288054347,-0.00039311795262619853,0.0037675725761801004]","[-0.0932689979672432,-0.6888899803161621,9.736013412475586]",0.0284694,279.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.584968+00:00,4661.866907,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,146,7350,1,0,1,1,0,1,0,2857586917,0,741,4661767,1,0,2.0910585,0.0037676,"[0.5009633302688599,-0.02219998463988304,-0.0289749838411808,0.8646984696388245]","[0.00589750288054347,-0.00039311795262619853,0.0037675725761801004]","[-0.0932689979672432,-0.6888899803161621,9.736013412475586]",0.0248980,244.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.634882+00:00,4661.916897,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,147,7400,1,0,1,1,0,1,0,2857586917,1,1656,4661818,2,0,2.0911002,0.0037639,"[0.5009523034095764,-0.02204498089849949,-0.02866397611796856,0.8647192120552063]","[0.00528841745108366,-0.0003891910018865019,0.003763872431591153]","[-0.07923900336027145,-0.7271119952201843,9.758326530456543]",0.0248980,244.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.684843+00:00,4661.966897,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,148,7450,1,0,1,1,0,1,0,2857586917,2,2895,4661868,3,0,2.0911186,0.0025041,"[0.5009477138519287,-0.021966973319649696,-0.028533972799777985,0.8647280931472778]","[0.002861345186829567,0.0008587893680669367,0.002504076110199094]","[-0.0884609967470169,-0.6816959977149963,9.7359619140625]",0.0248980,244.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.734879+00:00,4662.016901,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,149,7500,1,0,1,1,0,1,0,2857586917,3,63222,4661918,4,0,2.0911281,0.0043348,"[0.5009445548057556,-0.021945985034108162,-0.028476981446146965,0.8647323846817017]","[0.0022495375014841557,0.0008858419023454189,0.004334751982241869]","[-0.11006700247526169,-0.6883729696273804,9.76459789276123]",0.0283673,278.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.784934+00:00,4662.066904,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,150,7550,1,0,1,1,0,1,0,2857586917,4,34028,4661968,5,0,2.0911520,0.0037491,"[0.5009371042251587,-0.021878987550735474,-0.028350980952382088,0.8647424578666687]","[0.0028520601335912943,-0.0003734655911102891,0.0037491070106625557]","[-0.07908599823713303,-0.7080889940261841,9.74365520477295]",0.0283673,278.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.834919+00:00,4662.116902,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,151,7600,1,0,1,1,0,1,0,2857586917,5,36353,4662018,6,0,2.0911562,0.0024820,"[0.50093674659729,-0.021847985684871674,-0.028264978900551796,0.8647463321685791]","[0.002868815092369914,0.002106455387547612,0.0024819630198180676]","[-0.09553100168704987,-0.6623460054397583,9.74039363861084]",0.0283673,278.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.884845+00:00,4662.166897,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,152,7650,1,0,1,1,0,1,0,2857586917,6,16285,4662068,7,0,2.0911882,0.0024930,"[0.5009233951568604,-0.021835990250110626,-0.02822398766875267,0.8647556304931641]","[0.0010340900626033545,0.0008705877116881311,0.0024929936043918133]","[-0.10996899753808975,-0.6715719699859619,9.761953353881836]",0.0294898,289.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:51:26.934855+00:00,4662.216896,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,153,7700,1,0,1,1,0,1,0,2857586917,7,18394,4662118,8,0,2.0911777,0.0025409,"[0.5009284019470215,-0.021825984120368958,-0.02821197733283043,0.8647534251213074]","[0.0016282352153211832,-0.0016286890022456646,0.0025409201625734568]","[-0.07923900336027145,-0.7221909761428833,9.765449523925781]",0.0294898,289.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
