host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T09:53:36.489772+00:00,173991.772986,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T09:53:36.540206+00:00,173991.822742,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64629,3231500,1,0,1,1,0,1,0,3398639621,0,50278,173991773,11703,0,-0.0962488,-0.0553727,"[0.9981943368911743,-0.03569499030709267,0.002735998947173357,0.04823298379778862]","[0.004165158607065678,0.0001208815083373338,-0.05537266656756401]","[-0.09489700198173523,-0.6846169829368591,9.752724647521973]",0.2086145,2044.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.591020+00:00,173991.872832,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64630,3231550,1,0,1,1,0,1,0,3398639621,1,21062,173991823,11704,0,-0.0931819,-0.0561879,"[0.9982746839523315,-0.03549298271536827,0.0026939986273646355,0.04669797420501709]","[0.007828360423445702,0.0013346882769837976,-0.056187886744737625]","[-0.09324400126934052,-0.6791579723358154,9.743066787719727]",0.2086145,2044.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.640707+00:00,173991.922875,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64631,3231600,1,0,1,1,0,1,0,3398639621,2,57279,173991874,11705,0,-0.0900760,-0.0555838,"[0.9983530640602112,-0.0352959968149662,0.002696000039577484,0.04514499753713608]","[0.006609282456338406,0.0013502564979717135,-0.05558383837342262]","[-0.08608800172805786,-0.6890329718589783,9.728901863098145]",0.2086854,2045.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.690630+00:00,173991.972816,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64632,3231650,1,0,1,1,0,1,0,3398639621,3,58551,173991923,11706,0,-0.0869901,-0.0580554,"[0.9984290599822998,-0.03508199751377106,0.0027329998556524515,0.043602995574474335]","[0.007842270657420158,0.0031830789521336555,-0.05805542692542076]","[-0.0669730007648468,-0.6941879987716675,9.712404251098633]",0.2086854,2045.117,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.740979+00:00,173992.022848,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64633,3231700,1,0,1,1,0,1,0,3398639621,4,47073,173991973,11707,0,-0.0838769,-0.0586779,"[0.9985026717185974,-0.034879978746175766,0.0027879984118044376,0.04204797372221947]","[0.007846913300454617,0.0037991979625076056,-0.05867793783545494]","[-0.07181599736213684,-0.7012349963188171,9.722047805786133]",0.2086384,2044.656,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.790989+00:00,173992.072816,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64634,3231750,1,0,1,1,0,1,0,3398639621,5,25678,173992024,11708,0,-0.0807198,-0.0587001,"[0.99857497215271,-0.03467097133398056,0.0028459979221224785,0.04047096520662308]","[0.00785436574369669,0.005046881269663572,-0.05870005115866661]","[-0.07179000228643417,-0.6964250206947327,9.721977233886719]",0.2086615,2044.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.840942+00:00,173992.122810,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64635,3231800,1,0,1,1,0,1,0,3398639621,6,21100,173992074,11709,0,-0.0775106,-0.0587173,"[0.9986446499824524,-0.0344889760017395,0.002933997893705964,0.0388689748942852]","[0.005011974833905697,0.0050652422942221165,-0.05871729552745819]","[-0.07583300024271011,-0.6977530121803284,9.73874282836914]",0.2086615,2044.883,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.890979+00:00,173992.172813,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64636,3231850,1,0,1,1,0,1,0,3398639621,7,17394,173992124,11710,0,-0.0743162,-0.0574846,"[0.9987093210220337,-0.034370988607406616,0.003006999148055911,0.037273988127708435]","[0.002972400514408946,0.0038460951764136553,-0.05748458206653595]","[-0.07902999967336655,-0.696025013923645,9.745877265930176]",0.2086814,2045.078,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:53:36.941008+00:00,173992.222813,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,64637,3231900,1,0,1,1,0,1,0,3398639621,8,39870,173992174,11711,0,-0.0711015,-0.0593448,"[0.9987704753875732,-0.03429399058222771,0.0030509987846016884,0.035667989403009415]","[0.0005425007548183203,0.004462527576833963,-0.05934477224946022]","[-0.079025998711586,-0.6886619925498962,9.755362510681152]",0.2086814,2045.078,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
