host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T13:49:34.403714+00:00,188149.686959,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T13:49:34.454249+00:00,188149.736758,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3469,6727101,1,0,1,1,0,1,0,2446081650,0,24349,188149687,23472,0,-17.1743679,-0.0065204,"[0.6689704656600952,-0.019488980993628502,0.02985996939241886,-0.7424332499504089]","[0.0008592605008743703,0.0032541491091251373,-0.006520410533994436]","[-0.1108580008149147,-0.7121710181236267,9.728957176208496]",0.0059287,58.102,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.503777+00:00,188149.786765,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3470,6727151,1,0,1,1,0,1,0,2446081650,1,6351,188149737,23473,0,-17.1738739,-0.0073283,"[0.6687909960746765,-0.01936599239706993,0.02981998771429062,-0.7425997257232666]","[0.0032993005588650703,0.0036440379917621613,-0.00732828862965107]","[-0.1267929971218109,-0.7021099925041199,9.75261402130127]",0.0059287,58.102,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.554057+00:00,188149.836764,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3471,6727201,1,0,1,1,0,1,0,2446081650,2,63928,188149787,23474,0,-17.1733418,-0.0079127,"[0.6685975193977356,-0.019201986491680145,0.02976197935640812,-0.7427804470062256]","[0.006546171847730875,0.0031994502060115337,-0.007912659086287022]","[-0.13155899941921234,-0.6930850148200989,9.764420509338379]",0.0058458,57.289,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.603675+00:00,188149.886693,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3472,6727251,1,0,1,1,0,1,0,2446081650,3,21645,188149837,23475,0,-17.1728039,-0.0097839,"[0.6684026718139648,-0.01903998665511608,0.02969997748732567,-0.7429624795913696]","[0.005951014347374439,0.005051768384873867,-0.009783897548913956]","[-0.12450099736452103,-0.69023597240448,9.795645713806152]",0.0058458,57.289,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.655004+00:00,188149.936802,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3473,6727301,1,0,1,1,0,1,0,2446081650,4,12388,188149887,23476,0,-17.1722527,-0.0073528,"[0.6682029366493225,-0.018853986635804176,0.029637975618243217,-0.7431493401527405]","[0.005342033691704273,0.0057103862054646015,-0.007352827582508326]","[-0.12203499674797058,-0.6733719706535339,9.797823905944824]",0.0058745,57.570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.703779+00:00,188149.986695,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3474,6727351,1,0,1,1,0,1,0,2446081650,5,62456,188149938,23477,0,-17.1717072,-0.0067266,"[0.6680048704147339,-0.01867898553609848,0.029571978375315666,-0.7433344721794128]","[0.005946476012468338,0.005090322811156511,-0.006726621184498072]","[-0.11246100068092346,-0.6637210249900818,9.802591323852539]",0.0058745,57.570,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.754811+00:00,188150.036707,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3475,6727401,1,0,1,1,0,1,0,2446081650,6,54361,188149987,23478,0,-17.1712112,-0.0064712,"[0.6678246259689331,-0.018519990146160126,0.029467981308698654,-0.743504524230957]","[0.005318420007824898,0.0019776327535510063,-0.006471209693700075]","[-0.11876600235700607,-0.6647499799728394,9.78573989868164]",0.0058761,57.586,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.804178+00:00,188150.086706,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3476,6727451,1,0,1,1,0,1,0,2446081650,7,40891,188150038,23479,0,-17.1707325,-0.0060488,"[0.6676498055458069,-0.018405985087156296,0.029338980093598366,-0.7436694502830505]","[0.004092186689376831,0.0007429517572745681,-0.006048840004950762]","[-0.10751599818468094,-0.647271990776062,9.778414726257324]",0.0058299,57.133,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T13:49:34.854548+00:00,188150.136784,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3477,6727501,1,0,1,1,0,1,0,2446081650,8,47123,188150087,23480,0,-17.1702690,-0.0048075,"[0.6674793362617493,-0.018314991146326065,0.029188985005021095,-0.7438305616378784]","[0.003473816206678748,-0.00048535861424170434,-0.0048075271770358086]","[-0.10041199624538422,-0.6618480086326599,9.771516799926758]",0.0058299,57.133,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
