host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T15:24:52.748045+00:00,193868.031312,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T15:24:52.798410+00:00,193868.081045,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52303,12445601,1,0,1,1,0,1,0,1062890114,0,5724,193868031,42753,0,-27.6785374,-0.0037321,"[0.29333627223968506,-0.01027701050043106,-0.03910503908991814,0.9551538825035095]","[-0.0025814990513026714,0.005807792767882347,-0.0037321250420063734]","[0.049414001405239105,-0.7861300110816956,9.715094566345215]",0.0071644,70.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:52.882649+00:00,193868.165343,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52304,12445651,1,0,1,1,0,1,0,1062890114,1,46825,193868081,42754,0,-27.6786270,-0.0037137,"[0.29328933358192444,-0.010374011471867561,-0.039088040590286255,0.9551680088043213]","[-0.003198054153472185,0.0045640538446605206,-0.003713711630553007]","[0.041446998715400696,-0.7950479984283447,9.706338882446289]",0.0071931,70.492,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:52.898395+00:00,193868.181031,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52305,12445701,1,0,1,1,0,1,0,1062890114,1,46825,193868081,42754,0,-27.6786900,-0.0040845,"[0.29325708746910095,-0.0104470020160079,-0.03906000405550003,0.9551782608032227]","[-0.0007685731980018318,0.0032954958733171225,-0.004084454383701086]","[0.05421299859881401,-0.7953019738197327,9.693695068359375]",0.0071931,70.492,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:52.948161+00:00,193868.231121,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52306,12445751,1,0,1,1,0,1,0,1062890114,3,18023,193868181,42756,0,-27.6787663,-0.0036805,"[0.293218195438385,-0.010491006076335907,-0.03901103138923645,0.9551916718482971]","[-0.0013782690512016416,0.0033045713789761066,-0.003680515568703413]","[0.059059999883174896,-0.7940139770507812,9.674542427062988]",0.0072058,70.617,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:52.998435+00:00,193868.281041,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52307,12445801,1,0,1,1,0,1,0,1062890114,4,40485,193868231,42757,0,-27.6788788,-0.0018203,"[0.2931640148162842,-0.010501001961529255,-0.038965001702308655,0.9552100896835327]","[-0.0007793593686074018,0.0020760868210345507,-0.0018203435465693474]","[0.044537000358104706,-0.8127139806747437,9.70583438873291]",0.0072058,70.617,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:53.048043+00:00,193868.331029,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52308,12445851,1,0,1,1,0,1,0,1062890114,5,25948,193868281,42758,0,-27.6790009,-0.0030137,"[0.2931061387062073,-0.010484006255865097,-0.03890402242541313,0.9552305340766907]","[0.00043313836795277894,0.000805102929007262,-0.003013747278600931]","[0.01823199912905693,-0.8024590015411377,9.738965034484863]",0.0071819,70.383,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:53.098467+00:00,193868.381037,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52309,12445901,1,0,1,1,0,1,0,1062890114,6,46634,193868331,42759,0,-27.6790962,-0.0036031,"[0.2930621802806854,-0.01045500673353672,-0.03885302692651749,0.9552464485168457]","[0.00042657594894990325,-0.00045026003499515355,-0.0036030751653015614]","[0.0015279999934136868,-0.777741014957428,9.7767915725708]",0.0071763,70.328,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:53.148216+00:00,193868.431095,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52310,12445951,1,0,1,1,0,1,0,1062890114,7,28806,193868381,42760,0,-27.6791611,-0.0036006,"[0.293033242225647,-0.010388007387518883,-0.03878403455018997,0.9552587866783142]","[0.0008326442330144346,-0.0004528955032583326,-0.0036006146110594273]","[0.004648999776691198,-0.7873409986495972,9.779367446899414]",0.0071763,70.328,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T15:24:53.198681+00:00,193868.481048,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,52311,12446001,1,0,1,1,0,1,0,1062890114,8,18093,193868431,42761,0,-27.6791859,-0.0035809,"[0.2930230498313904,-0.010343003086745739,-0.0387130081653595,0.9552653431892395]","[0.0022500960621982813,-0.0010859089670702815,-0.003580944612622261]","[-0.010459999553859234,-0.7749509811401367,9.798202514648438]",0.0071381,69.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
