host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-14T09:56:35.117231+00:00,174170.400531,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-14T09:56:35.167402+00:00,174170.450374,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,2665,3410100,1,0,1,1,0,1,0,3398639621,24,12239,173992980,11727,0,0.6055630,0.0074030,"[0.9539573788642883,-0.032250989228487015,0.014694995246827602,-0.2978409230709076]","[0.0004102919774595648,-0.0003114540013484657,0.007403041701763868]","[-0.090939000248909,-0.676360011100769,9.769438743591309]",0.2084853,2043.156,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.218360+00:00,174170.500386,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2666,3410150,1,0,1,1,0,1,0,703149423,0,28584,174170400,11728,0,0.6055431,0.0073735,"[0.9539620876312256,-0.03219897300004959,0.014690986834466457,-0.2978317439556122]","[-0.0008003905531950295,0.0009440660360269248,0.007373545318841934]","[-0.07659900188446045,-0.6888570189476013,9.743400573730469]",0.2086129,2044.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.268334+00:00,174170.550388,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2667,3410200,1,0,1,1,0,1,0,703149423,1,31862,174170450,11729,0,0.6055166,0.0086149,"[0.9539666175842285,-0.03218598663806915,0.014668994583189487,-0.2978198826313019]","[-0.0014187607448548079,-0.00028422687319107354,0.008614875376224518]","[-0.06224999949336052,-0.6915479898452759,9.729212760925293]",0.2086129,2044.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.318348+00:00,174170.600386,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2668,3410250,1,0,1,1,0,1,0,703149423,2,2683,174170501,11730,0,0.6054437,0.0086038,"[0.9539781212806702,-0.032166969031095505,0.014654985629022121,-0.2977856993675232]","[-0.0014150256756693125,0.0003395887033548206,0.008603810332715511]","[-0.057496000081300735,-0.701337993144989,9.719815254211426]",0.2087277,2045.531,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.368381+00:00,174170.650432,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2669,3410300,1,0,1,1,0,1,0,703149423,3,52887,174170551,11731,0,0.6053813,0.0085817,"[0.9539877772331238,-0.03215698152780533,0.014656991697847843,-0.2977558374404907]","[-0.003238545497879386,0.0009752376354299486,0.008581661619246006]","[-0.05514499917626381,-0.7061229944229126,9.722311973571777]",0.2087277,2045.531,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.418367+00:00,174170.700391,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2670,3410350,1,0,1,1,0,1,0,703149423,4,10560,174170601,11732,0,0.6053228,0.0098562,"[0.953995943069458,-0.03217097371816635,0.014660987071692944,-0.2977277636528015]","[-0.002037113532423973,-0.00151255470700562,0.009856189601123333]","[-0.06950400024652481,-0.7124099731445312,9.726236343383789]",0.2088170,2046.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.468371+00:00,174170.750393,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2671,3410400,1,0,1,1,0,1,0,703149423,5,12717,174170651,11733,0,0.6052169,0.0098193,"[0.9540106058120728,-0.03220898658037186,0.014637992717325687,-0.2976778745651245]","[-0.004466001410037279,-0.0002491457562427968,0.009819310158491135]","[-0.05988999828696251,-0.696370005607605,9.729310989379883]",0.2088170,2046.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.518342+00:00,174170.800394,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2672,3410450,1,0,1,1,0,1,0,703149423,6,15514,174170701,11734,0,0.6051296,0.0092521,"[0.9540219306945801,-0.03226197510957718,0.014617986977100372,-0.2976367473602295]","[-0.004480033181607723,-0.0027522097807377577,0.009252095595002174]","[-0.067112997174263,-0.6960430145263672,9.748412132263184]",0.2087899,2046.141,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-14T09:56:35.568231+00:00,174170.850389,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,2673,3410500,1,0,1,1,0,1,0,703149423,7,63606,174170751,11735,0,0.6050422,0.0079997,"[0.9540330171585083,-0.032325975596904755,0.014591988176107407,-0.2975957691669464]","[-0.00568891828879714,-0.0015120834577828646,0.007999681867659092]","[-0.0838640034198761,-0.6981880068778992,9.760245323181152]",0.2087899,2046.141,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,262.5,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
