host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T10:55:42.717328+00:00,91318.000574,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T10:55:42.767392+00:00,91318.050399,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,5563,278201,1,0,1,1,0,1,0,3262504354,224,59270,91174238,555,0,0.1248835,-0.0048629,"[0.9975146651268005,-0.03234497830271721,0.006991995498538017,-0.062204957008361816]","[-0.0020004790276288986,0.0007977027562446892,-0.004862871486693621]","[-0.10017000138759613,-0.635828971862793,9.742350578308105]",0.0002758,2.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:42.817710+00:00,91318.100323,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5564,278251,1,0,1,1,0,1,0,3103355687,0,14985,91318000,556,0,0.1249857,-0.0048998,"[0.9975101947784424,-0.03237700089812279,0.0070469994097948074,-0.06225399672985077]","[-0.004429348744452,0.002061129081994295,-0.004899767693132162]","[-0.0905739963054657,-0.6287299990653992,9.737557411193848]",0.0002758,2.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:42.867661+00:00,91318.150324,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5565,278301,1,0,1,1,0,1,0,3103355687,1,12388,91318050,557,0,0.1251405,-0.0061706,"[0.9975026845932007,-0.032450977712869644,0.0071049947291612625,-0.06232895329594612]","[-0.006852686870843172,0.003932959865778685,-0.00617061136290431]","[-0.07152699679136276,-0.6434329748153687,9.725998878479004]",0.0003300,3.234,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:42.917294+00:00,91318.200333,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5566,278351,1,0,1,1,0,1,0,3103355687,2,50071,91318101,558,0,0.1252245,-0.0061412,"[0.9974961280822754,-0.03256300091743469,0.007174000144004822,-0.0623679980635643]","[-0.009303966537117958,0.0014533356297761202,-0.006141150835901499]","[-0.08101999759674072,-0.6411309838294983,9.716259956359863]",0.0003300,3.234,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:42.967399+00:00,91318.250421,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5567,278401,1,0,1,1,0,1,0,3103355687,3,21943,91318151,559,0,0.1252927,-0.0037248,"[0.9974886178970337,-0.03271698206663132,0.007242995779961348,-0.062398962676525116]","[-0.008687306195497513,0.0033517652191221714,-0.003724829526618123]","[-0.07621199637651443,-0.6388570070266724,9.709086418151855]",0.0003117,3.055,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:43.017388+00:00,91318.300322,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5568,278451,1,0,1,1,0,1,0,3103355687,4,39830,91318200,560,0,0.1253210,-0.0040919,"[0.9974809885025024,-0.03291896730661392,0.007275992073118687,-0.06241093575954437]","[-0.009310721419751644,0.0008551939390599728,-0.004091924522072077]","[-0.05476300045847893,-0.6552850008010864,9.690382957458496]",0.0003157,3.094,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:43.067395+00:00,91318.350384,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5569,278501,1,0,1,1,0,1,0,3103355687,5,58321,91318250,561,0,0.1252624,-0.0030581,"[0.9974756836891174,-0.0331379771232605,0.00726399477571249,-0.06238095462322235]","[-0.010537861846387386,-0.0003717551298905164,-0.0030581136234104633]","[-0.02363700047135353,-0.6543009877204895,9.659542083740234]",0.0003157,3.094,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:43.117563+00:00,91318.400389,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5570,278551,1,0,1,1,0,1,0,3103355687,6,56089,91318300,562,0,0.1251706,-0.0011942,"[0.9974714517593384,-0.03335898742079735,0.0072339978069067,-0.062334977090358734]","[-0.00932986754924059,-0.0016041670460253954,-0.0011942415731027722]","[-0.023739000782370567,-0.6735439896583557,9.65982437133789]",0.0003508,3.438,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:43.167355+00:00,91318.450395,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5571,278601,1,0,1,1,0,1,0,3103355687,7,41822,91318350,563,0,0.1250484,-0.0018057,"[0.9974688291549683,-0.03356097638607025,0.007175995036959648,-0.062274955213069916]","[-0.009328977204859257,-0.001611881423741579,-0.0018057003617286682]","[-0.023777000606060028,-0.6758390069007874,9.667054176330566]",0.0003508,3.438,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:43.217507+00:00,91318.500461,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5572,278651,1,0,1,1,0,1,0,3103355687,8,43632,91318401,564,0,0.1249576,-0.0012016,"[0.9974651336669922,-0.0337659977376461,0.007107999641448259,-0.06223099306225777]","[-0.010548054240643978,-0.0015962956240400672,-0.001201624283567071]","[-0.018993999809026718,-0.6783769726753235,9.65994930267334]",0.0002718,2.664,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T10:55:43.267955+00:00,91318.550382,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5573,278701,1,0,1,1,0,1,0,3103355687,9,64449,91318450,565,0,0.1248955,-0.0023581,"[0.997461199760437,-0.033952999860048294,0.007023000158369541,-0.06220199540257454]","[-0.006906652357429266,-0.0041306884959340096,-0.002358149504289031]","[-0.023739000782370567,-0.6735439896583557,9.65982437133789]",0.0002718,2.664,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
