host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T15:48:43.324171+00:00,108898.607456,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T15:48:43.374599+00:00,108898.657284,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,31293,1564700,1,0,1,0,0,1,0,3728719104,1898,6961,108886930,19934,0,-3.2665975,-0.0024442,"[-0.06257003545761108,-0.0017840010114014149,-0.03719902038574219,0.997345507144928]","[-0.010132718831300735,-0.0003666587872430682,-0.0024441941641271114]","[-0.0600849986076355,-0.736532986164093,9.72510051727295]",0.0041032,40.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:48:43.424249+00:00,108898.707284,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31294,1564750,1,0,1,1,0,1,0,1989733068,0,19813,108898607,19935,0,-3.2666266,-0.0049293,"[-0.06258498877286911,-0.0017719999887049198,-0.0374009944498539,0.9973370432853699]","[-0.006860715337097645,0.0029086435679346323,-0.004929281305521727]","[-0.06016499921679497,-0.7493119835853577,9.728486061096191]",0.0041032,40.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:48:43.474696+00:00,108898.757308,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31295,1564800,1,0,1,1,0,1,0,1989733068,1,40826,108898657,19936,0,-3.2665970,-0.0043178,"[-0.06257203221321106,-0.0018070009537041187,-0.03754301741719246,0.9973324537277222]","[-0.005640956573188305,0.003324381308630109,-0.004317822400480509]","[-0.06255099922418594,-0.7419139742851257,9.739544868469238]",0.0039262,38.477,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T15:48:43.525241+00:00,108898.807238,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31296,1564850,1,0,1,1,0,1,0,1989733068,2,49857,108898707,19937,0,-3.2665520,-0.0050030,"[-0.06255406141281128,-0.0019170019077137113,-0.03766203299164772,0.9973288774490356]","[-0.0031738465186208487,0.008291658014059067,-0.005002968944609165]","[-0.07690499722957611,-0.7318230271339417,9.765618324279785]",0.0039262,38.477,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T15:48:43.574645+00:00,108898.857232,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31297,1564900,1,0,1,1,0,1,0,1989733068,3,36880,108898758,19938,0,-3.2664828,-0.0038649,"[-0.06252501159906387,-0.0020510004833340645,-0.037775006145238876,0.9973261952400208]","[-0.006198676768690348,0.012069789692759514,-0.0038648745976388454]","[-0.08642800152301788,-0.7072489857673645,9.796333312988281]",0.0037604,36.852,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T15:48:43.624456+00:00,108898.907231,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31298,1564950,1,0,1,1,0,1,0,1989733068,4,52076,108898808,19939,0,-3.2663658,-0.0062923,"[-0.06247406080365181,-0.002238002372905612,-0.037907037883996964,0.9973239302635193]","[-0.006811618804931641,0.010795211419463158,-0.006292261183261871]","[-0.09114299714565277,-0.6902430057525635,9.805623054504395]",0.0037604,36.852,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T15:48:43.674882+00:00,108898.957232,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31299,1565000,1,0,1,1,0,1,0,1989733068,5,47128,108898858,19940,0,-3.2662547,-0.0054918,"[-0.06242700666189194,-0.002443000441417098,-0.03806900605559349,0.9973202347755432]","[-0.00924916286021471,0.010821216739714146,-0.005491766147315502]","[-0.07753399759531021,-0.6759459972381592,9.800771713256836]",0.0035969,35.250,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T15:48:43.724594+00:00,108899.007281,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31300,1565050,1,0,1,1,0,1,0,1989733068,6,62496,108898907,19941,0,-3.2661347,-0.0063292,"[-0.06237604841589928,-0.002659002086147666,-0.038255028426647186,0.9973157644271851]","[-0.009240488521754742,0.012058619409799576,-0.006329157389700413]","[-0.08629599958658218,-0.6758319735527039,9.80546760559082]",0.0035969,35.250,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T15:48:43.774213+00:00,108899.057278,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,31301,1565100,1,0,1,1,0,1,0,1989733068,7,18582,108898958,19942,0,-3.2659936,-0.0063255,"[-0.062315039336681366,-0.002883001696318388,-0.03844502568244934,0.9973116517066956]","[-0.008631403557956219,0.012054692953824997,-0.006325457710772753]","[-0.0743279978632927,-0.6760709881782532,9.793614387512207]",0.0035643,34.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
