host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:26:27.731575+00:00,96763.014849,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:26:27.781837+00:00,96763.064673,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,10130,506551,1,0,1,1,0,1,0,1176375865,24,63898,96369278,862,0,1.7293792,-0.0022843,"[0.6485695838928223,-0.020012978464365005,0.02955096773803234,-0.7603182196617126]","[0.002833734033629298,-0.005025413818657398,-0.0022843044716864824]","[-0.12672799825668335,-0.6843479871749878,9.76034927368164]",0.2170121,2126.719,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:27.832649+00:00,96763.114693,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10131,506601,1,0,1,1,0,1,0,1828267438,0,28587,96763014,863,0,1.7293671,-0.0047559,"[0.6485735177993774,-0.020029980689287186,0.029375972226262093,-0.7603211998939514]","[0.002846073592081666,-0.0036006146110594273,-0.0047559174709022045]","[-0.12676699459552765,-0.6858170032501221,9.769165992736816]",0.2168407,2125.039,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:27.882079+00:00,96763.164678,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10132,506651,1,0,1,1,0,1,0,1828267438,1,399,96763065,864,0,1.7293448,-0.0004204,"[0.6485821008682251,-0.02002198062837124,0.029186975210905075,-0.760321319103241]","[0.006483043078333139,-0.005441762041300535,-0.00042041492997668684]","[-0.11471399664878845,-0.6815009713172913,9.740455627441406]",0.2166829,2123.492,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:27.932659+00:00,96763.214692,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10133,506701,1,0,1,1,0,1,0,1828267438,2,55754,96763115,865,0,1.7293104,-0.0028957,"[0.6485955715179443,-0.020006978884339333,0.02900497056543827,-0.7603172063827515]","[0.005275955889374018,-0.004217064939439297,-0.0028957282193005085]","[-0.10753300040960312,-0.6816440224647522,9.733343124389648]",0.2166829,2123.492,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:27.982652+00:00,96763.264720,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10134,506751,1,0,1,1,0,1,0,1828267438,3,28108,96763165,866,0,1.7293060,-0.0029105,"[0.6485992074012756,-0.019938986748456955,0.028826983645558357,-0.7603225708007812]","[0.006501595955342054,-0.0029772522393614054,-0.002910458715632558]","[-0.0908460021018982,-0.6915259957313538,9.721685409545898]",0.2164015,2120.734,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.031817+00:00,96763.314672,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10135,506801,1,0,1,1,0,1,0,1828267438,4,46478,96763215,867,0,1.7293018,-0.0023211,"[0.6486029624938965,-0.019870975986123085,0.028672970831394196,-0.7603271007537842]","[0.006508158519864082,-0.0017218546709045768,-0.0023211310617625713]","[-0.0885159969329834,-0.7085210084915161,9.712367057800293]",0.2161248,2118.023,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.082013+00:00,96763.364675,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10136,506851,1,0,1,1,0,1,0,1828267438,5,35318,96763265,868,0,1.7293043,-0.0047743,"[0.648604691028595,-0.019779983907938004,0.028524979948997498,-0.7603334784507751]","[0.0052936184220016,-0.0017448407597839832,-0.004774313420057297]","[-0.07897400110960007,-0.711031973361969,9.708516120910645]",0.2157175,2114.031,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.132420+00:00,96763.414692,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10137,506901,1,0,1,1,0,1,0,1828267438,6,60696,96763315,869,0,1.7293425,-0.0035993,"[0.6485940217971802,-0.019655989482998848,0.028394989669322968,-0.7603507041931152]","[0.006528649013489485,0.0013818993465974927,-0.0035993228666484356]","[-0.06937500089406967,-0.703944981098175,9.702925682067871]",0.2157175,2114.031,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.181923+00:00,96763.464675,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10138,506951,1,0,1,1,0,1,0,1828267438,7,16429,96763365,870,0,1.7293727,-0.0023986,"[0.6485866904258728,-0.0195159874856472,0.028261978179216385,-0.7603654861450195]","[0.004703313112258911,0.0020329770632088184,-0.0023985537700355053]","[-0.06465599685907364,-0.7135890126228333,9.703121185302734]",0.2153412,2110.344,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.232342+00:00,96763.514719,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10139,507001,1,0,1,1,0,1,0,1828267438,8,63691,96763415,871,0,1.7294494,-0.0036399,"[0.6485621333122253,-0.019366001710295677,0.028188999742269516,-0.7603930234909058]","[0.00532166613265872,0.0032613049261271954,-0.0036398842930793762]","[-0.05991100147366524,-0.7184209823608398,9.703248023986816]",0.2150654,2107.641,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.282701+00:00,96763.564706,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10140,507051,1,0,1,1,0,1,0,1828267438,9,48921,96763465,872,0,1.7295079,-0.0036510,"[0.648544192314148,-0.01922198385000229,0.028151975944638252,-0.7604133486747742]","[0.0034944110084325075,0.0032731033861637115,-0.0036509670317173004]","[-0.059944998472929,-0.7231950163841248,9.705717086791992]",0.2150654,2107.641,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.332681+00:00,96763.614703,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10141,507101,1,0,1,1,0,1,0,1828267438,10,56311,96763515,873,0,1.7296107,-0.0049366,"[0.6485096216201782,-0.019070979207754135,0.028137970715761185,-0.7604471445083618]","[0.0004657236277125776,0.005772694479674101,-0.004936576820909977]","[-0.0837709978222847,-0.7084329724311829,9.71961784362793]",0.2148031,2105.070,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.381956+00:00,96763.664677,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10142,507151,1,0,1,1,0,1,0,1828267438,11,39077,96763565,874,0,1.7297094,-0.0041704,"[0.6484763026237488,-0.01892898790538311,0.028177985921502113,-0.760477602481842]","[0.0008880061213858426,0.008691618219017982,-0.004170446656644344]","[-0.0758420005440712,-0.7026370167732239,9.734016418457031]",0.2146205,2103.281,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:26:28.432549+00:00,96763.714643,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10143,507201,1,0,1,1,0,1,0,1828267438,12,11134,96763615,875,0,1.7297934,-0.0050251,"[0.6484485268592834,-0.018791986629366875,0.028264984488487244,-0.760501503944397]","[-0.0031663766130805016,0.009539341554045677,-0.005025082267820835]","[-0.07899700105190277,-0.6961719989776611,9.736285209655762]",0.2143567,2100.695,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
