host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:55:47.586726+00:00,98522.869952,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:55:47.636988+00:00,98522.919668,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3242,162150,0,0,1,1,0,1,0,1901207080,0,24690,98522870,1,0,0.5168425,0.0515640,"[0.9658781290054321,-0.04158296063542366,0.01819698140025139,-0.25498875975608826]","[-0.0027525238692760468,-0.008470327593386173,0.05156395584344864]","[-0.08423899859189987,-0.8294360041618347,9.673415184020996]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.686840+00:00,98522.969724,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3243,162200,0,0,1,1,0,1,0,1901207080,1,21770,98522920,2,0,0.5141469,0.0528017,"[0.9662194848060608,-0.04165899008512497,0.018026994541287422,-0.2536919116973877]","[0.0033439809922128916,-0.007246554829180241,0.052801672369241714]","[-0.06999199837446213,-0.8464490175247192,9.666633605957031]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.737560+00:00,98523.019721,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3244,162250,0,0,1,1,0,1,0,1901207080,2,59094,98522970,3,0,0.5114408,0.0516022,"[0.9665675163269043,-0.041563980281353,0.017847992479801178,-0.25239092111587524]","[0.007203340996056795,-0.007286889478564262,0.051602158695459366]","[-0.07158999890089035,-0.8464049696922302,9.669013023376465]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.787014+00:00,98523.069715,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3245,162300,0,0,1,1,0,1,0,1901207080,3,42372,98523020,4,0,0.5087510,0.0515752,"[0.9669167995452881,-0.04134597256779671,0.01767398789525032,-0.2510978579521179]","[0.01372265163809061,-0.0035857963375747204,0.05157521367073059]","[-0.060412999242544174,-0.8392769694328308,9.666638374328613]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.837052+00:00,98523.119715,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3246,162350,0,0,1,1,0,1,0,1901207080,4,49517,98523070,5,0,0.5060585,0.0515642,"[0.9672698378562927,-0.0409969687461853,0.017518987879157066,-0.249802827835083]","[0.019219374284148216,-0.0011258421000093222,0.05156421661376953]","[-0.05321500077843666,-0.8296520113945007,9.668978691101074]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.886699+00:00,98523.169720,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3247,162400,0,0,1,1,0,1,0,1901207080,5,4978,98523120,6,0,0.5033752,0.0516011,"[0.9676254391670227,-0.04051298275589943,0.01733599230647087,-0.24851389229297638]","[0.021648244932293892,-0.0023892512544989586,0.0516011118888855]","[-0.0555960014462471,-0.8222780227661133,9.678437232971191]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.937793+00:00,98523.219728,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3248,162450,0,0,1,1,0,1,0,1901207080,6,38225,98523170,7,0,0.5006838,0.0504336,"[0.9679847359657288,-0.03991797938942909,0.017116988077759743,-0.24722285568714142]","[0.027124371379613876,-0.0036877586971968412,0.050433557480573654]","[-0.06985999643802643,-0.7904289960861206,9.71138858795166]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:47.986859+00:00,98523.269738,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3249,162500,0,0,1,1,0,1,0,1901207080,7,21501,98523220,8,0,0.4979941,0.0528720,"[0.9683449864387512,-0.03923896700143814,0.01689298450946808,-0.24593277275562286]","[0.027733560651540756,-0.0030370124150067568,0.052872009575366974]","[-0.09366899728775024,-0.7609779834747314,9.741866111755371]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:55:48.037308+00:00,98523.319722,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3250,162550,0,0,1,1,0,1,0,1901207080,8,26070,98523270,9,0,0.4952131,0.0536848,"[0.9687170386314392,-0.03849199786782265,0.01662999764084816,-0.24459998309612274]","[0.030377963557839394,-0.0020040394738316536,0.05368484556674957]","[-0.09513299912214279,-0.7344499826431274,9.74545669555664]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
