host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:56:12.996508+00:00,98548.279758,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:56:13.047122+00:00,98548.329478,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3750,187550,0,0,1,1,0,1,0,3058613129,0,54049,98548279,46,0,1.0890280,-0.0466262,"[0.8548840284347534,-0.028900980949401855,0.023335985839366913,-0.5174877047538757]","[-0.028731295838952065,0.0016940688947215676,-0.046626247465610504]","[-0.10729099810123444,-0.6014969944953918,9.78254222869873]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.097349+00:00,98548.379478,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3751,187600,0,0,1,1,0,1,0,3058613129,1,27415,98548330,47,0,1.0912223,-0.0459706,"[0.8542948365211487,-0.029496965929865837,0.023618971928954124,-0.5184134244918823]","[-0.03240910917520523,-0.0020176356192678213,-0.0459706149995327]","[-0.08828199654817581,-0.6184960007667542,9.778213500976562]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.147623+00:00,98548.429486,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3752,187650,0,0,1,1,0,1,0,3058613129,2,58334,98548380,48,0,1.0933585,-0.0441142,"[0.8537148833274841,-0.030217982828617096,0.02389698475599289,-0.519313633441925]","[-0.03425028920173645,-0.0038542281836271286,-0.04411415755748749]","[-0.078745998442173,-0.6406649947166443,9.747464179992676]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.196415+00:00,98548.479467,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3753,187700,0,0,1,1,0,1,0,3058613129,3,39833,98548430,49,0,1.0954715,-0.0440957,"[0.8531377911567688,-0.030985984951257706,0.02420598827302456,-0.5202017426490784]","[-0.03486684337258339,-0.005097984801977873,-0.044095728546381]","[-0.0764629989862442,-0.66975998878479,9.733526229858398]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.247539+00:00,98548.529533,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3754,187750,0,0,1,1,0,1,0,3058613129,4,148,98548479,50,0,1.0976064,-0.0461818,"[0.8525528907775879,-0.0317629799246788,0.0245329812169075,-0.521097719669342]","[-0.034847646951675415,-0.00242037046700716,-0.04618183150887489]","[-0.08375799655914307,-0.6961860060691833,9.733831405639648]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.297627+00:00,98548.579541,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3755,187800,0,0,1,1,0,1,0,3058613129,5,24517,98548530,51,0,1.0997728,-0.0462113,"[0.8519587516784668,-0.03251998499035835,0.024874988943338394,-0.5220057368278503]","[-0.03483769670128822,-0.0007567922584712505,-0.046211328357458115]","[-0.07751099765300751,-0.7219709753990173,9.727885246276855]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.347651+00:00,98548.629541,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3756,187850,0,0,1,1,0,1,0,3058613129,6,21234,98548580,52,0,1.1019751,-0.0478345,"[0.8513553142547607,-0.03322796896100044,0.025236979126930237,-0.5229275226593018]","[-0.03361711651086807,-0.0007852236740291119,-0.04783446341753006]","[-0.07436200231313705,-0.7398939728736877,9.710593223571777]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.397533+00:00,98548.679475,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3757,187900,0,0,1,1,0,1,0,3058613129,7,44875,98548630,53,0,1.1042591,-0.0491016,"[0.8507318496704102,-0.033850982785224915,0.025638984516263008,-0.5238816738128662]","[-0.029938384890556335,0.0029187665786594152,-0.049101557582616806]","[-0.07927300035953522,-0.7564889788627625,9.725172996520996]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.447654+00:00,98548.729540,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3758,187950,0,0,1,1,0,1,0,3058613129,8,18578,98548680,54,0,1.1066244,-0.0491495,"[0.8500884175300598,-0.03440099209547043,0.026076996698975563,-0.5248678922653198]","[-0.02870153822004795,0.0060301125049591064,-0.049149468541145325]","[-0.07699000090360641,-0.7806640267372131,9.71835994720459]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.497643+00:00,98548.779542,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3759,188000,0,0,1,1,0,1,0,3058613129,9,35966,98548730,55,0,1.1090649,-0.0516063,"[0.8494275808334351,-0.03484596312046051,0.026554971933364868,-0.5258834362030029]","[-0.025032194331288338,0.007847192697227001,-0.05160629749298096]","[-0.09377499669790268,-0.7875829935073853,9.732661247253418]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.547598+00:00,98548.829540,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3760,188050,0,0,1,1,0,1,0,3058613129,10,31048,98548780,56,0,1.1115880,-0.0524387,"[0.8487469553947449,-0.035203974694013596,0.027020981535315514,-0.5269336700439453]","[-0.020549418404698372,0.010303429327905178,-0.05243871733546257]","[-0.09696400165557861,-0.7940930128097534,9.72552490234375]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.597535+00:00,98548.879562,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3761,188100,0,0,1,1,0,1,0,3058613129,11,27286,98548830,57,0,1.1141849,-0.0534627,"[0.8480504751205444,-0.03543996810913086,0.027441974729299545,-0.5280165076255798]","[-0.015867050737142563,0.012131941504776478,-0.053462665528059006]","[-0.0890979990363121,-0.7970439791679382,9.744848251342773]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.647598+00:00,98548.929489,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3762,188150,0,0,1,1,0,1,0,3058613129,12,63211,98548880,58,0,1.1168212,-0.0564941,"[0.84734708070755,-0.03555097430944443,0.027794979512691498,-0.5291186571121216]","[-0.011598917655646801,0.012065845541656017,-0.05649406090378761]","[-0.1034810021519661,-0.7991259694099426,9.761505126953125]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.697633+00:00,98548.979549,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3763,188200,0,0,1,1,0,1,0,3058613129,13,36524,98548930,59,0,1.1194638,-0.0540113,"[0.8466455340385437,-0.03554398566484451,0.028062989935278893,-0.5302268266677856]","[-0.0036806899588555098,0.01266939751803875,-0.05401131138205528]","[-0.10826800018548965,-0.7891899943351746,9.780494689941406]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.747673+00:00,98549.029540,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3764,188250,0,0,1,1,0,1,0,3058613129,14,16176,98548980,60,0,1.1221042,-0.0515028,"[0.8459478616714478,-0.03542396053671837,0.028229964897036552,-0.5313383340835571]","[0.003008162369951606,0.011409305036067963,-0.051502764225006104]","[-0.10110899806022644,-0.7867799997329712,9.782939910888672]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.797640+00:00,98549.079549,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3765,188300,0,0,1,1,0,1,0,3058613129,15,13789,98549030,61,0,1.1247388,-0.0538785,"[0.845255434513092,-0.035181961953639984,0.028280969709157944,-0.5324524641036987]","[0.009091438725590706,0.009467591531574726,-0.053878456354141235]","[-0.0963129997253418,-0.7770709991455078,9.79004955291748]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.847604+00:00,98549.129481,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3766,188350,0,0,1,1,0,1,0,3058613129,16,47489,98549080,62,0,1.1273818,-0.0526321,"[0.8445641994476318,-0.03482097014784813,0.02824997715651989,-0.533573567867279]","[0.01477817539125681,0.01007014885544777,-0.052632130682468414]","[-0.10181000083684921,-0.7789790034294128,9.768424987792969]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.897596+00:00,98549.179486,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3767,188400,0,0,1,1,0,1,0,3058613129,17,12193,98549130,63,0,1.1299584,-0.0532116,"[0.8438931703567505,-0.034362975507974625,0.028122980147600174,-0.5346705913543701]","[0.020057830959558487,0.010028347373008728,-0.05321158096194267]","[-0.09856200218200684,-0.7628840208053589,9.773021697998047]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:56:13.946876+00:00,98549.229474,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,3768,188450,0,0,1,1,0,1,0,3058613129,18,40509,98549180,64,0,1.1324786,-0.0513698,"[0.8432402014732361,-0.033788975328207016,0.027945972979068756,-0.5357455611228943]","[0.024935275316238403,0.011267689056694508,-0.051369808614254]","[-0.08890700340270996,-0.7511209845542908,9.75856876373291]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
