host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:34:07.486052+00:00,97222.769322,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:34:07.536577+00:00,97222.819098,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5052,252651,1,0,1,1,0,1,0,1761147615,0,14656,97222769,300,0,2.1431026,0.0884169,"[-0.4784540832042694,0.01723700389266014,-0.028144005686044693,0.8774921894073486]","[-0.012017779052257538,-0.020425450056791306,0.08841686695814133]","[0.05957899987697601,-0.6683109998703003,9.713478088378906]",0.0009367,9.180,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.587133+00:00,97222.869087,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5053,252701,1,0,1,1,0,1,0,1761147615,1,44896,97222819,301,0,2.1389256,0.0889030,"[-0.4802711009979248,0.017712004482746124,-0.02818700484931469,0.8764881491661072]","[-0.014417694881558418,-0.014163590967655182,0.08890296518802643]","[0.0690390020608902,-0.675387978553772,9.725685119628906]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.636703+00:00,97222.919143,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5054,252751,1,0,1,1,0,1,0,1761147615,2,13866,97222870,302,0,2.1347666,0.0914199,"[-0.48208239674568176,0.01805701293051243,-0.028355024755001068,0.8754807114601135]","[-0.014376819133758545,-0.006644084583967924,0.09141988307237625]","[0.05951400101184845,-0.6713100075721741,9.7271146774292]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.686833+00:00,97222.969100,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5055,252801,1,0,1,1,0,1,0,1761147615,3,850,97222920,303,0,2.1305957,0.0900643,"[-0.48390233516693115,0.018242010846734047,-0.028621017932891846,0.8744636178016663]","[-0.014330199919641018,0.0008265530341304839,0.09006428718566895]","[0.05303199961781502,-0.6855180263519287,9.740043640136719]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.735952+00:00,97223.019089,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.049270,5055,252801,1,0,1,1,0,1,0,1761147615,3,850,97222920,303,0,2.1305957,0.0900643,"[-0.48390233516693115,0.018242010846734047,-0.028621017932891846,0.8744636178016663]","[-0.014330199919641018,0.0008265530341304839,0.09006428718566895]","[0.05303199961781502,-0.6855180263519287,9.740043640136719]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.788241+00:00,97223.069172,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5057,252901,1,0,1,1,0,1,0,1761147615,5,57368,97223019,305,0,2.1224186,0.0878050,"[-0.48748159408569336,0.01811102218925953,-0.02934303693473339,0.8724520802497864]","[-0.01059051789343357,0.014501749537885189,0.08780497312545776]","[0.03778500109910965,-0.7135469913482666,9.737883567810059]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.837192+00:00,97223.119161,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5058,252951,1,0,1,1,0,1,0,1761147615,6,616,97223071,306,0,2.1183801,0.0896025,"[-0.48925450444221497,0.01782301813364029,-0.029732031747698784,0.8714519143104553]","[-0.005698151420801878,0.01823645830154419,0.089602530002594]","[0.01874700002372265,-0.6939600110054016,9.754166603088379]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.887253+00:00,97223.169110,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5059,253001,1,0,1,1,0,1,0,1761147615,7,17706,97223120,307,0,2.1143789,0.0883244,"[-0.49101316928863525,0.01741800643503666,-0.0300810094922781,0.8704584240913391]","[-0.0038466707337647676,0.021952280774712563,0.08832436800003052]","[0.018720999360084534,-0.6987709999084473,9.754237174987793]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:34:07.937074+00:00,97223.219091,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,5060,253051,1,0,1,1,0,1,0,1761147615,8,38485,97223170,308,0,2.1103902,0.0889027,"[-0.4927675127983093,0.01692301593720913,-0.03040803223848343,0.8694648742675781]","[-0.0020053833723068237,0.024443546310067177,0.08890266716480255]","[0.00839800015091896,-0.6963179707527161,9.754082679748535]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
