host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T12:45:35.490458+00:00,97910.773693,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T12:45:35.540805+00:00,97910.823458,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,18812,940651,1,0,1,1,0,1,0,2754197875,34,6253,97408696,1971,0,3.6862502,0.0000583,"[0.2686741352081299,-0.013365006074309349,-0.031399019062519073,0.9626265168190002]","[0.004085623659193516,0.0012359549291431904,5.8294001064496115e-05]","[-0.11709900200366974,-0.6503260135650635,9.785547256469727]",0.0007478,7.328,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.591852+00:00,97910.873439,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18813,940701,1,0,1,1,0,1,0,286677471,0,10516,97910773,1972,0,3.6862855,0.0000583,"[0.26869311928749084,-0.013322005979716778,-0.031281013041734695,0.9626256227493286]","[0.002864958019927144,0.0008279318572022021,5.827654240420088e-05]","[-0.10512199997901917,-0.64239901304245,9.78316879272461]",0.0007478,7.328,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.640356+00:00,97910.923426,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18814,940751,1,0,1,1,0,1,0,286677471,1,39484,97910824,1973,0,3.6863246,0.0000546,"[0.2687132954597473,-0.013296013697981834,-0.031142031773924828,0.9626248478889465]","[0.004086863249540329,0.001443910994566977,5.459390376927331e-05]","[-0.10506699979305267,-0.6303359866142273,9.785390853881836]",0.0007414,7.266,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.691503+00:00,97910.973449,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18815,940801,1,0,1,1,0,1,0,286677471,2,10720,97910874,1974,0,3.6863925,-0.0005532,"[0.2687472403049469,-0.013278012163937092,-0.031011030077934265,0.9626198410987854]","[0.0028658658266067505,0.0008202174794860184,-0.0005531646311283112]","[-0.09549299627542496,-0.6305260062217712,9.775907516479492]",0.0007414,7.266,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.741485+00:00,97911.023441,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18816,940851,1,0,1,1,0,1,0,286677471,3,16420,97910923,1975,0,3.6864195,0.0000435,"[0.2687619924545288,-0.013243000023066998,-0.030859999358654022,0.9626210927963257]","[0.004090598318725824,0.002067744033411145,4.354596239863895e-05]","[-0.09073100239038467,-0.6403530240058899,9.764114379882812]",0.0006840,6.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.791489+00:00,97911.073441,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18817,940901,1,0,1,1,0,1,0,286677471,4,3675,97910974,1976,0,3.6864333,-0.0003420,"[0.2687700688838959,-0.013222003355622292,-0.03070000931620598,0.962624192237854]","[0.004083738662302494,0.0008149291388690472,-0.0003419623535592109]","[-0.08513300120830536,-0.6380590200424194,9.75854778289795]",0.0006840,6.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.841033+00:00,97911.123436,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18818,940951,1,0,1,1,0,1,0,286677471,5,56388,97911024,1977,0,3.6864400,0.0000804,"[0.268774151802063,-0.013211008161306381,-0.030565015971660614,0.9626275300979614]","[0.0028574878815561533,-0.00041973424958996475,8.038987289182842e-05]","[-0.08114399760961533,-0.6430590152740479,9.74747085571289]",0.0007318,7.172,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.891514+00:00,97911.173440,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18819,941001,1,0,1,1,0,1,0,286677471,6,30379,97911074,1978,0,3.6864486,0.0000361,"[0.26877906918525696,-0.013205003924667835,-0.030442005023360252,0.9626301527023315]","[0.002872428158298135,0.0020756155718117952,3.614576780819334e-05]","[-0.06448200345039368,-0.6479099988937378,9.75013542175293]",0.0007318,7.172,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T12:45:35.941512+00:00,97911.223441,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,18820,941051,1,0,1,1,0,1,0,286677471,7,45063,97911124,1979,0,3.6864576,0.0000583,"[0.2687842547893524,-0.013191012665629387,-0.03034503012895584,0.96263188123703]","[0.002864958019927144,0.0008279318572022021,5.827654240420088e-05]","[-0.07406499981880188,-0.6624450087547302,9.740642547607422]",0.0007095,6.953,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
