host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T13:17:40.701370+00:00,1241656.169015,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T13:17:40.752850+00:00,1241656.219424,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20459,1023000,1,0,1,1,0,1,0,3211193161,0,58164,1241656169,1720,0,1.3569069,0.0073661,"[0.7779678106307983,-0.02992699109017849,-0.020451994612812996,0.627257764339447]","[-0.002018560655415058,0.0009519375744275749,0.007366144564002752]","[-0.12717099487781525,-0.711139976978302,9.84389877319336]",0.1200000,1176.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:40.804948+00:00,1241656.271206,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20460,1023050,1,0,1,1,0,1,0,3211193161,1,13339,1241656220,1721,0,1.3572270,0.0073624,"[0.7778666615486145,-0.02994297817349434,-0.020450983196496964,0.6273824572563171]","[-0.004458652809262276,0.0003438298881519586,0.007362444885075092]","[-0.11518999934196472,-0.7040519714355469,9.839134216308594]",0.1200000,1176.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",112,1,1
2026-08-11T13:17:40.857370+00:00,1241656.323565,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20461,1023100,1,0,1,1,0,1,0,3211193161,1,13339,1241656220,1721,0,1.3575773,0.0085817,"[0.7777562737464905,-0.029949963092803955,-0.02047097310423851,0.6275182366371155]","[-0.003238545497879386,0.0009752376354299486,0.008581661619246006]","[-0.115168996155262,-0.701682984828949,9.836700439453125]",0.1118367,1096.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:40.909628+00:00,1241656.375844,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20462,1023150,1,0,1,1,0,1,0,3211193161,2,11455,1241656272,1722,0,1.3579274,0.0067805,"[0.7776458263397217,-0.029960986226797104,-0.02049698866903782,0.6276537179946899]","[-0.0032470279838889837,-0.0009194045560434461,0.006780481897294521]","[-0.1104540005326271,-0.7088479995727539,9.841657638549805]",0.1118367,1096.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:40.961872+00:00,1241656.428151,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20463,1023200,1,0,1,1,0,1,0,3211193161,3,4914,1241656324,1723,0,1.3582507,0.0098243,"[0.7775447964668274,-0.029948974028229713,-0.020530980080366135,0.6277784109115601]","[-0.0012125675566494465,0.0005616469425149262,0.009824265725910664]","[-0.1254429966211319,-0.7027180194854736,9.818206787109375]",0.1174490,1151.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:41.013151+00:00,1241656.480373,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20464,1023250,1,0,1,1,0,1,0,3211193161,4,47018,1241656377,1724,0,1.3586103,0.0073956,"[0.777431845664978,-0.029948988929390907,-0.02057899348437786,0.6279167532920837]","[-0.0044698407873511314,-0.0015276692574843764,0.007395605556666851]","[-0.12226499617099762,-0.6969860196113586,9.82695484161377]",0.1174490,1151.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:41.064501+00:00,1241656.531389,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20465,1023300,1,0,1,1,0,1,0,3211193161,5,28710,1241656429,1725,0,1.3589451,0.0086112,"[0.7773264646530151,-0.029948992654681206,-0.02061799354851246,0.6280457973480225]","[-0.002027845708653331,-0.00028029989334754646,0.00861117523163557]","[-0.13421200215816498,-0.6992999911308289,9.829249382019043]",0.1158163,1135.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:41.116541+00:00,1241656.582781,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20466,1023350,1,0,1,1,0,1,0,3211193161,6,5048,1241656480,1726,0,1.3593274,0.0085964,"[0.7772060036659241,-0.029956985265016556,-0.02067398652434349,0.628192663192749]","[-0.002633195836097002,0.00034746015444397926,0.00859642680734396]","[-0.12939000129699707,-0.6897000074386597,9.82916259765625]",0.1158163,1135.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:41.167704+00:00,1241656.634950,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,20467,1023400,1,0,1,1,0,1,0,3211193161,7,49069,1241656532,1727,0,1.3596944,0.0073698,"[0.7770900726318359,-0.029969964176416397,-0.020708978176116943,0.6283342838287354]","[-0.0032404656521975994,0.0003359758702572435,0.007369827479124069]","[-0.1294499933719635,-0.6992849707603455,9.831704139709473]",0.1141837,1119.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:41.218932+00:00,1241656.685861,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,3,0.0500000,1,1,1,1,0,1,0.000000,20468,1023450,1,0,1,1,0,1,0,3211193161,8,16487,1241656584,1728,0,1.3600439,0.0085448,"[0.7769786715507507,-0.03000897727906704,-0.020732982084155083,0.6284694671630859]","[-0.0032261016312986612,0.003054692642763257,0.008544799871742725]","[-0.09829600155353546,-0.6984230279922485,9.792866706848145]",0.1141837,1119.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T13:17:41.271588+00:00,1241656.737213,cycle_1_active,0.0000000,0.0000000,0.0000000,0.0000000,3,0.0500000,1,1,1,1,0,1,0.000000,20469,1023500,1,0,1,1,0,1,0,3211193161,9,4566,1241656635,1729,0,1.3604140,0.0091894,"[0.7768607139587402,-0.030046990141272545,-0.02075299248099327,0.628612756729126]","[-0.0038485382683575153,0.0009868789929896593,0.009189420379698277]","[-0.08629599958658218,-0.705357015132904,9.762722969055176]",0.1141837,1119.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
