host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T14:28:30.422344+00:00,1245905.889896527,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T14:28:30.473759+00:00,1245905.940626264,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8307,415401,1,0,0,1,0,2245970636,0,14475,999,0,52,"[-0.025361021980643272,-0.0025730023626238108,-0.03635203093290329,0.9990139007568359]","[-0.003224076936021447,0.0008518428658135235,-0.0012015544343739748]","[-0.038495998829603195,-0.7182999849319458,9.717884063720703]",-3.09108496,-0.00120155443,0.0335714258,329,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.000082,1,1786458510.447017670,finsrov_overhead_camera,"[0.6811243381577935,-0.0022781693250143744,1.261513156255802]","[-0.029570791132425042,-0.007622855765295767,-0.10171727601533594,0.9943445359340011]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T14:28:30.524153+00:00,1245905.990109794,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8308,415451,1,0,0,1,0,2245970636,1,27807,1000,0,50,"[-0.02538701333105564,-0.0025850010570138693,-0.03637101873755455,0.9990125298500061]","[-0.0020104271825402975,0.0008825432159937918,0.0018630867125466466]","[-0.04559199884533882,-0.7185239791870117,9.701014518737793]",-3.09103394,0.00186308671,0.0335714258,329,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.049566,1,1786458510.447017670,finsrov_overhead_camera,"[0.6811243381577935,-0.0022781693250143744,1.261513156255802]","[-0.029570791132425042,-0.007622855765295767,-0.10171727601533594,0.9943445359340011]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000133,1,1,"[15,16]","[0.514444,0.940577,-0.204602]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.153305,""pixel_xy"":[976.216402,347.724124],""world_xy_yaw"":[0.514444,0.940577,-0.204602],""pnp_valid"":true,""pnp_camera_xyz"":[0.681124,-0.002278,1.261513],""pnp_camera_quat_xyzw"":[-0.029571,-0.007623,-0.101717,0.994345],""pnp_camera_rpy_deg"":[-3.28308,-1.213341,-11.646829],""pnp_reprojection_error_px"":0.060575},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":124.543159,""pixel_xy"":[990.611065,407.755246],""world_xy_yaw"":[0.538627,0.867339,-0.208516],""pnp_valid"":true,""pnp_camera_xyz"":[0.707746,0.135557,1.250018],""pnp_camera_quat_xyzw"":[-0.032181,-0.003411,-0.102069,0.994251],""pnp_camera_rpy_deg"":[-3.629373,-0.765023,-11.698574],""pnp_reprojection_error_px"":0.034276}]",1,0.060575,142.153305,80.320078,,0,,0,,
2026-08-11T14:28:30.572773+00:00,1245906.039777380,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8309,415501,1,0,0,1,0,2245970636,2,46298,1001,0,49,"[-0.025413010269403458,-0.0025730011984705925,-0.03638501465320587,0.9990113973617554]","[-0.000797004671767354,-0.00039611992542631924,5.8224188251188025e-05]","[-0.05526399984955788,-0.73021399974823,9.720266342163086]",-3.09098125,5.82241883e-05,0.0312244892,306,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.099233,1,1786458510.447017670,finsrov_overhead_camera,"[0.6811243381577935,-0.0022781693250143744,1.261513156255802]","[-0.029570791132425042,-0.007622855765295767,-0.10171727601533594,0.9943445359340011]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.049800,1,1,"[15,16]","[0.514444,0.940577,-0.204602]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.153305,""pixel_xy"":[976.216402,347.724124],""world_xy_yaw"":[0.514444,0.940577,-0.204602],""pnp_valid"":true,""pnp_camera_xyz"":[0.681124,-0.002278,1.261513],""pnp_camera_quat_xyzw"":[-0.029571,-0.007623,-0.101717,0.994345],""pnp_camera_rpy_deg"":[-3.28308,-1.213341,-11.646829],""pnp_reprojection_error_px"":0.060575},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":124.543159,""pixel_xy"":[990.611065,407.755246],""world_xy_yaw"":[0.538627,0.867339,-0.208516],""pnp_valid"":true,""pnp_camera_xyz"":[0.707746,0.135557,1.250018],""pnp_camera_quat_xyzw"":[-0.032181,-0.003411,-0.102069,0.994251],""pnp_camera_rpy_deg"":[-3.629373,-0.765023,-11.698574],""pnp_reprojection_error_px"":0.034276}]",1,0.060575,142.153305,80.320078,,0,,0,,
2026-08-11T14:28:30.622926+00:00,1245906.090321455,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8310,415551,1,0,0,1,0,2245970636,3,56062,1002,0,50,"[-0.02543000318109989,-0.0025750002823770046,-0.03638000413775444,0.9990110993385315]","[-0.002416931791231036,1.4817846022197045e-05,-0.0011818846687674522]","[-0.06319200247526169,-0.7302749752998352,9.713777542114258]",-3.09094739,-0.00118188467,0.0312244892,306,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.000043,2,1786458510.477005720,finsrov_overhead_camera,"[0.6808808064552232,-0.0022681685573418763,1.261068762574105]","[-0.0288436360896333,-0.008255184814709441,-0.10179105822883315,0.994353295889071]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.100345,1,1,"[15,16]","[0.514444,0.940577,-0.204602]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.153305,""pixel_xy"":[976.216402,347.724124],""world_xy_yaw"":[0.514444,0.940577,-0.204602],""pnp_valid"":true,""pnp_camera_xyz"":[0.681124,-0.002278,1.261513],""pnp_camera_quat_xyzw"":[-0.029571,-0.007623,-0.101717,0.994345],""pnp_camera_rpy_deg"":[-3.28308,-1.213341,-11.646829],""pnp_reprojection_error_px"":0.060575},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":124.543159,""pixel_xy"":[990.611065,407.755246],""world_xy_yaw"":[0.538627,0.867339,-0.208516],""pnp_valid"":true,""pnp_camera_xyz"":[0.707746,0.135557,1.250018],""pnp_camera_quat_xyzw"":[-0.032181,-0.003411,-0.102069,0.994251],""pnp_camera_rpy_deg"":[-3.629373,-0.765023,-11.698574],""pnp_reprojection_error_px"":0.034276}]",1,0.060575,142.153305,80.320078,,0,,0,,
2026-08-11T14:28:30.672269+00:00,1245906.139891711,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.049334,8310,415551,1,0,0,1,0,2245970636,3,56062,1002,0,50,"[-0.02543000318109989,-0.0025750002823770046,-0.03638000413775444,0.9990110993385315]","[-0.002416931791231036,1.4817846022197045e-05,-0.0011818846687674522]","[-0.06319200247526169,-0.7302749752998352,9.713777542114258]",-3.09094739,-0.00118188467,0.0312244892,306,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.049613,2,1786458510.477005720,finsrov_overhead_camera,"[0.6808808064552232,-0.0022681685573418763,1.261068762574105]","[-0.0288436360896333,-0.008255184814709441,-0.10179105822883315,0.994353295889071]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000080,2,1,"[15,16]","[0.51444,0.940577,-0.204914]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.210938,""pixel_xy"":[976.214223,347.723981],""world_xy_yaw"":[0.51444,0.940577,-0.204914],""pnp_valid"":true,""pnp_camera_xyz"":[0.680881,-0.002268,1.261069],""pnp_camera_quat_xyzw"":[-0.028844,-0.008255,-0.101791,0.994353],""pnp_camera_rpy_deg"":[-3.192727,-1.277182,-11.654319],""pnp_reprojection_error_px"":0.064495},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":125.777168,""pixel_xy"":[990.597942,407.748651],""world_xy_yaw"":[0.538605,0.867347,-0.208573],""pnp_valid"":true,""pnp_camera_xyz"":[0.707624,0.135528,1.249834],""pnp_camera_quat_xyzw"":[-0.032064,-0.003569,-0.10218,0.994243],""pnp_camera_rpy_deg"":[-3.61402,-0.782081,-11.710837],""pnp_reprojection_error_px"":0.035964}]",1,0.064495,142.210938,80.295208,,0,,0,,
2026-08-11T14:28:30.722658+00:00,1245906.189764699,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8312,415651,1,0,0,1,0,2245970636,5,225,1004,0,51,"[-0.02545800432562828,-0.0025750002823770046,-0.03641500324010849,0.9990091323852539]","[-0.003218421945348382,0.0021149551030248404,-7.679448685848911e-07]","[-0.07917100191116333,-0.7224839925765991,9.74626350402832]",-3.0908916,-7.67944869e-07,0.0328571424,322,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.099486,2,1786458510.477005720,finsrov_overhead_camera,"[0.6808808064552232,-0.0022681685573418763,1.261068762574105]","[-0.0288436360896333,-0.008255184814709441,-0.10179105822883315,0.994353295889071]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.049953,2,1,"[15,16]","[0.51444,0.940577,-0.204914]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.210938,""pixel_xy"":[976.214223,347.723981],""world_xy_yaw"":[0.51444,0.940577,-0.204914],""pnp_valid"":true,""pnp_camera_xyz"":[0.680881,-0.002268,1.261069],""pnp_camera_quat_xyzw"":[-0.028844,-0.008255,-0.101791,0.994353],""pnp_camera_rpy_deg"":[-3.192727,-1.277182,-11.654319],""pnp_reprojection_error_px"":0.064495},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":125.777168,""pixel_xy"":[990.597942,407.748651],""world_xy_yaw"":[0.538605,0.867347,-0.208573],""pnp_valid"":true,""pnp_camera_xyz"":[0.707624,0.135528,1.249834],""pnp_camera_quat_xyzw"":[-0.032064,-0.003569,-0.10218,0.994243],""pnp_camera_rpy_deg"":[-3.61402,-0.782081,-11.710837],""pnp_reprojection_error_px"":0.035964}]",1,0.064495,142.210938,80.295208,,0,,0,,
2026-08-11T14:28:30.772994+00:00,1245906.240254948,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8313,415701,1,0,0,1,0,2245970636,6,32920,1005,0,50,"[-0.02545800805091858,-0.0025830003432929516,-0.03643601015210152,0.9990083575248718]","[-0.0019984368700534105,0.002091654809191823,-0.0012162851635366678]","[-0.08397500216960907,-0.707552969455719,9.77717399597168]",-3.09089231,-0.00121628516,0.0337755084,331,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.000049,3,1786458510.508930206,finsrov_overhead_camera,"[0.6808592250127227,-0.0022849632862828964,1.2610147753790608]","[-0.029487703016960583,-0.008251062552111804,-0.1016249974568685,0.9943514244116293]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.100443,2,1,"[15,16]","[0.51444,0.940577,-0.204914]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.210938,""pixel_xy"":[976.214223,347.723981],""world_xy_yaw"":[0.51444,0.940577,-0.204914],""pnp_valid"":true,""pnp_camera_xyz"":[0.680881,-0.002268,1.261069],""pnp_camera_quat_xyzw"":[-0.028844,-0.008255,-0.101791,0.994353],""pnp_camera_rpy_deg"":[-3.192727,-1.277182,-11.654319],""pnp_reprojection_error_px"":0.064495},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":125.777168,""pixel_xy"":[990.597942,407.748651],""world_xy_yaw"":[0.538605,0.867347,-0.208573],""pnp_valid"":true,""pnp_camera_xyz"":[0.707624,0.135528,1.249834],""pnp_camera_quat_xyzw"":[-0.032064,-0.003569,-0.10218,0.994243],""pnp_camera_rpy_deg"":[-3.61402,-0.782081,-11.710837],""pnp_reprojection_error_px"":0.035964}]",1,0.064495,142.210938,80.295208,,0,,0,,
2026-08-11T14:28:30.822567+00:00,1245906.289937052,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8314,415751,1,0,0,1,0,2245970636,7,21127,1006,0,50,"[-0.02545200288295746,-0.0026060002855956554,-0.036445003002882004,0.9990081191062927]","[-0.0020039696246385574,0.0014832505257800221,1.766273271641694e-05]","[-0.09354499727487564,-0.699999988079071,9.79614543914795]",-3.09090614,1.76627327e-05,0.0337755084,331,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.049731,3,1786458510.508930206,finsrov_overhead_camera,"[0.6808592250127227,-0.0022849632862828964,1.2610147753790608]","[-0.029487703016960583,-0.008251062552111804,-0.1016249974568685,0.9943514244116293]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000070,3,1,"[15,16]","[0.514466,0.940596,-0.205289]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.945801,""pixel_xy"":[976.229559,347.707996],""world_xy_yaw"":[0.514466,0.940596,-0.205289],""pnp_valid"":true,""pnp_camera_xyz"":[0.680859,-0.002285,1.261015],""pnp_camera_quat_xyzw"":[-0.029488,-0.008251,-0.101625,0.994351],""pnp_camera_rpy_deg"":[-3.266457,-1.283664,-11.634395],""pnp_reprojection_error_px"":0.06936},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":123.622154,""pixel_xy"":[990.599398,407.755581],""world_xy_yaw"":[0.538607,0.867338,-0.208579],""pnp_valid"":true,""pnp_camera_xyz"":[0.707368,0.135492,1.24936],""pnp_camera_quat_xyzw"":[-0.031688,-0.003691,-0.102266,0.994245],""pnp_camera_rpy_deg"":[-3.569687,-0.791911,-11.72068],""pnp_reprojection_error_px"":0.035498}]",1,0.06936,140.945801,81.306172,,0,,0,,
2026-08-11T14:28:30.872712+00:00,1245906.339781560,static_disarmed,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,8315,415801,1,0,0,1,0,2245970636,8,13920,1007,0,50,"[-0.025454018265008926,-0.002625002060085535,-0.03645302727818489,0.9990077018737793]","[-0.0019958713091909885,0.002944004023447633,0.0003995058941654861]","[-0.09032800048589706,-0.6952530145645142,9.792911529541016]",-3.09090352,0.000399505894,0.0337755084,331,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1,1,0.099576,3,1786458510.508930206,finsrov_overhead_camera,"[0.6808592250127227,-0.0022849632862828964,1.2610147753790608]","[-0.029487703016960583,-0.008251062552111804,-0.1016249974568685,0.9943514244116293]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.049915,3,1,"[15,16]","[0.514466,0.940596,-0.205289]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.945801,""pixel_xy"":[976.229559,347.707996],""world_xy_yaw"":[0.514466,0.940596,-0.205289],""pnp_valid"":true,""pnp_camera_xyz"":[0.680859,-0.002285,1.261015],""pnp_camera_quat_xyzw"":[-0.029488,-0.008251,-0.101625,0.994351],""pnp_camera_rpy_deg"":[-3.266457,-1.283664,-11.634395],""pnp_reprojection_error_px"":0.06936},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":123.622154,""pixel_xy"":[990.599398,407.755581],""world_xy_yaw"":[0.538607,0.867338,-0.208579],""pnp_valid"":true,""pnp_camera_xyz"":[0.707368,0.135492,1.24936],""pnp_camera_quat_xyzw"":[-0.031688,-0.003691,-0.102266,0.994245],""pnp_camera_rpy_deg"":[-3.569687,-0.791911,-11.72068],""pnp_reprojection_error_px"":0.035498}]",1,0.06936,140.945801,81.306172,,0,,0,,
