host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T12:35:09.771537+00:00,1239105.239106651,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],0,,,,,0,,0,,
2026-08-11T12:35:09.822249+00:00,1239105.289705550,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000144,1,1,"[15,16]",1,0.041755,154.527832,85.377116,,0,,0,,
2026-08-11T12:35:09.871827+00:00,1239105.339110644,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.049549,1,1,"[15,16]",1,0.041755,154.527832,85.377116,,0,,0,,
2026-08-11T12:35:09.922036+00:00,1239105.389575810,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000113,2,1,"[15,16]",1,0.037619,156.78389,86.680303,,0,,0,,
2026-08-11T12:35:09.971520+00:00,1239105.438956855,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.049494,2,1,"[15,16]",1,0.037619,156.78389,86.680303,,0,,0,,
2026-08-11T12:35:10.022325+00:00,1239105.489830472,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000082,1,1786451709.779451847,pool_world,"[0.619123928419328,-0.109764557785457,1.0949097671395471]","[0.578036857015274,0.8157230332301867,-0.00238171675918854,-0.021532589601038377]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.100367,2,1,"[15,16]",1,0.037619,156.78389,86.680303,,0,,0,,
2026-08-11T12:35:10.071766+00:00,1239105.539307087,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049559,1,1786451709.779451847,pool_world,"[0.619123928419328,-0.109764557785457,1.0949097671395471]","[0.578036857015274,0.8157230332301867,-0.00238171675918854,-0.021532589601038377]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000119,3,1,"[15,16]",1,0.029449,154.642242,86.593672,,0,,0,,
2026-08-11T12:35:10.122189+00:00,1239105.589479809,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099732,1,1786451709.779451847,pool_world,"[0.619123928419328,-0.109764557785457,1.0949097671395471]","[0.578036857015274,0.8157230332301867,-0.00238171675918854,-0.021532589601038377]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.050292,3,1,"[15,16]",1,0.029449,154.642242,86.593672,0.000159,1,air,1,0.220023,air_pinhole_pose_pressure_depth_z
2026-08-11T12:35:10.171851+00:00,1239105.639127092,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.149379,1,1786451709.779451847,pool_world,"[0.619123928419328,-0.109764557785457,1.0949097671395471]","[0.578036857015274,0.8157230332301867,-0.00238171675918854,-0.021532589601038377]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.099939,3,1,"[15,16]",1,0.029449,154.642242,86.593672,0.049806,1,air,1,0.220023,air_pinhole_pose_pressure_depth_z
2026-08-11T12:35:10.222784+00:00,1239105.690100155,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000119,2,1786451709.816856146,pool_world,"[0.6194637638810062,-0.10978019690867115,1.0949097671395471]","[0.5782841900529687,0.8155521964966973,-0.002498512824959873,-0.021348717944129892]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.150912,3,1,"[15,16]",1,0.029449,154.642242,86.593672,0.100779,1,air,1,0.220023,air_pinhole_pose_pressure_depth_z
2026-08-11T12:35:10.271998+00:00,1239105.739402974,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.049422,2,1786451709.816856146,pool_world,"[0.6194637638810062,-0.10978019690867115,1.0949097671395471]","[0.5782841900529687,0.8155521964966973,-0.002498512824959873,-0.021348717944129892]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000165,4,1,"[15,16]",1,0.01782,158.956284,86.182967,0.150082,1,air,1,0.220023,air_pinhole_pose_pressure_depth_z
2026-08-11T12:35:10.322173+00:00,1239105.789476360,static_trim_cad_centered_camera,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.099496,2,1786451709.816856146,pool_world,"[0.6194637638810062,-0.10978019690867115,1.0949097671395471]","[0.5782841900529687,0.8155521964966973,-0.002498512824959873,-0.021348717944129892]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.050239,4,1,"[15,16]",1,0.01782,158.956284,86.182967,0.000170,2,air,1,0.229039,air_pinhole_pose_pressure_depth_z
