host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:30:10.625775+00:00,1246006.093413,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:30:10.677209+00:00,1246006.143876,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10311,515601,1,0,1,1,0,1,0,131768713,0,62320,1246006093,1404,0,-3.0803509,0.0055318,"[-0.030727021396160126,-0.0025080018676817417,-0.03634502738714218,0.998863697052002]","[-0.002015855396166444,0.0009288119035772979,0.005531804170459509]","[0.007015999872237444,-0.7144320011138916,9.670373916625977]",0.0121429,119.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:10.729305+00:00,1246006.195582,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10312,515651,1,0,1,1,0,1,0,131768713,1,12524,1246006144,1405,0,-3.0803249,0.0061617,"[-0.030740028247237206,-0.002510002115741372,-0.0363280326128006,0.9988638758659363]","[-0.0008023103582672775,0.0003048043290618807,0.00616169348359108]","[0.007015999872237444,-0.7144320011138916,9.670373916625977]",0.0121429,119.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:10.781478+00:00,1246006.247720,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10313,515701,1,0,1,1,0,1,0,131768713,2,60361,1246006196,1406,0,-3.0802822,0.0055724,"[-0.030761031433939934,-0.002501002512872219,-0.03630804270505905,0.9988639950752258]","[-0.0008088728645816445,-0.0009505586349405348,0.005572365131229162]","[0.002283999929204583,-0.7121139764785767,9.663089752197266]",0.0052041,51.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:10.832988+00:00,1246006.299878,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10314,515751,1,0,1,1,0,1,0,131768713,3,50850,1246006248,1407,0,-3.0802240,0.0061506,"[-0.03079003095626831,-0.0025020025204867125,-0.036283038556575775,0.9988639950752258]","[-0.0007985929260030389,0.0009286548593081534,0.006150627974420786]","[0.002317999955266714,-0.7073400020599365,9.66062068939209]",0.0052041,51.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:10.884946+00:00,1246006.351248,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10315,515801,1,0,1,1,0,1,0,131768713,4,12979,1246006300,1408,0,-3.0801740,0.0061617,"[-0.030815018340945244,-0.0025030013639479876,-0.0362740196287632,0.9988635778427124]","[-0.0008023103582672775,0.0003048043290618807,0.00616169348359108]","[0.004681999795138836,-0.7097200155258179,9.663081169128418]",0.0048980,48.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:10.937092+00:00,1246006.403364,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10316,515851,1,0,1,1,0,1,0,131768713,5,35349,1246006352,1409,0,-3.0801389,0.0053575,"[-0.03083200752735138,-0.0024900007992982864,-0.036242008209228516,0.9988642334938049]","[-0.0008048411109484732,-0.00032929124427028,0.0053574806079268456]","[-0.008895999751985073,-0.7085620164871216,9.682099342346191]",0.0048980,48.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:10.989346+00:00,1246006.455548,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10317,515901,1,0,1,1,0,1,0,131768713,6,1020,1246006404,1410,0,-3.0801044,0.0049314,"[-0.030849028378725052,-0.0024860023986548185,-0.03620903566479683,0.9988648891448975]","[-0.0020186826586723328,0.00029724702471867204,0.004931410308927298]","[-0.012229999527335167,-0.7210099697113037,9.706233024597168]",0.0056122,55.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:11.041551+00:00,1246006.507812,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10318,515951,1,0,1,1,0,1,0,131768713,7,37436,1246006456,1411,0,-3.0800531,0.0049572,"[-0.03087402507662773,-0.0024690022692084312,-0.03619103133678436,0.9988648295402527]","[-0.0014170678332448006,-0.0009543460910208523,0.004957206547260284]","[-0.012183000333607197,-0.7236719727516174,9.689480781555176]",0.0056122,55.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:30:11.093774+00:00,1246006.560045,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,10319,516001,1,0,1,1,0,1,0,131768713,8,24806,1246006509,1412,0,-3.0800066,0.0049277,"[-0.030897032469511032,-0.0024650024715811014,-0.03616703674197197,0.998865008354187]","[-0.0007967777200974524,0.0009132261038757861,0.004927727859467268]","[-0.0002229999954579398,-0.718953013420105,9.687149047851562]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
