host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T14:32:52.766284+00:00,1246168.234174844,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T14:32:52.819156+00:00,1246168.287034231,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001179,2,1786458772.801868916,finsrov_overhead_camera,"[0.7341759580393193,0.3568613701622074,1.2265169276808734]","[-0.03592059167280485,0.003061368024957199,0.003789614133165715,0.9993427729985408]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000952,2,1,[16],"[0.568065,0.746231,0.000915]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.861938,""pixel_xy"":[1008.133893,507.023737],""world_xy_yaw"":[0.568065,0.746231,0.000915],""pnp_valid"":true,""pnp_camera_xyz"":[0.734176,0.356861,1.226517],""pnp_camera_quat_xyzw"":[-0.035921,0.003061,0.00379,0.999343],""pnp_camera_rpy_deg"":[-4.115785,0.366178,0.421384],""pnp_reprojection_error_px"":0.072647}]",1,0.072647,95.861938,84.262242,,0,,0,,
2026-08-11T14:32:52.867225+00:00,1246168.335114423,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001213,3,1786458772.838443041,finsrov_overhead_camera,"[0.7336853011053672,0.35661058976261706,1.2257133756887555]","[-0.03545902188993544,0.0027830520258377163,0.0034694275133935314,0.9993612337191993]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001007,3,1,[16],"[0.568016,0.746242,0.001337]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.611389,""pixel_xy"":[1008.104964,507.014771],""world_xy_yaw"":[0.568016,0.746242,0.001337],""pnp_valid"":true,""pnp_camera_xyz"":[0.733685,0.356611,1.225713],""pnp_camera_quat_xyzw"":[-0.035459,0.002783,0.003469,0.999361],""pnp_camera_rpy_deg"":[-4.063076,0.33281,0.386014],""pnp_reprojection_error_px"":0.047446}]",1,0.047446,94.611389,85.214359,,0,,0,,
2026-08-11T14:32:52.921334+00:00,1246168.389213673,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001253,5,1786458772.902772188,finsrov_overhead_camera,"[0.7337672941288487,0.35667718287811595,1.2259672795554994]","[-0.03548828738064194,0.003007970687903796,0.00344653664859937,0.9993596224364178]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000974,5,1,[16],"[0.567969,0.746218,0.001344]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.970474,""pixel_xy"":[1008.076546,507.034263],""world_xy_yaw"":[0.567969,0.746218,0.001344],""pnp_valid"":true,""pnp_camera_xyz"":[0.733767,0.356677,1.225967],""pnp_camera_quat_xyzw"":[-0.035488,0.003008,0.003447,0.99936],""pnp_camera_rpy_deg"":[-4.066358,0.358486,0.382469],""pnp_reprojection_error_px"":0.057013}]",1,0.057013,94.970474,84.363518,,0,,0,,
2026-08-11T14:32:52.967796+00:00,1246168.435683129,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001541,6,1786458772.939302206,finsrov_overhead_camera,"[0.7337519029370806,0.3566877186035174,1.2259688309116008]","[-0.035879413934964396,0.0027788342100098762,0.0036815752845326577,0.9993454816726501]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001344,6,1,[16],"[0.567983,0.746212,0.000892]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.872581,""pixel_xy"":[1008.085274,507.039222],""world_xy_yaw"":[0.567983,0.746212,0.000892],""pnp_valid"":true,""pnp_camera_xyz"":[0.733752,0.356688,1.225969],""pnp_camera_quat_xyzw"":[-0.035879,0.002779,0.003682,0.999345],""pnp_camera_rpy_deg"":[-4.111211,0.333361,0.410187],""pnp_reprojection_error_px"":0.071753}]",1,0.071753,95.872581,84.562371,,0,,0,,
2026-08-11T14:32:53.018847+00:00,1246168.486725479,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001162,8,1786458773.008395195,finsrov_overhead_camera,"[0.7338140474489765,0.3567276608749865,1.2261303842918536]","[-0.03562713759535898,0.0028974475305407637,0.0035621135610992244,0.9993546033373475]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000952,8,1,[16],"[0.567945,0.746224,0.001093]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.043236,""pixel_xy"":[1008.062431,507.0294],""world_xy_yaw"":[0.567945,0.746224,0.001093],""pnp_valid"":true,""pnp_camera_xyz"":[0.733814,0.356728,1.22613],""pnp_camera_quat_xyzw"":[-0.035627,0.002897,0.003562,0.999355],""pnp_camera_rpy_deg"":[-4.082279,0.346353,0.396106],""pnp_reprojection_error_px"":0.062004}]",1,0.062004,94.043236,85.747869,,0,,0,,
2026-08-11T14:32:53.068789+00:00,1246168.536668359,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.002242,9,1786458773.040260792,finsrov_overhead_camera,"[0.7339744073833395,0.35680457749940825,1.2264295646625685]","[-0.03578606605714147,0.003172015851028475,0.0036713185025932554,0.9993476958556753]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001975,9,1,[16],"[0.567919,0.746227,0.001839]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.554672,""pixel_xy"":[1008.046957,507.027248],""world_xy_yaw"":[0.567919,0.746227,0.001839],""pnp_valid"":true,""pnp_camera_xyz"":[0.733974,0.356805,1.22643],""pnp_camera_quat_xyzw"":[-0.035786,0.003172,0.003671,0.999348],""pnp_camera_rpy_deg"":[-4.10036,0.378307,0.407432],""pnp_reprojection_error_px"":0.056105}]",1,0.056105,95.554672,84.971738,,0,,0,,
2026-08-11T14:32:53.118120+00:00,1246168.586011645,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000511,11,1786458773.103696585,finsrov_overhead_camera,"[0.7334049613820081,0.3565561284007737,1.2255527434718034]","[-0.035422286999567475,0.002614934024130351,0.003284456956298365,0.9993636155305395]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000419,11,1,[16],"[0.567876,0.746238,0.001003]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":95.556595,""pixel_xy"":[1008.021476,507.017664],""world_xy_yaw"":[0.567876,0.746238,0.001003],""pnp_valid"":true,""pnp_camera_xyz"":[0.733405,0.356556,1.225553],""pnp_camera_quat_xyzw"":[-0.035422,0.002615,0.003284,0.999364],""pnp_camera_rpy_deg"":[-4.058982,0.312792,0.365525],""pnp_reprojection_error_px"":0.04617}]",1,0.04617,95.556595,85.889101,,0,,0,,
2026-08-11T14:32:53.167960+00:00,1246168.635844260,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001725,12,1786458773.140268326,finsrov_overhead_camera,"[0.7336961258012948,0.35669117582577964,1.226072035440027]","[-0.03612819816658775,0.003106231037793079,0.0038864908189547953,0.9993347786478213]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001522,12,1,[16],"[0.567864,0.746238,0.002446]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":94.907921,""pixel_xy"":[1008.014295,507.018429],""world_xy_yaw"":[0.567864,0.746238,0.002446],""pnp_valid"":true,""pnp_camera_xyz"":[0.733696,0.356691,1.226072],""pnp_camera_quat_xyzw"":[-0.036128,0.003106,0.003886,0.999335],""pnp_camera_rpy_deg"":[-4.139537,0.371804,0.432216],""pnp_reprojection_error_px"":0.05014}]",1,0.05014,94.907921,86.358113,,0,,0,,
2026-08-11T14:32:53.218883+00:00,1246168.686762264,surge_channel_010,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001131,14,1786458773.210651398,finsrov_overhead_camera,"[0.7334555408628392,0.3565408717243188,1.2256440033128615]","[-0.03602365361812854,0.002580169114107536,0.003515195764934561,0.9993414243921233]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000924,14,1,[16],"[0.567843,0.746252,0.002362]","[{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":96.532692,""pixel_xy"":[1008.001681,507.006961],""world_xy_yaw"":[0.567843,0.746252,0.002362],""pnp_valid"":true,""pnp_camera_xyz"":[0.733456,0.356541,1.225644],""pnp_camera_quat_xyzw"":[-0.036024,0.00258,0.003515,0.999341],""pnp_camera_rpy_deg"":[-4.127879,0.309983,0.391904],""pnp_reprojection_error_px"":0.032751}]",1,0.032751,96.532692,87.464803,,0,,0,,
