host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T15:00:11.093280+00:00,1247806.560761,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T15:00:11.145231+00:00,1247806.611423,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46321,2316101,1,0,1,1,0,1,0,3895542018,0,8443,1247806560,3276,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T15:00:11.197129+00:00,1247806.663696,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46322,2316151,1,0,1,1,0,1,0,3895542018,1,25225,1247806612,3277,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T15:00:11.249245+00:00,1247806.715439,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46323,2316201,1,0,1,1,0,1,0,3895542018,2,61408,1247806664,3278,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T15:00:11.300738+00:00,1247806.767619,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46324,2316251,1,0,1,1,0,1,0,3895542018,3,38087,1247806716,3279,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T15:00:11.352850+00:00,1247806.819043,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46325,2316301,1,0,1,1,0,1,0,3895542018,4,65230,1247806768,3280,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T15:00:11.405113+00:00,1247806.871447,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46326,2316351,1,0,1,1,0,1,0,3895542018,5,14658,1247806820,3281,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T15:00:11.457386+00:00,1247806.923578,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46327,2316401,1,0,1,1,0,1,0,3895542018,6,12757,1247806872,3282,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T15:00:11.509586+00:00,1247806.975772,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46328,2316451,1,0,1,1,0,1,0,3895542018,7,63065,1247806924,3283,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T15:00:11.561894+00:00,1247807.028099,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,46329,2316501,1,0,1,1,0,1,0,3895542018,7,63065,1247806924,3283,0,-0.9161550,-0.0061521,"[0.8963257074356079,-0.03212898224592209,0.019152989611029625,-0.4418157637119293]","[-0.001976253930479288,0.004525324795395136,-0.006152128800749779]","[-0.01230200007557869,-0.7329999804496765,9.708806991577148]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",112,1,1
