host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T15:10:15.844894+00:00,1248411.312786620,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T15:10:15.895923+00:00,1248411.363802542,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T15:10:15.946563+00:00,1248411.414432945,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T15:10:15.995924+00:00,1248411.463812712,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000107,4,1,"[15,16]","[-0.328378,0.796464,-1.481356]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.175415,""pixel_xy"":[413.458311,461.742879],""world_xy_yaw"":[-0.43099,0.801474,-1.472715],""pnp_valid"":true,""pnp_camera_xyz"":[-0.616644,0.258972,1.242551],""pnp_camera_quat_xyzw"":[-0.024957,-0.031712,-0.683276,0.729044],""pnp_camera_rpy_deg"":[0.399258,-4.608322,-86.303903],""pnp_reprojection_error_px"":0.037231},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.244461,""pixel_xy"":[474.536997,465.848953],""world_xy_yaw"":[-0.328378,0.796464,-1.481356],""pnp_valid"":true,""pnp_camera_xyz"":[-0.477025,0.268727,1.244119],""pnp_camera_quat_xyzw"":[-0.028825,-0.018526,-0.682879,0.729727],""pnp_camera_rpy_deg"":[-0.962874,-3.807584,-86.169063],""pnp_reprojection_error_px"":0.050166}]",1,0.050166,156.244461,86.106739,,0,,0,,
2026-08-11T15:10:16.045642+00:00,1248411.513531396,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000799,6,1,"[15,16]","[-0.327793,0.79669,-1.481289]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.96965,""pixel_xy"":[413.878868,461.491209],""world_xy_yaw"":[-0.430284,0.801781,-1.469958],""pnp_valid"":true,""pnp_camera_xyz"":[-0.61598,0.258522,1.243175],""pnp_camera_quat_xyzw"":[-0.025787,-0.032531,-0.682599,0.729613],""pnp_camera_rpy_deg"":[0.38991,-4.742253,-86.202665],""pnp_reprojection_error_px"":0.035134},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.727036,""pixel_xy"":[474.885107,465.664302],""world_xy_yaw"":[-0.327793,0.79669,-1.481289],""pnp_valid"":true,""pnp_camera_xyz"":[-0.476422,0.268506,1.244733],""pnp_camera_quat_xyzw"":[-0.028892,-0.019109,-0.682433,0.730127],""pnp_camera_rpy_deg"":[-0.925115,-3.861123,-86.101181],""pnp_reprojection_error_px"":0.045674}]",1,0.045674,156.727036,85.702378,,0,,0,,
2026-08-11T15:10:16.097391+00:00,1248411.565270368,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000180,8,1,"[15,16]","[-0.327274,0.796818,-1.481514]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.885605,""pixel_xy"":[414.211834,461.272529],""world_xy_yaw"":[-0.429724,0.802048,-1.469805],""pnp_valid"":true,""pnp_camera_xyz"":[-0.615745,0.258283,1.244261],""pnp_camera_quat_xyzw"":[-0.025453,-0.032736,-0.682206,0.729983],""pnp_camera_rpy_deg"":[0.431505,-4.73355,-86.142503],""pnp_reprojection_error_px"":0.047832},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":157.950653,""pixel_xy"":[475.193926,465.558876],""world_xy_yaw"":[-0.327274,0.796818,-1.481514],""pnp_valid"":true,""pnp_camera_xyz"":[-0.47524,0.267996,1.243448],""pnp_camera_quat_xyzw"":[-0.028398,-0.016587,-0.68197,0.73064],""pnp_camera_rpy_deg"":[-1.083598,-3.610385,-86.019283],""pnp_reprojection_error_px"":0.053902}]",1,0.053902,157.950653,85.021685,,0,,0,,
2026-08-11T15:10:16.146003+00:00,1248411.613892870,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001417,9,1,"[15,16]","[-0.327082,0.796881,-1.481435]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":152.213882,""pixel_xy"":[414.345582,461.179691],""world_xy_yaw"":[-0.429499,0.802161,-1.469802],""pnp_valid"":true,""pnp_camera_xyz"":[-0.61517,0.257986,1.243749],""pnp_camera_quat_xyzw"":[-0.024817,-0.031777,-0.681722,0.730499],""pnp_camera_rpy_deg"":[0.406355,-4.60363,-86.059979],""pnp_reprojection_error_px"":0.054552},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":157.959885,""pixel_xy"":[475.308229,465.507302],""world_xy_yaw"":[-0.327082,0.796881,-1.481435],""pnp_valid"":true,""pnp_camera_xyz"":[-0.474882,0.267836,1.243183],""pnp_camera_quat_xyzw"":[-0.029573,-0.015582,-0.681861,0.730718],""pnp_camera_rpy_deg"":[-1.261343,-3.617876,-85.998384],""pnp_reprojection_error_px"":0.059843}]",1,0.059843,157.959885,85.471075,,0,,0,,
2026-08-11T15:10:16.196059+00:00,1248411.663945729,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001593,10,1,"[15,16]","[-0.326915,0.796909,-1.480515]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.505768,""pixel_xy"":[414.471113,461.09464],""world_xy_yaw"":[-0.429289,0.802265,-1.46907],""pnp_valid"":true,""pnp_camera_xyz"":[-0.614707,0.257689,1.243361],""pnp_camera_quat_xyzw"":[-0.025185,-0.03112,-0.681558,0.730669],""pnp_camera_rpy_deg"":[0.322829,-4.577468,-86.029519],""pnp_reprojection_error_px"":0.048708},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":158.868683,""pixel_xy"":[475.407899,465.484089],""world_xy_yaw"":[-0.326915,0.796909,-1.480515],""pnp_valid"":true,""pnp_camera_xyz"":[-0.474458,0.267657,1.24275],""pnp_camera_quat_xyzw"":[-0.028669,-0.015314,-0.681594,0.731009],""pnp_camera_rpy_deg"":[-1.207745,-3.524208,-85.955886],""pnp_reprojection_error_px"":0.040751}]",1,0.040751,158.868683,85.459512,,0,,0,,
2026-08-11T15:10:16.246869+00:00,1248411.714749435,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001425,12,1,"[15,16]","[-0.326616,0.797015,-1.478959]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":149.601273,""pixel_xy"":[414.654801,460.93934],""world_xy_yaw"":[-0.42898,0.802454,-1.465868],""pnp_valid"":true,""pnp_camera_xyz"":[-0.614493,0.257386,1.24381],""pnp_camera_quat_xyzw"":[-0.026118,-0.032468,-0.681127,0.730978],""pnp_camera_rpy_deg"":[0.347573,-4.763682,-85.970765],""pnp_reprojection_error_px"":0.031299},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.622116,""pixel_xy"":[475.58599,465.397476],""world_xy_yaw"":[-0.326616,0.797015,-1.478959],""pnp_valid"":true,""pnp_camera_xyz"":[-0.474114,0.267471,1.242907],""pnp_camera_quat_xyzw"":[-0.029131,-0.014997,-0.6812,0.731364],""pnp_camera_rpy_deg"":[-1.273252,-3.533087,-85.892959],""pnp_reprojection_error_px"":0.036766}]",1,0.036766,156.622116,86.161804,,0,,0,,
2026-08-11T15:10:16.296479+00:00,1248411.764361700,surge_decay_negative_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000165,14,1,"[15,16]","[-0.3263,0.797206,-1.477059]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":151.299332,""pixel_xy"":[414.791889,460.704689],""world_xy_yaw"":[-0.42875,0.80274,-1.463777],""pnp_valid"":true,""pnp_camera_xyz"":[-0.614236,0.256867,1.244019],""pnp_camera_quat_xyzw"":[-0.026187,-0.033353,-0.680733,0.731303],""pnp_camera_rpy_deg"":[0.408691,-4.84351,-85.915129],""pnp_reprojection_error_px"":0.017071},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.878281,""pixel_xy"":[475.773896,465.240725],""world_xy_yaw"":[-0.3263,0.797206,-1.477059],""pnp_valid"":true,""pnp_camera_xyz"":[-0.473681,0.267115,1.242776],""pnp_camera_quat_xyzw"":[-0.029161,-0.015526,-0.680311,0.732179],""pnp_camera_rpy_deg"":[-1.238754,-3.578312,-85.755284],""pnp_reprojection_error_px"":0.061321}]",1,0.061321,155.878281,87.918553,,0,,0,,
