host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T15:07:31.049873+00:00,1248246.517767318,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T15:07:31.101086+00:00,1248246.568973817,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000403,2,1,"[15,16]","[0.732916,0.872333,-1.68265]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":136.700638,""pixel_xy"":[1045.772687,407.124339],""world_xy_yaw"":[0.631298,0.868108,-1.679731],""pnp_valid"":true,""pnp_camera_xyz"":[0.833194,0.133776,1.246952],""pnp_camera_quat_xyzw"":[-0.028553,-0.028106,-0.72587,0.686664],""pnp_camera_rpy_deg"":[0.091352,-4.591418,-93.183393],""pnp_reprojection_error_px"":0.029471},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.427399,""pixel_xy"":[1106.259636,403.661519],""world_xy_yaw"":[0.732916,0.872333,-1.68265],""pnp_valid"":true,""pnp_camera_xyz"":[0.974466,0.126067,1.24623],""pnp_camera_quat_xyzw"":[-0.031953,-0.024723,-0.725196,0.687356],""pnp_camera_rpy_deg"":[-0.463744,-4.607655,-93.05035],""pnp_reprojection_error_px"":0.055663}]",1,0.055663,155.427399,84.366236,,0,,0,,
2026-08-11T15:07:31.151357+00:00,1248246.619232772,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001800,3,1,"[15,16]","[0.733635,0.872506,-1.682107]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":136.397202,""pixel_xy"":[1046.269125,406.959018],""world_xy_yaw"":[0.632132,0.86831,-1.680519],""pnp_valid"":true,""pnp_camera_xyz"":[0.834623,0.133469,1.247454],""pnp_camera_quat_xyzw"":[-0.028936,-0.028214,-0.725853,0.686662],""pnp_camera_rpy_deg"":[0.070145,-4.631915,-93.181404],""pnp_reprojection_error_px"":0.037502},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.286774,""pixel_xy"":[1106.687811,403.519645],""world_xy_yaw"":[0.733635,0.872506,-1.682107],""pnp_valid"":true,""pnp_camera_xyz"":[0.97571,0.125721,1.246445],""pnp_camera_quat_xyzw"":[-0.031262,-0.024282,-0.725751,0.686817],""pnp_camera_rpy_deg"":[-0.442407,-4.515678,-93.140206],""pnp_reprojection_error_px"":0.031448}]",1,0.031448,155.286774,85.150318,,0,,0,,
2026-08-11T15:07:31.201938+00:00,1248246.669820164,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001539,5,1,"[15,16]","[0.73514,0.872892,-1.68114]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":140.145508,""pixel_xy"":[1047.227345,406.658118],""world_xy_yaw"":[0.633742,0.868677,-1.681854],""pnp_valid"":true,""pnp_camera_xyz"":[0.836439,0.132691,1.246875],""pnp_camera_quat_xyzw"":[-0.030008,-0.029576,-0.725619,0.686805],""pnp_camera_rpy_deg"":[0.097887,-4.828587,-93.152355],""pnp_reprojection_error_px"":0.032362},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.547531,""pixel_xy"":[1107.583452,403.203455],""world_xy_yaw"":[0.73514,0.872892,-1.68114],""pnp_valid"":true,""pnp_camera_xyz"":[0.978039,0.124966,1.246623],""pnp_camera_quat_xyzw"":[-0.03107,-0.023875,-0.725976,0.686603],""pnp_camera_rpy_deg"":[-0.459739,-4.467719,-93.175257],""pnp_reprojection_error_px"":0.030204}]",1,0.030204,155.547531,85.941172,,0,,0,,
2026-08-11T15:07:31.251949+00:00,1248246.719831676,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002252,6,1,"[15,16]","[0.735886,0.8731,-1.680432]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.150391,""pixel_xy"":[1047.679507,406.511198],""world_xy_yaw"":[0.634502,0.868856,-1.680182],""pnp_valid"":true,""pnp_camera_xyz"":[0.837195,0.132277,1.246332],""pnp_camera_quat_xyzw"":[-0.028012,-0.027559,-0.726577,0.685961],""pnp_camera_rpy_deg"":[0.092944,-4.503246,-93.297726],""pnp_reprojection_error_px"":0.016713},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.050766,""pixel_xy"":[1108.027681,403.032638],""world_xy_yaw"":[0.735886,0.8731,-1.680432],""pnp_valid"":true,""pnp_camera_xyz"":[0.979121,0.124605,1.246673],""pnp_camera_quat_xyzw"":[-0.030095,-0.023262,-0.726185,0.686446],""pnp_camera_rpy_deg"":[-0.432844,-4.338305,-93.206397],""pnp_reprojection_error_px"":0.030218}]",1,0.030218,155.050766,86.020487,,0,,0,,
2026-08-11T15:07:31.301501+00:00,1248246.769390848,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001103,8,1,"[15,16]","[0.737467,0.873518,-1.682557]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.062164,""pixel_xy"":[1048.64645,406.2302],""world_xy_yaw"":[0.636126,0.869199,-1.680792],""pnp_valid"":true,""pnp_camera_xyz"":[0.839971,0.131676,1.247136],""pnp_camera_quat_xyzw"":[-0.028556,-0.02823,-0.726636,0.685848],""pnp_camera_rpy_deg"":[0.106706,-4.601335,-93.312461],""pnp_reprojection_error_px"":0.006548},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.196396,""pixel_xy"":[1108.968341,402.689773],""world_xy_yaw"":[0.737467,0.873518,-1.682557],""pnp_valid"":true,""pnp_camera_xyz"":[0.98059,0.123715,1.245767],""pnp_camera_quat_xyzw"":[-0.030706,-0.024388,-0.726353,0.686202],""pnp_camera_rpy_deg"":[-0.385792,-4.478017,-93.24119],""pnp_reprojection_error_px"":0.012881}]",1,0.012881,155.196396,82.539311,,0,,0,,
2026-08-11T15:07:31.351383+00:00,1248246.819279007,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001800,9,1,"[15,16]","[0.738219,0.873742,-1.684818]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.138458,""pixel_xy"":[1049.142821,406.076585],""world_xy_yaw"":[0.63696,0.869387,-1.681645],""pnp_valid"":true,""pnp_camera_xyz"":[0.841261,0.131357,1.247393],""pnp_camera_quat_xyzw"":[-0.028956,-0.028527,-0.72665,0.685805],""pnp_camera_rpy_deg"":[0.100088,-4.658094,-93.316892],""pnp_reprojection_error_px"":0.01069},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":155.69133,""pixel_xy"":[1109.416071,402.506362],""world_xy_yaw"":[0.738219,0.873742,-1.684818],""pnp_valid"":true,""pnp_camera_xyz"":[0.981879,0.123363,1.246021],""pnp_camera_quat_xyzw"":[-0.031025,-0.024753,-0.726549,0.685967],""pnp_camera_rpy_deg"":[-0.379104,-4.533446,-93.276337],""pnp_reprojection_error_px"":0.032192}]",1,0.032192,155.69133,83.373758,,0,,0,,
2026-08-11T15:07:31.400554+00:00,1248246.868445575,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001110,10,1,"[15,16]","[0.738972,0.873899,-1.683522]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.429688,""pixel_xy"":[1049.627961,405.919972],""world_xy_yaw"":[0.637775,0.869578,-1.681196],""pnp_valid"":true,""pnp_camera_xyz"":[0.842637,0.131059,1.247764],""pnp_camera_quat_xyzw"":[-0.029265,-0.028735,-0.726135,0.686328],""pnp_camera_rpy_deg"":[0.089688,-4.700322,-93.232375],""pnp_reprojection_error_px"":0.013401},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":156.498871,""pixel_xy"":[1109.864284,402.378135],""world_xy_yaw"":[0.738972,0.873899,-1.683522],""pnp_valid"":true,""pnp_camera_xyz"":[0.982835,0.122986,1.245869],""pnp_camera_quat_xyzw"":[-0.030224,-0.024286,-0.727101,0.685435],""pnp_camera_rpy_deg"":[-0.351519,-4.430264,-93.365619],""pnp_reprojection_error_px"":0.014599}]",1,0.014599,156.498871,83.063509,,0,,0,,
2026-08-11T15:07:31.451870+00:00,1248246.919751755,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001420,12,1,"[15,16]","[0.740504,0.87432,-1.685049]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":144.915802,""pixel_xy"":[1050.569682,405.613733],""world_xy_yaw"":[0.639357,0.869951,-1.683642],""pnp_valid"":true,""pnp_camera_xyz"":[0.84393,0.130256,1.246414],""pnp_camera_quat_xyzw"":[-0.028448,-0.029318,-0.726737,0.6857],""pnp_camera_rpy_deg"":[0.206889,-4.677954,-93.336926],""pnp_reprojection_error_px"":0.024486},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":157.689377,""pixel_xy"":[1110.77622,402.033115],""world_xy_yaw"":[0.740504,0.87432,-1.685049],""pnp_valid"":true,""pnp_camera_xyz"":[0.985669,0.122315,1.246733],""pnp_camera_quat_xyzw"":[-0.030689,-0.024993,-0.72691,0.685591],""pnp_camera_rpy_deg"":[-0.330135,-4.524559,-93.338048],""pnp_reprojection_error_px"":0.016087}]",1,0.016087,157.689377,81.724058,,0,,0,,
2026-08-11T15:07:31.500182+00:00,1248246.968075757,surge_decay_positive_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000313,14,1,"[15,16]","[0.742061,0.874741,-1.6873]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.26001,""pixel_xy"":[1051.521266,405.324725],""world_xy_yaw"":[0.640956,0.870304,-1.683733],""pnp_valid"":true,""pnp_camera_xyz"":[0.846329,0.129645,1.246632],""pnp_camera_quat_xyzw"":[-0.027643,-0.028927,-0.726954,0.685519],""pnp_camera_rpy_deg"":[0.239022,-4.579958,-93.370165],""pnp_reprojection_error_px"":0.038587},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.727997,""pixel_xy"":[1111.703056,401.687766],""world_xy_yaw"":[0.742061,0.874741,-1.6873],""pnp_valid"":true,""pnp_camera_xyz"":[0.987392,0.121483,1.246126],""pnp_camera_quat_xyzw"":[-0.031566,-0.026296,-0.726667,0.68576],""pnp_camera_rpy_deg"":[-0.291856,-4.700218,-93.305889],""pnp_reprojection_error_px"":0.022298}]",1,0.022298,160.727997,82.429423,,0,,0,,
