host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T15:07:37.169481+00:00,1248252.636959,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T15:07:37.220365+00:00,1248252.687599,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55243,2762201,1,0,1,1,0,1,0,3803572097,0,63465,1248252637,4143,0,-1.6712098,-0.0169703,"[0.6704350113868713,-0.019902000203728676,0.027990000322461128,-0.7411729693412781]","[-0.002023447537794709,-0.006218747701495886,-0.016970273107290268]","[-0.0883760005235672,-0.6672999858856201,9.733352661132812]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T15:07:37.272288+00:00,1248252.738521,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55244,2762251,1,0,1,1,0,1,0,3803572097,1,43192,1248252688,4144,0,-1.6728051,-0.0169764,"[0.6698384881019592,-0.020049989223480225,0.02790198288857937,-0.7417114973068237]","[-0.003648925106972456,-0.0064162141643464565,-0.016976434737443924]","[-0.05811300128698349,-0.6676589846611023,9.719314575195312]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T15:07:37.324643+00:00,1248252.790776,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55245,2762301,1,0,1,1,0,1,0,3803572097,2,58784,1248252739,4145,0,-1.6737653,-0.0181969,"[0.6694788336753845,-0.02014998346567154,0.027874980121850967,-0.7420344352722168]","[-0.004461725242435932,-0.006842283997684717,-0.018196891993284225]","[-0.031216999515891075,-0.6819589734077454,9.736623764038086]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-11T15:07:37.377215+00:00,1248252.843104,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55246,2762351,1,0,1,1,0,1,0,3803572097,3,24310,1248252792,4146,0,-1.6760385,-0.0170109,"[0.6686261892318726,-0.020400989800691605,0.027830984443426132,-0.7427975535392761]","[-0.006892410106956959,-0.005563446320593357,-0.0170108862221241]","[-0.023854000493884087,-0.675508975982666,9.688637733459473]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",239,1,1
2026-08-11T15:07:37.429485+00:00,1248252.895694,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55247,2762401,1,0,1,1,0,1,0,3803572097,4,55064,1248252844,4147,0,-1.6776605,-0.0182191,"[0.6680164337158203,-0.020610980689525604,0.027831973508000374,-0.7433401942253113]","[-0.00811623502522707,-0.006818687543272972,-0.018219055607914925]","[-0.016673000529408455,-0.675652027130127,9.681526184082031]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",239,1,1
2026-08-11T15:07:37.481682+00:00,1248252.947920,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55248,2762451,1,0,1,1,0,1,0,3803572097,5,28606,1248252896,4148,0,-1.6792903,-0.0182301,"[0.6674033999443054,-0.020813990384340286,0.0278449859470129,-0.7438845634460449]","[-0.008112500421702862,-0.006194837391376495,-0.018230121582746506]","[-0.028606999665498734,-0.6755610108375549,9.683785438537598]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",239,1,1
2026-08-11T15:07:37.533934+00:00,1248253.000138,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55249,2762501,1,0,1,1,0,1,0,3803572097,6,3829,1248252949,4149,0,-1.6809511,-0.0182486,"[0.6667781472206116,-0.02101898193359375,0.027868974953889847,-0.7444383502006531]","[-0.009326952509582043,-0.005563132464885712,-0.018248552456498146]","[-0.023878999054431915,-0.6803200244903564,9.688708305358887]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",239,1,1
2026-08-11T15:07:37.586245+00:00,1248253.052404,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55250,2762551,1,0,1,1,0,1,0,3803572097,7,9118,1248253001,4150,0,-1.6826429,-0.0190958,"[0.6661397218704224,-0.021260974928736687,0.02791396901011467,-0.7450011968612671]","[-0.009721833281219006,-0.0039072162471711636,-0.019095787778496742]","[-0.0071760001592338085,-0.6861680150032043,9.67859172821045]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T15:07:37.638472+00:00,1248253.104715,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,55251,2762601,1,0,1,1,0,1,0,3803572097,8,63666,1248253053,4151,0,-1.6843618,-0.0207054,"[0.6654911041259766,-0.021483980119228363,0.027989977970719337,-0.7455713152885437]","[-0.009319587610661983,-0.004970139358192682,-0.020705435425043106]","[0.019068999215960503,-0.7002739906311035,9.655912399291992]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
