host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T14:40:06.575798+00:00,1246602.043691597,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-11T14:40:06.626690+00:00,1246602.094586745,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001001,1,1786459206.608406305,finsrov_overhead_camera,"[0.20006362788980858,0.14097767524809704,1.2503676680845195]","[-0.003452172533025691,-0.01636889360571212,-0.3817473521901445,0.9241153071574678]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000835,1,1,[15],"[0.166285,0.864999,-0.792359]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":119.643639,""pixel_xy"":[768.97891,409.673056],""world_xy_yaw"":[0.166285,0.864999,-0.792359],""pnp_valid"":true,""pnp_camera_xyz"":[0.200064,0.140978,1.250368],""pnp_camera_quat_xyzw"":[-0.003452,-0.016369,-0.381747,0.924115],""pnp_camera_rpy_deg"":[0.350679,-1.884753,-44.896312],""pnp_reprojection_error_px"":0.063576}]",1,0.063576,119.643639,86.232561,,0,,0,,
2026-08-11T14:40:06.677080+00:00,1246602.144970387,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001510,2,1786459206.641802073,finsrov_overhead_camera,"[0.2000597445242305,0.14104356368204393,1.250223868196496]","[-0.0023746016163277723,-0.01817299353812048,-0.38166197986671163,0.924120250128331]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001344,2,1,[15],"[0.166291,0.86495,-0.792538]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.893311,""pixel_xy"":[768.982972,409.713107],""world_xy_yaw"":[0.166291,0.86495,-0.792538],""pnp_valid"":true,""pnp_camera_xyz"":[0.20006,0.141044,1.250224],""pnp_camera_quat_xyzw"":[-0.002375,-0.018173,-0.381662,0.92412],""pnp_camera_rpy_deg"":[0.543687,-2.028732,-44.890911],""pnp_reprojection_error_px"":0.059915}]",1,0.059915,117.893311,86.565448,,0,,0,,
2026-08-11T14:40:06.726938+00:00,1246602.194829345,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000623,4,1786459206.707848549,finsrov_overhead_camera,"[0.19996036607905804,0.1411516366796569,1.249904349476964]","[-0.0037857644600121565,-0.01986292489139871,-0.3811592261850101,0.9242882540075128]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000514,4,1,[15],"[0.16626,0.864883,-0.792783]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":121.479118,""pixel_xy"":[768.964055,409.768038],""world_xy_yaw"":[0.16626,0.864883,-0.792783],""pnp_valid"":true,""pnp_camera_xyz"":[0.19996,0.141152,1.249904],""pnp_camera_quat_xyzw"":[-0.003786,-0.019863,-0.381159,0.924288],""pnp_camera_rpy_deg"":[0.466965,-2.269741,-44.829925],""pnp_reprojection_error_px"":0.067027}]",1,0.067027,121.479118,87.024227,,0,,0,,
2026-08-11T14:40:06.777439+00:00,1246602.245335451,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000882,5,1786459206.739926338,finsrov_overhead_camera,"[0.19995889341722917,0.1412934053865674,1.2500258995288325]","[-0.0025422968514162542,-0.02066347781526747,-0.38094719222475376,0.9243623716635018]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000740,5,1,[15],"[0.166234,0.864815,-0.792292]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":121.216705,""pixel_xy"":[768.94899,409.823891],""world_xy_yaw"":[0.166234,0.864815,-0.792292],""pnp_valid"":true,""pnp_camera_xyz"":[0.199959,0.141293,1.250026],""pnp_camera_quat_xyzw"":[-0.002542,-0.020663,-0.380947,0.924362],""pnp_camera_rpy_deg"":[0.633262,-2.300358,-44.807682],""pnp_reprojection_error_px"":0.067912}]",1,0.067912,121.216705,87.52985,,0,,0,,
2026-08-11T14:40:06.828511+00:00,1246602.296391111,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001182,7,1786459206.808682203,finsrov_overhead_camera,"[0.20007984529229422,0.14156119516778373,1.2511266975014295]","[-0.004763959198962998,-0.019012791338400403,-0.3809093872167161,0.9244045960446426]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000960,7,1,[15],"[0.166202,0.864734,-0.791798]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":122.769768,""pixel_xy"":[768.929894,409.89],""world_xy_yaw"":[0.166202,0.864734,-0.791798],""pnp_valid"":true,""pnp_camera_xyz"":[0.20008,0.141561,1.251127],""pnp_camera_quat_xyzw"":[-0.004764,-0.019013,-0.380909,0.924405],""pnp_camera_rpy_deg"":[0.325495,-2.222505,-44.795432],""pnp_reprojection_error_px"":0.063006}]",1,0.063006,122.769768,87.208426,,0,,0,,
2026-08-11T14:40:06.877389+00:00,1246602.345277564,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001582,8,1786459206.840541363,finsrov_overhead_camera,"[0.20019107119676266,0.14169857641418282,1.2516847584281738]","[-0.006656852548272772,-0.018626285024153106,-0.38069198053065806,0.9244903264934656]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001393,8,1,[15],"[0.166255,0.864664,-0.791321]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":121.365486,""pixel_xy"":[768.961593,409.947401],""world_xy_yaw"":[0.166255,0.864664,-0.791321],""pnp_valid"":true,""pnp_camera_xyz"":[0.200191,0.141699,1.251685],""pnp_camera_quat_xyzw"":[-0.006657,-0.018626,-0.380692,0.92449],""pnp_camera_rpy_deg"":[0.10742,-2.264234,-44.764459],""pnp_reprojection_error_px"":0.038327}]",1,0.038327,121.365486,87.48134,,0,,0,,
2026-08-11T14:40:06.928474+00:00,1246602.396355961,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001173,10,1786459206.907816648,finsrov_overhead_camera,"[0.20014430937440875,0.14182069930414637,1.251337346245996]","[-0.00433286356276051,-0.022640622368775287,-0.3809297918439586,0.9243165703360615]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000955,10,1,[15],"[0.166231,0.864591,-0.793074]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":122.107567,""pixel_xy"":[768.946992,410.00754],""world_xy_yaw"":[0.166231,0.864591,-0.793074],""pnp_valid"":true,""pnp_camera_xyz"":[0.200144,0.141821,1.251337],""pnp_camera_quat_xyzw"":[-0.004333,-0.022641,-0.38093,0.924317],""pnp_camera_rpy_deg"":[0.529909,-2.588085,-44.807095],""pnp_reprojection_error_px"":0.047283}]",1,0.047283,122.107567,85.816719,,0,,0,,
2026-08-11T14:40:06.978315+00:00,1246602.446196581,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001164,12,1786459206.975852489,finsrov_overhead_camera,"[0.20029609979907217,0.14203479206458028,1.2523151304193727]","[-0.004897211123351024,-0.01751849296213237,-0.38078826571671714,0.9244833240356496]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.000952,12,1,[15],"[0.166217,0.864547,-0.790533]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":120.941566,""pixel_xy"":[768.938604,410.043618],""world_xy_yaw"":[0.166217,0.864547,-0.790533],""pnp_valid"":true,""pnp_camera_xyz"":[0.200296,0.142035,1.252315],""pnp_camera_quat_xyzw"":[-0.004897,-0.017518,-0.380788,0.924483],""pnp_camera_rpy_deg"":[0.245782,-2.070015,-44.777286],""pnp_reprojection_error_px"":0.057079}]",1,0.057079,120.941566,86.669631,,0,,0,,
2026-08-11T14:40:07.027567+00:00,1246602.495455005,sway_channel_0075,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001878,13,1786459207.006815195,finsrov_overhead_camera,"[0.200431961495494,0.14218845368616198,1.2531170016083775]","[-0.0053767668690059365,-0.013903645885202284,-0.38084426957162265,0.9245190216234561]","[0.0025,0.0025,0.0025,1000000.0,1000000.0,1000000.0]",0.001670,13,1,[15],"[0.166236,0.864517,-0.789474]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":124.109085,""pixel_xy"":[768.950033,410.067759],""world_xy_yaw"":[0.166236,0.864517,-0.789474],""pnp_valid"":true,""pnp_camera_xyz"":[0.200432,0.142188,1.253117],""pnp_camera_quat_xyzw"":[-0.005377,-0.013904,-0.380844,0.924519],""pnp_camera_rpy_deg"":[0.037167,-1.707884,-44.777776],""pnp_reprojection_error_px"":0.058628}]",1,0.058628,124.109085,87.590751,,0,,0,,
