host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T14:40:06.388934+00:00,1246601.856599,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T14:40:06.439784+00:00,1246601.907026,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,22226,1111351,1,0,1,1,0,1,0,286552362,491,19474,1246552617,2777,0,-1.1752870,0.0012147,"[0.8317520618438721,-0.028702979907393456,0.02287498489022255,-0.5539326667785645]","[-0.004438407253473997,0.0021382379345595837,0.0012147317174822092]","[-0.07678499817848206,-0.6978909969329834,9.781912803649902]",0.0392857,385.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:40:06.491540+00:00,1246601.958055,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22227,1111401,1,0,1,1,0,1,0,4102339531,0,57637,1246601856,2778,0,-1.1752352,0.0024266,"[0.8317657709121704,-0.028721965849399567,0.022916974499821663,-0.5539093613624573]","[-0.004436470568180084,0.0027774993795901537,0.0024265837855637074]","[-0.05998300015926361,-0.7008870244026184,9.748564720153809]",0.0392857,385.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:40:06.543643+00:00,1246602.009930,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22228,1111451,1,0,1,1,0,1,0,4102339531,1,45204,1246601907,2779,0,-1.1751984,0.0024671,"[0.831775426864624,-0.0287379939109087,0.02294699288904667,-0.5538928508758545]","[-0.0032295051496475935,0.0008981116116046906,0.002467145211994648]","[-0.04320700094103813,-0.698852002620697,9.72953987121582]",0.0392857,385.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:40:06.595805+00:00,1246602.062088,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22229,1111501,1,0,1,1,0,1,0,4102339531,2,55066,1246601959,2780,0,-1.1751577,0.0012442,"[0.8317859172821045,-0.028757983818650246,0.022953985258936882,-0.5538756251335144]","[-0.003227690001949668,0.0008827003184705973,0.0012442453298717737]","[-0.06492800265550613,-0.7173359990119934,9.772740364074707]",0.0346939,340.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:40:06.647833+00:00,1246602.114135,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22230,1111551,1,0,1,1,0,1,0,4102339531,3,58178,1246602011,2781,0,-1.1751248,0.0012479,"[0.8317946791648865,-0.028768982738256454,0.02295798808336258,-0.5538617372512817]","[-0.0026186048053205013,0.0008787558763287961,0.0012479278957471251]","[-0.09113000333309174,-0.7026000022888184,9.784214973449707]",0.0346939,340.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-11T14:40:06.700004+00:00,1246602.166282,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22231,1111601,1,0,1,1,0,1,0,4102339531,4,33995,1246602063,2782,0,-1.1751038,0.0021185,"[0.8318009376525879,-0.02875998243689537,0.02296498790383339,-0.5538526773452759]","[-0.0008074940415099263,-0.001618112321011722,0.0021185155492275953]","[-0.03131899982690811,-0.7192450165748596,9.710784912109375]",0.0326531,320.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",247,1,1
2026-08-11T14:40:06.752208+00:00,1246602.218488,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22232,1111651,1,0,1,1,0,1,0,4102339531,5,53770,1246602115,2783,0,-1.1750963,0.0012516,"[0.8318031430244446,-0.028753995895385742,0.0229559987783432,-0.5538499355316162]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[-0.04078799858689308,-0.7137719988822937,9.698600769042969]",0.0326531,320.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",247,1,1
2026-08-11T14:40:06.803309+00:00,1246602.270583,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22233,1111701,1,0,1,1,0,1,0,4102339531,6,2351,1246602167,2784,0,-1.1750667,0.0012406,"[0.8318120837211609,-0.02873198501765728,0.022956985980272293,-0.5538376569747925]","[-0.002005784772336483,0.0014986619353294373,0.0012405626475811005]","[-0.03131899982690811,-0.7208849787712097,9.708409309387207]",0.0371429,364.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",247,1,1
2026-08-11T14:40:06.854337+00:00,1246602.321508,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,22234,1111751,1,0,1,1,0,1,0,4102339531,7,9284,1246602219,2785,0,-1.1750759,0.0000250,"[0.8318100571632385,-0.028716977685689926,0.02295198291540146,-0.5538416504859924]","[-0.0026167896576225758,0.0008633271208964288,2.5028020900208503e-05]","[-0.04326200112700462,-0.720757007598877,9.713067054748535]",0.0371429,364.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",247,1,1
