host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T11:02:25.455187+00:00,5320.738856415,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:02:25.507014+00:00,5320.790661926,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:02:25.557352+00:00,5320.840989735,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:02:25.607483+00:00,5320.891140628,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000205,4,1,"[15,16]","[0.64826,1.087334,0.148836]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.839035,""pixel_xy"":[1055.869183,227.43154],""world_xy_yaw"":[0.64826,1.087334,0.148836],""pnp_valid"":true,""pnp_camera_xyz"":[0.87906,-0.285936,1.27798],""pnp_camera_quat_xyzw"":[-0.021331,0.006057,0.072883,0.997094],""pnp_camera_rpy_deg"":[-2.387581,0.870293,8.343059],""pnp_reprojection_error_px"":0.046784},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.524673,""pixel_xy"":[1049.394795,286.238245],""world_xy_yaw"":[0.637383,1.015589,0.147091],""pnp_valid"":true,""pnp_camera_xyz"":[0.856867,-0.146215,1.26916],""pnp_camera_quat_xyzw"":[-0.028103,0.005399,0.073369,0.996894],""pnp_camera_rpy_deg"":[-3.166974,0.853072,8.394852],""pnp_reprojection_error_px"":0.024206}]",1,0.046784,166.839035,90.196002,,0,,0,,
2026-08-12T11:02:25.657339+00:00,5320.940983980,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000881,7,1,"[15,16]","[0.647381,1.08741,0.14485]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":169.87677,""pixel_xy"":[1055.346032,227.368712],""world_xy_yaw"":[0.647381,1.08741,0.14485],""pnp_valid"":true,""pnp_camera_xyz"":[0.877794,-0.286083,1.277986],""pnp_camera_quat_xyzw"":[-0.021057,0.007087,0.07141,0.9972],""pnp_camera_rpy_deg"":[-2.349232,0.98218,8.171865],""pnp_reprojection_error_px"":0.045663},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.357224,""pixel_xy"":[1048.985328,286.207476],""world_xy_yaw"":[0.636695,1.015627,0.145195],""pnp_valid"":true,""pnp_camera_xyz"":[0.855968,-0.146278,1.269196],""pnp_camera_quat_xyzw"":[-0.028292,0.005775,0.072031,0.996984],""pnp_camera_rpy_deg"":[-3.186645,0.893322,8.239928],""pnp_reprojection_error_px"":0.017565}]",1,0.045663,169.87677,90.352068,,0,,0,,
2026-08-12T11:02:25.707285+00:00,5320.990940438,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002272,8,1,"[15,16]","[0.647043,1.087422,0.144448]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":169.277466,""pixel_xy"":[1055.144389,227.358903],""world_xy_yaw"":[0.647043,1.087422,0.144448],""pnp_valid"":true,""pnp_camera_xyz"":[0.877145,-0.286057,1.277705],""pnp_camera_quat_xyzw"":[-0.020929,0.00689,0.070896,0.99724],""pnp_camera_rpy_deg"":[-2.336709,0.957462,8.113374],""pnp_reprojection_error_px"":0.036187},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":166.852509,""pixel_xy"":[1048.846377,286.181368],""world_xy_yaw"":[0.636462,1.015659,0.144603],""pnp_valid"":true,""pnp_camera_xyz"":[0.855622,-0.146305,1.269182],""pnp_camera_quat_xyzw"":[-0.028283,0.006621,0.071959,0.996985],""pnp_camera_rpy_deg"":[-3.17869,0.989664,8.22909],""pnp_reprojection_error_px"":0.031551}]",1,0.036187,169.277466,90.788383,,0,,0,,
2026-08-12T11:02:25.757332+00:00,5321.040979175,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.002264,9,1,"[15,16]","[0.646718,1.087428,0.143411]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.862793,""pixel_xy"":[1054.95126,227.353877],""world_xy_yaw"":[0.646718,1.087428,0.143411],""pnp_valid"":true,""pnp_camera_xyz"":[0.87616,-0.285924,1.276937],""pnp_camera_quat_xyzw"":[-0.021944,0.006895,0.070407,0.997253],""pnp_camera_rpy_deg"":[-2.453121,0.965032,8.05618],""pnp_reprojection_error_px"":0.023162},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.995361,""pixel_xy"":[1048.686078,286.182483],""world_xy_yaw"":[0.636193,1.015657,0.143706],""pnp_valid"":true,""pnp_camera_xyz"":[0.855795,-0.146406,1.269971],""pnp_camera_quat_xyzw"":[-0.027618,0.007433,0.071469,0.997033],""pnp_camera_rpy_deg"":[-3.096626,1.075484,8.170991],""pnp_reprojection_error_px"":0.025332}]",1,0.023162,167.862793,89.077138,,0,,0,,
2026-08-12T11:02:25.807316+00:00,5321.090973024,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001556,11,1,"[15,16]","[0.646023,1.08751,0.141248]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":168.116211,""pixel_xy"":[1054.537475,227.287147],""world_xy_yaw"":[0.646023,1.08751,0.141248],""pnp_valid"":true,""pnp_camera_xyz"":[0.875966,-0.286256,1.278085],""pnp_camera_quat_xyzw"":[-0.020172,0.008273,0.069527,0.997342],""pnp_camera_rpy_deg"":[-2.240489,1.106261,7.953929],""pnp_reprojection_error_px"":0.055187},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.572418,""pixel_xy"":[1048.383539,286.180307],""world_xy_yaw"":[0.635684,1.01566,0.141875],""pnp_valid"":true,""pnp_camera_xyz"":[0.854388,-0.146345,1.268966],""pnp_camera_quat_xyzw"":[-0.028644,0.007232,0.070744,0.997057],""pnp_camera_rpy_deg"":[-3.216369,1.058523,8.087266],""pnp_reprojection_error_px"":0.003824}]",1,0.055187,168.116211,85.135426,,0,,0,,
2026-08-12T11:02:25.857384+00:00,5321.141040053,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001583,13,1,"[15,16]","[0.645348,1.087522,0.139709]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.2547,""pixel_xy"":[1054.135543,227.276705],""world_xy_yaw"":[0.645348,1.087522,0.139709],""pnp_valid"":true,""pnp_camera_xyz"":[0.87499,-0.28632,1.27807],""pnp_camera_quat_xyzw"":[-0.02122,0.008715,0.069027,0.997351],""pnp_camera_rpy_deg"":[-2.357411,1.163936,7.894358],""pnp_reprojection_error_px"":0.034049},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.561005,""pixel_xy"":[1048.089303,286.145212],""world_xy_yaw"":[0.63519,1.015703,0.139834],""pnp_valid"":true,""pnp_camera_xyz"":[0.853331,-0.146352,1.268441],""pnp_camera_quat_xyzw"":[-0.02929,0.006939,0.069757,0.99711],""pnp_camera_rpy_deg"":[-3.293559,1.027004,7.974146],""pnp_reprojection_error_px"":0.010149}]",1,0.034049,167.2547,84.672946,,0,,0,,
2026-08-12T11:02:25.907117+00:00,5321.190782550,sway_decay_negative_0075_run01,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001853,14,1,"[15,16]","[0.645026,1.087561,0.139435]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":167.113327,""pixel_xy"":[1053.943813,227.245164],""world_xy_yaw"":[0.645026,1.087561,0.139435],""pnp_valid"":true,""pnp_camera_xyz"":[0.874094,-0.286223,1.277402],""pnp_camera_quat_xyzw"":[-0.022047,0.008283,0.068567,0.997369],""pnp_camera_rpy_deg"":[-2.455901,1.12001,7.8415],""pnp_reprojection_error_px"":0.043131},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.871292,""pixel_xy"":[1047.938432,286.109577],""world_xy_yaw"":[0.634937,1.015746,0.139169],""pnp_valid"":true,""pnp_camera_xyz"":[0.853544,-0.146491,1.269277],""pnp_camera_quat_xyzw"":[-0.028744,0.007908,0.069494,0.997137],""pnp_camera_rpy_deg"":[-3.223791,1.13263,7.941521],""pnp_reprojection_error_px"":0.025263}]",1,0.043131,167.113327,85.978138,,0,,0,,
