host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-12T11:02:30.206885+00:00,5325.490152,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T11:02:30.258170+00:00,5325.540732,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,13420,671050,1,0,1,1,0,1,0,1769306043,275,9341,5224387,1254,0,3.1117773,0.0171715,"[0.014707010239362717,-0.005856004077941179,-0.03565702587366104,0.9992387294769287]","[-0.003261165227741003,-0.0005803569220006466,0.01717149093747139]","[-0.10938400030136108,-0.6969149708747864,9.783123970031738]",0.6651021,6518.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T11:02:30.310071+00:00,5325.592241,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13421,671100,1,0,1,1,0,1,0,3918775672,0,56251,5325490,1255,0,3.1117206,0.0172084,"[0.014737007208168507,-0.005801002960652113,-0.035716019570827484,0.9992364645004272]","[-0.003273609559983015,-0.002659829566255212,0.01720835454761982]","[-0.10542000085115433,-0.6952440142631531,9.788740158081055]",0.6651021,6518.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",251,1,1
2026-08-12T11:02:30.361418+00:00,5325.644241,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13422,671150,1,0,1,1,0,1,0,3918775672,1,58323,5325541,1256,0,3.1117132,0.0172452,"[0.014744012616574764,-0.0057110050693154335,-0.03571603447198868,0.9992368817329407]","[-0.0008447393774986267,-0.003923255950212479,0.017245249822735786]","[-0.09338799864053726,-0.6932969689369202,9.762463569641113]",0.6651021,6518.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",251,1,1
2026-08-12T11:02:30.412772+00:00,5325.695436,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13423,671200,1,0,1,1,0,1,0,3918775672,2,30601,5325593,1257,0,3.1116889,0.0184866,"[0.014760012738406658,-0.005605005193501711,-0.035699035972356796,0.9992378950119019]","[0.002198870526626706,-0.0039274971932172775,0.018486617133021355]","[-0.08147499710321426,-0.7006779909133911,9.755512237548828]",0.6744898,6610.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",251,1,1
2026-08-12T11:02:30.464340+00:00,5325.746838,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13424,671250,1,0,1,1,0,1,0,3918775672,3,9560,5325644,1258,0,3.1116788,0.0185124,"[0.01477000955492258,-0.005476003512740135,-0.03563802316784859,0.9992406368255615]","[0.002800485584884882,-0.005179108120501041,0.018512427806854248]","[-0.07675600051879883,-0.7103220224380493,9.755708694458008]",0.6744898,6610.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T11:02:30.516568+00:00,5325.798432,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13425,671300,1,0,1,1,0,1,0,3918775672,4,54172,5325696,1259,0,3.1116974,0.0173116,"[0.01476600393652916,-0.005342001095414162,-0.03553100675344467,0.9992452263832092]","[0.0027948308270424604,-0.0064422027207911015,0.017311641946434975]","[-0.07192199677228928,-0.7130789756774902,9.734214782714844]",0.6803061,6667.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T11:02:30.568146+00:00,5325.850818,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13426,671350,1,0,1,1,0,1,0,3918775672,5,33325,5325747,1260,0,3.1116996,0.0181663,"[0.014771000482141972,-0.00519400043413043,-0.0353580042719841,0.9992520809173584]","[0.005628564860671759,-0.007697966415435076,0.018166260793805122]","[-0.06475900113582611,-0.72052401304245,9.721614837646484]",0.6803061,6667.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T11:02:30.619577+00:00,5325.902235,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13427,671400,1,0,1,1,0,1,0,3918775672,6,58787,5325799,1261,0,3.1117234,0.0161072,"[0.014765006490051746,-0.0050510019063949585,-0.03517701104283333,0.9992592930793762]","[0.00401108106598258,-0.007089335471391678,0.01610717363655567]","[-0.05994100123643875,-0.7109119892120361,9.722326278686523]",0.6793877,6658.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T11:02:30.670759+00:00,5325.953649,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,13428,671450,1,0,1,1,0,1,0,3918775672,7,23376,5325851,1262,0,3.1116927,0.0161109,"[0.014786015264689922,-0.004918004851788282,-0.03496803715825081,0.9992669820785522]","[0.006451155990362167,-0.006481228396296501,0.016110889613628387]","[-0.06234300136566162,-0.7157480120658875,9.719971656799316]",0.6793877,6658.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
