host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-12T11:00:26.582927+00:00,5201.866597081,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:00:26.634080+00:00,5201.917736050,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:00:26.684517+00:00,5201.968184689,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-12T11:00:26.735203+00:00,5202.018859930,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000203,4,1,"[15,16]","[0.085341,1.000129,0.172407]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.268082,""pixel_xy"":[720.798415,298.910601],""world_xy_yaw"":[0.085341,1.000129,0.172407],""pnp_valid"":true,""pnp_camera_xyz"":[0.089875,-0.115919,1.26259],""pnp_camera_quat_xyzw"":[-0.027838,0.00144,0.087079,0.995811],""pnp_camera_rpy_deg"":[-3.163917,0.442131,9.982866],""pnp_reprojection_error_px"":0.030029},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.317383,""pixel_xy"":[710.381833,358.456091],""world_xy_yaw"":[0.067841,0.927484,0.172793],""pnp_valid"":true,""pnp_camera_xyz"":[0.065035,0.022935,1.252722],""pnp_camera_quat_xyzw"":[0.015672,0.011173,0.086373,0.996077],""pnp_camera_rpy_deg"":[1.900126,1.120305,9.930421],""pnp_reprojection_error_px"":0.08328}]",1,0.030029,163.268082,92.010567,,0,,0,,
2026-08-12T11:00:26.785092+00:00,5202.068748819,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001564,6,1,"[15,16]","[0.067715,0.927647,0.174723]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.801102,""pixel_xy"":[720.742758,298.808298],""world_xy_yaw"":[0.085248,1.000254,0.172732],""pnp_valid"":true,""pnp_camera_xyz"":[0.089761,-0.116191,1.262831],""pnp_camera_quat_xyzw"":[-0.02673,0.00242,0.087354,0.995816],""pnp_camera_rpy_deg"":[-3.027574,0.543776,10.012058],""pnp_reprojection_error_px"":0.027518},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.813644,""pixel_xy"":[710.306749,358.321926],""world_xy_yaw"":[0.067715,0.927647,0.174723],""pnp_valid"":true,""pnp_camera_xyz"":[0.064896,0.022491,1.25294],""pnp_camera_quat_xyzw"":[-0.026818,0.011968,0.087651,0.995718],""pnp_camera_rpy_deg"":[-2.942281,1.635148,10.019307],""pnp_reprojection_error_px"":0.039584}]",1,0.039584,163.813644,94.651471,,0,,0,,
2026-08-12T11:00:26.833245+00:00,5202.116917172,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000853,7,1,"[15,16]","[0.085203,1.000334,0.171448]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.975723,""pixel_xy"":[720.715954,298.742986],""world_xy_yaw"":[0.085203,1.000334,0.171448],""pnp_valid"":true,""pnp_camera_xyz"":[0.089648,-0.116304,1.262482],""pnp_camera_quat_xyzw"":[-0.028086,0.006311,0.087346,0.995762],""pnp_camera_rpy_deg"":[-3.143623,1.001252,9.998563],""pnp_reprojection_error_px"":0.038561},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.969208,""pixel_xy"":[710.255347,358.284032],""world_xy_yaw"":[0.067629,0.927693,0.175071],""pnp_valid"":true,""pnp_camera_xyz"":[0.064798,0.022353,1.252887],""pnp_camera_quat_xyzw"":[-0.02782,0.010437,0.087716,0.995702],""pnp_camera_rpy_deg"":[-3.071765,1.470625,10.029455],""pnp_reprojection_error_px"":0.031613}]",1,0.038561,163.975723,92.519476,,0,,0,,
2026-08-12T11:00:26.882949+00:00,5202.166621733,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000425,9,1,"[15,16]","[0.067507,0.927841,0.175213]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.15242,""pixel_xy"":[720.65187,298.633134],""world_xy_yaw"":[0.085095,1.000468,0.172081],""pnp_valid"":true,""pnp_camera_xyz"":[0.089523,-0.116599,1.262774],""pnp_camera_quat_xyzw"":[-0.02821,0.005827,0.087599,0.995739],""pnp_camera_rpy_deg"":[-3.162429,0.948051,10.029043],""pnp_reprojection_error_px"":0.034597},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.097382,""pixel_xy"":[710.182682,358.163117],""world_xy_yaw"":[0.067507,0.927841,0.175213],""pnp_valid"":true,""pnp_camera_xyz"":[0.064603,0.022064,1.252345],""pnp_camera_quat_xyzw"":[-0.029903,0.007521,0.087849,0.995657],""pnp_camera_rpy_deg"":[-3.338602,1.159156,10.050732],""pnp_reprojection_error_px"":0.03117}]",1,0.03117,164.097382,93.572016,,0,,0,,
2026-08-12T11:00:26.934273+00:00,5202.217939903,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001763,10,1,"[15,16]","[0.067473,0.927927,0.175592]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.222946,""pixel_xy"":[720.627261,298.566956],""world_xy_yaw"":[0.085054,1.000548,0.173],""pnp_valid"":true,""pnp_camera_xyz"":[0.089496,-0.116736,1.263061],""pnp_camera_quat_xyzw"":[-0.025792,0.00439,0.087712,0.995802],""pnp_camera_rpy_deg"":[-2.900554,0.760251,10.04822],""pnp_reprojection_error_px"":0.04277},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.41629,""pixel_xy"":[710.16278,358.092997],""world_xy_yaw"":[0.067473,0.927927,0.175592],""pnp_valid"":true,""pnp_camera_xyz"":[0.06455,0.021934,1.252282],""pnp_camera_quat_xyzw"":[-0.029864,0.004923,0.08806,0.995655],""pnp_camera_rpy_deg"":[-3.359871,0.863035,10.08334],""pnp_reprojection_error_px"":0.029847}]",1,0.029847,163.41629,94.795424,,0,,0,,
2026-08-12T11:00:26.983415+00:00,5202.267088216,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.000430,12,1,"[15,16]","[0.08498,1.000687,0.174334]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.851456,""pixel_xy"":[720.58335,298.453232],""world_xy_yaw"":[0.08498,1.000687,0.174334],""pnp_valid"":true,""pnp_camera_xyz"":[0.089397,-0.116987,1.262558],""pnp_camera_quat_xyzw"":[-0.027078,0.00033,0.087668,0.995782],""pnp_camera_rpy_deg"":[-3.088098,0.309728,10.054265],""pnp_reprojection_error_px"":0.021538},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.804825,""pixel_xy"":[710.09583,357.97892],""world_xy_yaw"":[0.067361,0.928066,0.175056],""pnp_valid"":true,""pnp_camera_xyz"":[0.064404,0.021674,1.253568],""pnp_camera_quat_xyzw"":[-0.022747,0.028733,0.087765,0.995467],""pnp_camera_rpy_deg"":[-2.310832,3.508562,10.006117],""pnp_reprojection_error_px"":0.054682}]",1,0.021538,161.851456,93.198895,,0,,0,,
2026-08-12T11:00:27.033966+00:00,5202.317623398,sway_decay_positive_0075_run05,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",0.001494,13,1,"[15,16]","[0.06733,0.92815,0.175443]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.562668,""pixel_xy"":[720.580646,298.397307],""world_xy_yaw"":[0.084975,1.000755,0.174449],""pnp_valid"":true,""pnp_camera_xyz"":[0.089423,-0.117156,1.263048],""pnp_camera_quat_xyzw"":[-0.025859,0.002394,0.087909,0.99579],""pnp_camera_rpy_deg"":[-2.928024,0.533682,10.076383],""pnp_reprojection_error_px"":0.024632},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":165.102631,""pixel_xy"":[710.077394,357.909541],""world_xy_yaw"":[0.06733,0.92815,0.175443],""pnp_valid"":true,""pnp_camera_xyz"":[0.064381,0.021547,1.253425],""pnp_camera_quat_xyzw"":[-0.021017,0.020509,0.087814,0.995704],""pnp_camera_rpy_deg"":[-2.194382,2.552354,10.031242],""pnp_reprojection_error_px"":0.04363}]",1,0.04363,165.102631,91.109632,,0,,0,,
