host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-12T10:59:15.818596+00:00,5131.101886,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T10:59:15.869768+00:00,5131.152484,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,9532,476650,1,0,1,1,0,1,0,1741899709,275,57402,5040067,702,0,2.2717113,-0.0952368,"[0.42095547914505005,-0.02110002189874649,-0.014803015626966953,0.9067150354385376]","[-0.05683743581175804,-0.025567051023244858,-0.09523680806159973]","[-0.23519200086593628,-0.42516499757766724,9.788073539733887]",4.2343879,41497.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:15.921774+00:00,5131.203806,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9533,476700,1,0,1,1,0,1,0,1785533257,0,833,5131101,703,0,2.2663481,-0.1361972,"[0.4233703315258026,-0.021201016381382942,-0.016366012394428253,0.9055607318878174]","[-0.03338511288166046,-0.053068678826093674,-0.13619723916053772]","[-1.0708919763565063,-0.6700459718704224,9.666125297546387]",4.0582652,39771.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:15.973458+00:00,5131.255980,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9534,476750,1,0,1,1,0,1,0,1785533257,1,21888,5131153,704,0,2.2569761,-0.2037971,"[0.42765626311302185,-0.019677013158798218,-0.01698201335966587,0.9035677313804626]","[0.019110238179564476,-0.08608783036470413,-0.20379705727100372]","[-0.3761320114135742,-0.4850919842720032,9.758548736572266]",4.0582652,39771.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.024922+00:00,5131.307546,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9535,476800,1,0,1,1,0,1,0,1785533257,2,12814,5131205,705,0,2.2456572,-0.2407895,"[0.4328332245349884,-0.017395008355379105,-0.017387010157108307,0.9011384844779968]","[0.03859272226691246,-0.09728938341140747,-0.24078945815563202]","[-0.35949599742889404,-0.548882007598877,9.682916641235352]",3.8995917,38216.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.076923+00:00,5131.358980,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9536,476850,1,0,1,1,0,1,0,1785533257,3,13971,5131256,706,0,2.2320981,-0.2854836,"[0.4390212595462799,-0.014329008758068085,-0.017213011160492897,0.8981975317001343]","[0.07509283721446991,-0.11681126058101654,-0.28548362851142883]","[-0.20423199236392975,-0.466933012008667,9.741068840026855]",3.8995917,38216.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.129013+00:00,5131.411064,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9537,476900,1,0,1,1,0,1,0,1785533257,4,43291,5131308,707,0,2.2168589,-0.3152714,"[0.4459422528743744,-0.0107070067897439,-0.016717009246349335,0.8948415517807007]","[0.0854543074965477,-0.12349440157413483,-0.31527140736579895]","[-0.11097700148820877,-0.43146398663520813,9.729623794555664]",3.7667346,36914.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.181239+00:00,5131.463254,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9538,476950,1,0,1,1,0,1,0,1785533257,5,4541,5131360,708,0,2.2004530,-0.3299353,"[0.45334309339523315,-0.006878001149743795,-0.016263004392385483,0.8911612033843994]","[0.08181031048297882,-0.12552739679813385,-0.3299352526664734]","[0.0013909999979659915,-0.3617840111255646,9.758676528930664]",3.7667346,36914.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.234406+00:00,5131.515448,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9540,477050,1,0,1,1,0,1,0,1785533257,7,56998,5131464,710,0,2.1661887,-0.3412478,"[0.4686354696750641,0.0003370001504663378,-0.016477016732096672,0.8832379579544067]","[0.03676539659500122,-0.12350361794233322,-0.3412478268146515]","[0.2119169980287552,-0.2646059989929199,9.728483200073242]",3.6663265,35930.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.285590+00:00,5131.568600,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9541,477100,1,0,1,1,0,1,0,1785533257,8,37079,5131517,711,0,2.1491048,-0.3293435,"[0.47618651390075684,0.003471003845334053,-0.017316019162535667,0.8791669607162476]","[0.012443569488823414,-0.11321058869361877,-0.3293434679508209]","[0.31463199853897095,-0.23621399700641632,9.729246139526367]",3.5876532,35159.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.336808+00:00,5131.619558,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9542,477150,1,0,1,1,0,1,0,1785533257,9,23259,5131569,712,0,2.1327038,-0.3162235,"[0.4833953380584717,0.006106003187596798,-0.0185330118983984,0.8751847147941589]","[-0.0094362273812294,-0.10167021304368973,-0.31622350215911865]","[0.35762399435043335,-0.2268269956111908,9.727203369140625]",3.5876532,35159.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.387969+00:00,5131.670838,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9543,477200,1,0,1,1,0,1,0,1785533257,10,43016,5131620,713,0,2.1168509,-0.3055862,"[0.49032917618751526,0.008183002471923828,-0.020048007369041443,0.8712682723999023]","[-0.030079301446676254,-0.08767317980527878,-0.30558621883392334]","[0.3909609913825989,-0.23412300646305084,9.732492446899414]",3.5466325,34757.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.439098+00:00,5131.721958,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9544,477250,1,0,1,1,0,1,0,1785533257,11,49388,5131671,714,0,2.1015286,-0.2961682,"[0.4970022737979889,0.009693005122244358,-0.021830011159181595,0.867420494556427]","[-0.051942482590675354,-0.07430754601955414,-0.2961682081222534]","[0.4170910120010376,-0.251008003950119,9.737837791442871]",3.5466325,34757.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.491198+00:00,5131.773171,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9545,477300,1,0,1,1,0,1,0,1785533257,12,55519,5131722,715,0,2.0865736,-0.2872216,"[0.5034910440444946,0.010583987459540367,-0.02386397123336792,0.8636059761047363]","[-0.07093527913093567,-0.056390561163425446,-0.28722161054611206]","[0.44472500681877136,-0.28310999274253845,9.745024681091309]",3.5466325,34757.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.543583+00:00,5131.825476,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9546,477350,1,0,1,1,0,1,0,1785533257,13,41976,5131774,716,0,2.0720763,-0.2786065,"[0.5097593665122986,0.010889988392591476,-0.02612997405230999,0.8598511815071106]","[-0.08954629302024841,-0.04264029860496521,-0.2786065340042114]","[0.46918198466300964,-0.3135699927806854,9.75374984741211]",3.5198979,34495.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.595207+00:00,5131.877874,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9547,477400,1,0,1,1,0,1,0,1785533257,14,45167,5131826,717,0,2.0579748,-0.2692142,"[0.515834391117096,0.01061398908495903,-0.02850496955215931,0.8561481237411499]","[-0.10285614430904388,-0.024962833151221275,-0.2692141830921173]","[0.47369301319122314,-0.35429999232292175,9.76639461517334]",3.5198979,34495.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.647268+00:00,5131.929312,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9548,477450,1,0,1,1,0,1,0,1785533257,15,30691,5131878,718,0,2.0443294,-0.2568272,"[0.5216904282569885,0.009766992181539536,-0.03092297539114952,0.8525183200836182]","[-0.11737000197172165,-0.004119745455682278,-0.2568272352218628]","[0.4570609927177429,-0.32251301407814026,9.794522285461426]",3.5118368,34416.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-12T10:59:16.698531+00:00,5131.981463,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,9549,477500,1,0,1,1,0,1,0,1785533257,16,32609,5131930,719,0,2.0313473,-0.2449928,"[0.5272385478019714,0.00830499641597271,-0.033384986221790314,0.8490206599235535]","[-0.12946157157421112,0.014204519800841808,-0.24499276280403137]","[0.5065450072288513,-0.453000009059906,9.773022651672363]",3.5118368,34416.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
