host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-13T08:46:23.743747+00:00,83559.027415094,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-13T08:46:23.794087+00:00,83559.077758372,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000763,1,1786610783.755203962,pool_world,"[0.587010591361642,-0.0833526123947575,1.0748573363456286]","[0.7465856024728348,0.6644504395431013,-0.0001023997150283507,-0.03339971684838409]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000630,1,1,"[15,16]","[0.420638,0.955352,0.116074]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.733475,""pixel_xy"":[920.379897,335.613341],""world_xy_yaw"":[0.420638,0.955352,0.116074],""pnp_valid"":true,""pnp_camera_xyz"":[0.553832,-0.030507,1.265292],""pnp_camera_quat_xyzw"":[-0.022294,-0.015297,0.056917,0.998013],""pnp_camera_rpy_deg"":[-2.65141,-1.604271,6.565249],""pnp_reprojection_error_px"":0.019682},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":114.528236,""pixel_xy"":[914.769323,396.173063],""world_xy_yaw"":[0.411212,0.881469,0.112927],""pnp_valid"":true,""pnp_camera_xyz"":[0.535762,0.10955,1.25396],""pnp_camera_quat_xyzw"":[-0.024846,-0.014101,0.057193,0.997954],""pnp_camera_rpy_deg"":[-2.935915,-1.449925,6.597237],""pnp_reprojection_error_px"":0.051872}]",1,0.019682,143.733475,85.563555,0.000521,1,air,1,0.152836,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:23.845833+00:00,83559.129491298,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000587,3,1786610783.829700708,pool_world,"[0.5871231188206609,-0.08317371834290346,1.0748573363456286]","[0.7464020523881644,0.6646311646063336,-0.0004195798439367516,-0.03390007636450407]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000384,3,1,"[15,16]","[0.420551,0.955481,0.115791]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.764359,""pixel_xy"":[920.328051,335.507494],""world_xy_yaw"":[0.420551,0.955481,0.115791],""pnp_valid"":true,""pnp_camera_xyz"":[0.553682,-0.0307,1.265248],""pnp_camera_quat_xyzw"":[-0.022608,-0.015675,0.056809,0.998006],""pnp_camera_rpy_deg"":[-2.689606,-1.645659,6.554406],""pnp_reprojection_error_px"":0.004614},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.513435,""pixel_xy"":[914.750607,396.095505],""world_xy_yaw"":[0.411181,0.881563,0.111993],""pnp_valid"":true,""pnp_camera_xyz"":[0.535808,0.109364,1.254186],""pnp_camera_quat_xyzw"":[-0.023768,-0.01501,0.056905,0.997984],""pnp_camera_rpy_deg"":[-2.81813,-1.561772,6.565385],""pnp_reprojection_error_px"":0.047196}]",1,0.004614,141.764359,86.840329,0.000148,3,air,1,0.146914,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:23.894630+00:00,83559.178295144,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001138,4,1786610783.857744455,pool_world,"[0.5870352563591988,-0.08308859511933363,1.0748573363456286]","[0.7463748614608957,0.6646658474576733,-0.0002500639572566504,-0.033820332207400584]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000998,4,1,"[15,16]","[0.420528,0.955518,0.114954]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":142.003769,""pixel_xy"":[920.314083,335.476748],""world_xy_yaw"":[0.420528,0.955518,0.114954],""pnp_valid"":true,""pnp_camera_xyz"":[0.553701,-0.030796,1.265386],""pnp_camera_quat_xyzw"":[-0.022202,-0.016036,0.056499,0.998027],""pnp_camera_rpy_deg"":[-2.645054,-1.69043,6.519175],""pnp_reprojection_error_px"":0.005234},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.37574,""pixel_xy"":[914.725356,396.045972],""world_xy_yaw"":[0.411139,0.881624,0.111843],""pnp_valid"":true,""pnp_camera_xyz"":[0.535649,0.109245,1.253988],""pnp_camera_quat_xyzw"":[-0.024737,-0.014468,0.056955,0.997965],""pnp_camera_rpy_deg"":[-2.925532,-1.493298,6.570886],""pnp_reprojection_error_px"":0.056029}]",1,0.005234,142.003769,85.821758,0.000853,4,air,1,0.153943,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:23.944109+00:00,83559.227780380,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000241,6,1786610783.927564621,pool_world,"[0.5869008306399389,-0.08284685135455216,1.0748573363456286]","[0.7463905836816158,0.6646706119350243,-0.00015402055677360958,-0.0333773950302503]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000168,6,1,"[15,16]","[0.420393,0.955608,0.116376]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.8564,""pixel_xy"":[920.233819,335.403311],""world_xy_yaw"":[0.420393,0.955608,0.116376],""pnp_valid"":true,""pnp_camera_xyz"":[0.553602,-0.030976,1.265508],""pnp_camera_quat_xyzw"":[-0.022713,-0.01531,0.056892,0.998005],""pnp_camera_rpy_deg"":[-2.699393,-1.603035,6.563036],""pnp_reprojection_error_px"":0.014714},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":115.773987,""pixel_xy"":[914.670044,395.969186],""world_xy_yaw"":[0.411046,0.881718,0.111902],""pnp_valid"":true,""pnp_camera_xyz"":[0.535743,0.109103,1.254438],""pnp_camera_quat_xyzw"":[-0.024322,-0.014054,0.056662,0.997998],""pnp_camera_rpy_deg"":[-2.87485,-1.449454,6.535397],""pnp_reprojection_error_px"":0.044779}]",1,0.014714,146.8564,85.036232,0.000056,6,air,1,0.150632,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:23.994173+00:00,83559.277842862,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000240,8,1786610783.989999771,pool_world,"[0.5867113709600269,-0.08283600985059039,1.0748573363456286]","[0.7461816655844367,0.6648803553639266,0.0004122193975894604,-0.03386539637953334]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000158,8,1,"[15,16]","[0.420316,0.955704,0.115654]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.487839,""pixel_xy"":[920.187955,335.324204],""world_xy_yaw"":[0.420316,0.955704,0.115654],""pnp_valid"":true,""pnp_camera_xyz"":[0.553242,-0.031146,1.264903],""pnp_camera_quat_xyzw"":[-0.022763,-0.016301,0.056351,0.998018],""pnp_camera_rpy_deg"":[-2.710812,-1.717486,6.503927],""pnp_reprojection_error_px"":0.019209},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.97863,""pixel_xy"":[914.607771,395.88811],""world_xy_yaw"":[0.410941,0.881816,0.111657],""pnp_valid"":true,""pnp_camera_xyz"":[0.535511,0.108923,1.254202],""pnp_camera_quat_xyzw"":[-0.022736,-0.013575,0.056399,0.998057],""pnp_camera_rpy_deg"":[-2.689854,-1.405787,6.501594],""pnp_reprojection_error_px"":0.050129}]",1,0.019209,145.487839,84.79087,0.000061,8,air,1,0.157031,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:24.045086+00:00,83559.328747736,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001507,9,1786610784.027848005,pool_world,"[0.5866950252815452,-0.0826778252191732,1.0748573363456286]","[0.7461854618494395,0.6648837734813794,0.00013743354834434344,-0.03371654486629056]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.001325,9,1,"[15,16]","[0.420258,0.955751,0.115475]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":141.88205,""pixel_xy"":[920.153632,335.285987],""world_xy_yaw"":[0.420258,0.955751,0.115475],""pnp_valid"":true,""pnp_camera_xyz"":[0.553413,-0.03126,1.265488],""pnp_camera_quat_xyzw"":[-0.022105,-0.015606,0.056382,0.998043],""pnp_camera_rpy_deg"":[-2.63095,-1.642212,6.504388],""pnp_reprojection_error_px"":0.019798},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.937294,""pixel_xy"":[914.608683,395.852948],""world_xy_yaw"":[0.410943,0.881859,0.111329],""pnp_valid"":true,""pnp_camera_xyz"":[0.535689,0.108872,1.25468],""pnp_camera_quat_xyzw"":[-0.023875,-0.013564,0.056529,0.998023],""pnp_camera_rpy_deg"":[-2.820308,-1.39675,6.518023],""pnp_reprojection_error_px"":0.055104}]",1,0.019798,141.88205,87.875263,0.001129,9,air,1,0.157257,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:24.094558+00:00,83559.378224794,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001117,10,1786610784.058024645,pool_world,"[0.586605800649487,-0.0826265068467123,1.0748573363456286]","[0.746083290309541,0.6649933052480728,0.00016014383694495885,-0.033817188678012214]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000981,10,1,"[15,16]","[0.420179,0.955802,0.115714]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":146.658997,""pixel_xy"":[920.106558,335.244656],""world_xy_yaw"":[0.420179,0.955802,0.115714],""pnp_valid"":true,""pnp_camera_xyz"":[0.553337,-0.031347,1.265493],""pnp_camera_quat_xyzw"":[-0.022341,-0.0153,0.056178,0.998054],""pnp_camera_rpy_deg"":[-2.655603,-1.606262,6.480505],""pnp_reprojection_error_px"":0.02954},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.28566,""pixel_xy"":[914.582969,395.829725],""world_xy_yaw"":[0.410899,0.881888,0.11138],""pnp_valid"":true,""pnp_camera_xyz"":[0.535587,0.108797,1.254558],""pnp_camera_quat_xyzw"":[-0.023785,-0.014082,0.056498,0.99802],""pnp_camera_rpy_deg"":[-2.813396,-1.456689,6.515892],""pnp_reprojection_error_px"":0.049177}]",1,0.02954,146.658997,87.67815,0.000828,10,air,1,0.155778,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:24.144358+00:00,83559.428025720,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000283,12,1786610784.127494812,pool_world,"[0.5864944134992476,-0.08242674499264194,1.0748573363456286]","[0.7462145900589511,0.6648532780472861,-6.75564856930322e-05,-0.033673427046426146]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000192,12,1,"[15,16]","[0.420132,0.955879,0.115812]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":145.56221,""pixel_xy"":[920.078597,335.181394],""world_xy_yaw"":[0.420132,0.955879,0.115812],""pnp_valid"":true,""pnp_camera_xyz"":[0.552956,-0.031474,1.264807],""pnp_camera_quat_xyzw"":[-0.021934,-0.015942,0.056362,0.998042],""pnp_camera_rpy_deg"":[-2.613484,-1.681851,6.502759],""pnp_reprojection_error_px"":0.022488},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":117.718788,""pixel_xy"":[914.535794,395.755969],""world_xy_yaw"":[0.41082,0.881978,0.112139],""pnp_valid"":true,""pnp_camera_xyz"":[0.53548,0.108633,1.254531],""pnp_camera_quat_xyzw"":[-0.024598,-0.013966,0.056712,0.99799],""pnp_camera_rpy_deg"":[-2.905941,-1.437507,6.541261],""pnp_reprojection_error_px"":0.047441}]",1,0.022488,145.56221,87.284347,0.000079,12,air,1,0.150376,air_pinhole_pose_pressure_depth_z
2026-08-13T08:46:24.193962+00:00,83559.477632411,sway_refracted_n0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000193,14,1786610784.190829277,pool_world,"[0.5863755347212711,-0.08237602071262584,1.0748573363456286]","[0.7461388960796266,0.664930468927895,0.0003007246602040093,-0.03382497321632109]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000128,14,1,"[15,16]","[0.420077,0.955958,0.115331]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":143.678085,""pixel_xy"":[920.046109,335.116596],""world_xy_yaw"":[0.420077,0.955958,0.115331],""pnp_valid"":true,""pnp_camera_xyz"":[0.552868,-0.031591,1.264811],""pnp_camera_quat_xyzw"":[-0.021926,-0.016173,0.056241,0.998045],""pnp_camera_rpy_deg"":[-2.61394,-1.708586,6.489569],""pnp_reprojection_error_px"":0.016196},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":116.083908,""pixel_xy"":[914.487802,395.704789],""world_xy_yaw"":[0.410739,0.88204,0.111439],""pnp_valid"":true,""pnp_camera_xyz"":[0.535134,0.108458,1.253988],""pnp_camera_quat_xyzw"":[-0.023394,-0.01389,0.056432,0.998036],""pnp_camera_rpy_deg"":[-2.767286,-1.437471,6.507166],""pnp_reprojection_error_px"":0.045766}]",1,0.016196,143.678085,85.130514,0.000055,14,air,1,0.151768,air_pinhole_pose_pressure_depth_z
