host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T08:46:24.161836+00:00,83559.445091,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T08:46:24.212890+00:00,83559.495740,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,35512,1775650,1,0,1,1,0,1,0,2007822035,666,63297,83485809,2363,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2141653,2098.820,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:46:24.264273+00:00,83559.546946,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35513,1775700,1,0,1,1,0,1,0,2094587228,0,57011,83559445,2364,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142251,2099.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.316380+00:00,83559.598298,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35514,1775750,1,0,1,1,0,1,0,2094587228,1,26245,83559496,2365,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142251,2099.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.369771+00:00,83559.650631,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35516,1775850,1,0,1,1,0,1,0,2094587228,3,48861,83559599,2367,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142251,2099.406,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.421274+00:00,83559.703985,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35517,1775900,1,0,1,1,0,1,0,2094587228,4,36072,83559652,2368,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2143072,2100.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.472361+00:00,83559.755384,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35518,1775950,1,0,1,1,0,1,0,2094587228,5,47280,83559704,2369,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2143072,2100.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.524458+00:00,83559.806365,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35519,1776000,1,0,1,1,0,1,0,2094587228,6,62888,83559755,2370,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2143072,2100.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.576880+00:00,83559.858750,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35520,1776050,1,0,1,1,0,1,0,2094587228,7,36495,83559807,2371,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2143072,2100.211,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.629235+00:00,83559.911150,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35521,1776100,1,0,1,1,0,1,0,2094587228,8,21203,83559860,2372,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142562,2099.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.680490+00:00,83559.963419,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35522,1776150,1,0,1,1,0,1,0,2094587228,9,32696,83559912,2373,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142562,2099.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.732651+00:00,83560.014509,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35523,1776200,1,0,1,1,0,1,0,2094587228,10,21002,83559963,2374,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142562,2099.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.783842+00:00,83560.066742,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35524,1776250,1,0,1,1,0,1,0,2094587228,11,38278,83560015,2375,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2142562,2099.711,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.835897+00:00,83560.117866,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35525,1776300,1,0,1,1,0,1,0,2094587228,12,25410,83560067,2376,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2141765,2098.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.887296+00:00,83560.170054,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35526,1776350,1,0,1,1,0,1,0,2094587228,13,6245,83560119,2377,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2141765,2098.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.939192+00:00,83560.221439,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35527,1776400,1,0,1,1,0,1,0,2094587228,14,81,83560170,2378,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2141765,2098.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:24.990430+00:00,83560.273137,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35528,1776450,1,0,1,1,0,1,0,2094587228,15,57070,83560222,2379,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2141765,2098.930,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:25.041729+00:00,83560.324420,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35529,1776500,1,0,1,1,0,1,0,2094587228,16,14779,83560273,2380,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2140776,2097.961,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:46:25.092613+00:00,83560.375625,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,35530,1776550,1,0,1,1,0,1,0,2094587228,17,4176,83560325,2381,1,-1.9293101,0.0055429,"[0.5694425106048584,-0.017309989780187607,0.03210398554801941,-0.821221649646759]","[0.0016423898050561547,0.0015290481969714165,0.005542903672903776]","[-0.08871100097894669,-0.7273610234260559,9.739029884338379]",0.2140776,2097.961,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
