host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_world_xy_yaw,vision_detections_detail,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-13T08:44:18.274477+00:00,83433.558145161,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],[],[],0,,,,,0,,0,,
2026-08-13T08:44:18.325173+00:00,83433.608839722,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000943,1,1786610658.291110039,pool_world,"[0.586325994028498,0.2114938262435962,1.0748573363456286]","[0.6039873918643438,0.7965859542427656,0.0007273736833007646,-0.025485660665855107]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000779,1,1,"[15,16]","[0.422463,1.035969,-0.269192]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.014633,""pixel_xy"":[903.936759,212.547405],""world_xy_yaw"":[0.393014,1.105492,-0.268792],""pnp_valid"":true,""pnp_camera_xyz"":[0.524817,-0.322697,1.287821],""pnp_camera_quat_xyzw"":[-0.027499,-0.016108,-0.136823,0.990083],""pnp_camera_rpy_deg"":[-2.870756,-2.259237,-15.6795],""pnp_reprojection_error_px"":0.0172},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.550018,""pixel_xy"":[921.465849,269.533529],""world_xy_yaw"":[0.422463,1.035969,-0.269192],""pnp_valid"":true,""pnp_camera_xyz"":[0.562699,-0.186456,1.279591],""pnp_camera_quat_xyzw"":[-0.030837,-0.018237,-0.136141,0.990041],""pnp_camera_rpy_deg"":[-3.218815,-2.550895,-15.587681],""pnp_reprojection_error_px"":0.046168}]",1,0.046168,164.550018,88.782188,0.000643,1,air,1,0.16643,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.375342+00:00,83433.658999975,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000323,3,1786610658.357048988,pool_world,"[0.586311071156423,0.21143610668202817,1.0748573363456286]","[0.6039290123243147,0.7966308572317926,0.0010202369467842826,-0.025455539587476483]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000213,3,1,"[15,16]","[0.393048,1.1055,-0.269683]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.919708,""pixel_xy"":[903.95731,212.541357],""world_xy_yaw"":[0.393048,1.1055,-0.269683],""pnp_valid"":true,""pnp_camera_xyz"":[0.52511,-0.322844,1.288442],""pnp_camera_quat_xyzw"":[-0.026087,-0.015924,-0.137038,0.990094],""pnp_camera_rpy_deg"":[-2.712662,-2.216934,-15.70783],""pnp_reprojection_error_px"":0.007153},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":159.867874,""pixel_xy"":[921.479633,269.533279],""world_xy_yaw"":[0.422486,1.035969,-0.269222],""pnp_valid"":true,""pnp_camera_xyz"":[0.562425,-0.186351,1.278887],""pnp_camera_quat_xyzw"":[-0.031632,-0.018094,-0.136184,0.990013],""pnp_camera_rpy_deg"":[-3.311299,-2.547196,-15.591037],""pnp_reprojection_error_px"":0.045978}]",1,0.007153,160.919708,90.505439,0.000081,3,air,1,0.168121,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.424841+00:00,83433.708513746,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000742,4,1786610658.393024206,pool_world,"[0.5864212890604675,0.21149904907637268,1.0748573363456286]","[0.6039251158849896,0.7966336947713563,0.0010708793468322013,-0.02545710069242077]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000617,4,1,"[15,16]","[0.422501,1.035966,-0.269161]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.529739,""pixel_xy"":[903.964219,212.531543],""world_xy_yaw"":[0.39306,1.105512,-0.269887],""pnp_valid"":true,""pnp_camera_xyz"":[0.525248,-0.322913,1.288724],""pnp_camera_quat_xyzw"":[-0.026127,-0.016049,-0.137134,0.990078],""pnp_camera_rpy_deg"":[-2.715132,-2.231952,-15.718637],""pnp_reprojection_error_px"":0.005939},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":164.39798,""pixel_xy"":[921.488612,269.535854],""world_xy_yaw"":[0.422501,1.035966,-0.269161],""pnp_valid"":true,""pnp_camera_xyz"":[0.562669,-0.186438,1.279414],""pnp_camera_quat_xyzw"":[-0.03151,-0.017668,-0.136111,0.990035],""pnp_camera_rpy_deg"":[-3.304184,-2.496633,-15.584057],""pnp_reprojection_error_px"":0.048205}]",1,0.048205,164.39798,91.963085,0.000483,4,air,1,0.168108,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.474745+00:00,83433.758416659,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000190,6,1786610658.457709789,pool_world,"[0.586474612020059,0.21154869304815654,1.0748573363456286]","[0.603935324208587,0.7966288815610445,0.0009649279573917749,-0.025369630464499665]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000127,6,1,"[15,16]","[0.393068,1.105498,-0.26977]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.03006,""pixel_xy"":[903.969303,212.542461],""world_xy_yaw"":[0.393068,1.105498,-0.26977],""pnp_valid"":true,""pnp_camera_xyz"":[0.525318,-0.32294,1.288842],""pnp_camera_quat_xyzw"":[-0.026116,-0.016044,-0.137264,0.99006],""pnp_camera_rpy_deg"":[-2.713652,-2.231538,-15.733752],""pnp_reprojection_error_px"":0.011276},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.289841,""pixel_xy"":[921.506356,269.514822],""world_xy_yaw"":[0.422531,1.035992,-0.269084],""pnp_valid"":true,""pnp_camera_xyz"":[0.562704,-0.18645,1.279401],""pnp_camera_quat_xyzw"":[-0.031615,-0.017802,-0.135958,0.99005],""pnp_camera_rpy_deg"":[-3.314476,-2.512962,-15.565654],""pnp_reprojection_error_px"":0.037986}]",1,0.011276,162.03006,91.858385,0.000047,6,air,1,0.169119,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.525398+00:00,83433.809063089,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.001231,7,1786610658.490822554,pool_world,"[0.5864185872507693,0.2114674862979078,1.0748573363456286]","[0.6037767598660091,0.7967452390851538,0.0009559254055625077,-0.025489889122231945]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.001071,7,1,"[15,16]","[0.422554,1.035981,-0.269375]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.77478,""pixel_xy"":[903.95926,212.550614],""world_xy_yaw"":[0.393052,1.105488,-0.269429],""pnp_valid"":true,""pnp_camera_xyz"":[0.525046,-0.322789,1.288216],""pnp_camera_quat_xyzw"":[-0.026515,-0.015997,-0.137252,0.990052],""pnp_camera_rpy_deg"":[-2.759688,-2.232482,-15.731601],""pnp_reprojection_error_px"":0.020801},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.261826,""pixel_xy"":[921.520424,269.523736],""world_xy_yaw"":[0.422554,1.035981,-0.269375],""pnp_valid"":true,""pnp_camera_xyz"":[0.562991,-0.186512,1.279952],""pnp_camera_quat_xyzw"":[-0.031158,-0.017685,-0.136218,0.990031],""pnp_camera_rpy_deg"":[-3.26361,-2.493451,-15.597175],""pnp_reprojection_error_px"":0.042775}]",1,0.042775,163.261826,93.027974,0.000873,7,air,1,0.172716,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.574697+00:00,83433.858369437,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000188,9,1786610658.561148882,pool_world,"[0.5864012383715549,0.2114989152015207,1.0748573363456286]","[0.6038472125396873,0.7966974545843034,0.0009462517724578024,-0.025314311654177662]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000122,9,1,"[15,16]","[0.393082,1.105487,-0.269707]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.002518,""pixel_xy"":[903.977426,212.551338],""world_xy_yaw"":[0.393082,1.105487,-0.269707],""pnp_valid"":true,""pnp_camera_xyz"":[0.525028,-0.322767,1.288119],""pnp_camera_quat_xyzw"":[-0.027148,-0.016175,-0.137215,0.990037],""pnp_camera_rpy_deg"":[-2.82892,-2.262501,-15.725497],""pnp_reprojection_error_px"":0.018604},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.107254,""pixel_xy"":[921.513657,269.538065],""world_xy_yaw"":[0.422543,1.035964,-0.269014],""pnp_valid"":true,""pnp_camera_xyz"":[0.562784,-0.186455,1.279514],""pnp_camera_quat_xyzw"":[-0.031515,-0.017582,-0.136195,0.990024],""pnp_camera_rpy_deg"":[-3.305917,-2.487262,-15.593968],""pnp_reprojection_error_px"":0.054234}]",1,0.018604,162.002518,91.855016,0.000046,9,air,1,0.170945,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.624737+00:00,83433.908408272,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000747,10,1786610658.591660023,pool_world,"[0.5864517233501089,0.21146485766004836,1.0748573363456286]","[0.6037795589124424,0.7967397697542824,0.0009829421711583276,-0.025593306860934036]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000635,10,1,"[15,16]","[0.393054,1.105502,-0.268991]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.50946,""pixel_xy"":[903.960739,212.53905],""world_xy_yaw"":[0.393054,1.105502,-0.268991],""pnp_valid"":true,""pnp_camera_xyz"":[0.525224,-0.322891,1.288623],""pnp_camera_quat_xyzw"":[-0.026109,-0.016261,-0.137059,0.990085],""pnp_camera_rpy_deg"":[-2.709948,-2.255501,-15.709519],""pnp_reprojection_error_px"":0.01681},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":163.032333,""pixel_xy"":[921.517465,269.544441],""world_xy_yaw"":[0.422549,1.035956,-0.26963],""pnp_valid"":true,""pnp_camera_xyz"":[0.562803,-0.186457,1.279542],""pnp_camera_quat_xyzw"":[-0.031005,-0.017617,-0.136499,0.989998],""pnp_camera_rpy_deg"":[-3.24656,-2.48433,-15.630217],""pnp_reprojection_error_px"":0.057462}]",1,0.01681,163.50946,90.691518,0.000531,10,air,1,0.170672,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.674775+00:00,83433.958447078,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000182,12,1786610658.658495188,pool_world,"[0.5863130516049149,0.21152984829019977,1.0748573363456286]","[0.6038951665136979,0.7966705590108704,0.0007811712314463021,-0.02502075215111629]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000118,12,1,"[15,16]","[0.393058,1.105483,-0.269734]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.348862,""pixel_xy"":[903.963296,212.555304],""world_xy_yaw"":[0.393058,1.105483,-0.269734],""pnp_valid"":true,""pnp_camera_xyz"":[0.524865,-0.322673,1.287817],""pnp_camera_quat_xyzw"":[-0.02763,-0.015813,-0.137106,0.990045],""pnp_camera_rpy_deg"":[-2.889566,-2.228615,-15.712684],""pnp_reprojection_error_px"":0.014378},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":160.617645,""pixel_xy"":[921.508379,269.521454],""world_xy_yaw"":[0.422534,1.035984,-0.269244],""pnp_valid"":true,""pnp_camera_xyz"":[0.56267,-0.186421,1.279285],""pnp_camera_quat_xyzw"":[-0.031944,-0.017947,-0.136179,0.990007],""pnp_camera_rpy_deg"":[-3.349056,-2.535316,-15.590008],""pnp_reprojection_error_px"":0.043103}]",1,0.014378,162.348862,91.112904,0.000046,12,air,1,0.167617,air_pinhole_pose_pressure_depth_z
2026-08-13T08:44:18.724711+00:00,83434.008381882,sway_refracted_p0075_passive,0,"[0.0,0.0,0.0,0.0]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000723,13,1786610658.691589594,pool_world,"[0.5862923504774674,0.2114435666706252,1.0748573363456286]","[0.6038339940451961,0.7967074551193203,0.0008452232437703505,-0.0253184555293228]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000614,13,1,"[15,16]","[0.422541,1.035954,-0.270025]","[{""tag_id"":15,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":161.576111,""pixel_xy"":[903.958093,212.551619],""world_xy_yaw"":[0.39305,1.105487,-0.26976],""pnp_valid"":true,""pnp_camera_xyz"":[0.525007,-0.322772,1.288194],""pnp_camera_quat_xyzw"":[-0.02705,-0.015897,-0.137102,0.99006],""pnp_camera_rpy_deg"":[-2.822411,-2.229091,-15.713283],""pnp_reprojection_error_px"":0.012729},{""tag_id"":16,""target_match"":true,""family"":""tag25h9"",""hamming"":0,""decision_margin"":162.211273,""pixel_xy"":[921.51242,269.545513],""world_xy_yaw"":[0.422541,1.035954,-0.270025],""pnp_valid"":true,""pnp_camera_xyz"":[0.562543,-0.186363,1.279049],""pnp_camera_quat_xyzw"":[-0.031771,-0.017936,-0.136328,0.989992],""pnp_camera_rpy_deg"":[-3.329129,-2.531928,-15.607726],""pnp_reprojection_error_px"":0.043073}]",1,0.043073,162.211273,92.143126,0.000514,13,air,1,0.167757,air_pinhole_pose_pressure_depth_z
