host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-13T08:44:36.186324+00:00,83451.469600,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-13T08:44:36.237163+00:00,83451.520161,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33353,1667700,1,0,1,1,0,1,0,2007822035,0,14641,83451469,1697,1,-1.0793213,-0.0024023,"[0.8573924899101257,-0.028875989839434624,0.022009994834661484,-0.5133808255195618]","[-0.0032297319266945124,-0.00041123447590507567,-0.0024023407604545355]","[-0.06310699880123138,-0.6978359818458557,9.73729133605957]",0.2140490,2097.680,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:44:36.288864+00:00,83451.571118,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33354,1667750,1,0,1,1,0,1,0,2007822035,1,64173,83451520,1698,1,-1.0793335,-0.0015944,"[0.8573880791664124,-0.028912978246808052,0.02201998233795166,-0.5133855938911438]","[-0.0020077917724847794,0.00042294568265788257,-0.0015944280894473195]","[-0.09191799908876419,-0.7050870060920715,9.778645515441895]",0.2140513,2097.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:44:36.340156+00:00,83451.623024,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33355,1667800,1,0,1,1,0,1,0,2007822035,2,8584,83451572,1699,1,-1.0793628,-0.0012138,"[0.8573796153068542,-0.028944969177246094,0.022033976390957832,-0.5133975148200989]","[-0.004033700563013554,0.0012729907175526023,-0.0012138417223468423]","[-0.095100998878479,-0.7034199833869934,9.781784057617188]",0.2140513,2097.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:44:36.391663+00:00,83451.674116,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33356,1667850,1,0,1,1,0,1,0,2007822035,3,52370,83451623,1700,1,-1.0793211,-0.0012065,"[0.8573891520500183,-0.028977978974580765,0.02205798402428627,-0.5133786201477051]","[-0.002815530402585864,0.001265119295567274,-0.0012064587790519]","[-0.063120998442173,-0.7190989851951599,9.710416793823242]",0.2140513,2097.703,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:44:36.442758+00:00,83451.725698,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33357,1667900,1,0,1,1,0,1,0,2007822035,4,22735,83451675,1701,1,-1.0793128,-0.0023925,"[0.8573904037475586,-0.029002973809838295,0.022070977836847305,-0.5133745074272156]","[-0.0016054933657869697,-0.0004217239038553089,-0.002392479917034507]","[-0.058375999331474304,-0.7206509709358215,9.715292930603027]",0.2139884,2097.086,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:44:36.494756+00:00,83451.776708,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33358,1667950,1,0,1,1,0,1,0,2007822035,5,2590,83451726,1702,1,-1.0793209,-0.0016018,"[0.857387363910675,-0.02903297357261181,0.02207998000085354,-0.5133775472640991]","[-0.0020052960608154535,0.0008388401474803686,-0.0016017933376133442]","[-0.08869600296020508,-0.6938030123710632,9.78331470489502]",0.2139884,2097.086,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
2026-08-13T08:44:36.547104+00:00,83451.828983,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33359,1668000,1,0,1,1,0,1,0,2007822035,6,825,83451777,1703,1,-1.0793265,-0.0036400,"[0.8573854565620422,-0.02904699184000492,0.022083992138504982,-0.5133798122406006]","[-0.00200227671302855,0.0008131313952617347,-0.0036399713717401028]","[-0.06475900113582611,-0.7172430157661438,9.726361274719238]",0.2139565,2096.773,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:44:36.599308+00:00,83451.881301,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33360,1668050,1,0,1,1,0,1,0,2007822035,6,825,83451777,1703,1,-1.0793228,-0.0012015,"[0.8573861718177795,-0.029052982106804848,0.022121982648968697,-0.5133766531944275]","[-0.002003411063924432,0.0012598660541698337,-0.0012015370884910226]","[-0.08874399960041046,-0.7050769925117493,9.780281066894531]",0.2139565,2096.773,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",240,1,1
2026-08-13T08:44:36.651642+00:00,83451.933541,cycle_1_neutral_before_blocked,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,33361,1668100,1,0,1,1,0,1,0,2007822035,7,34810,83451830,1704,1,-1.0793420,-0.0024097,"[0.8573811650276184,-0.0290529802441597,0.022153984755277634,-0.5133836269378662]","[-0.0007859218749217689,0.0008206887287087739,-0.0024096714332699776]","[-0.07277800142765045,-0.7169129848480225,9.74545669555664]",0.2139565,2096.773,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",255,1,1
