host_time_utc,host_monotonic_s,phase,requested_armed,requested_channels_forward_right_down_yaw,sent,transport_open,session_confirmed,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,command_count,rejected_command_count,round_trip_ms,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,yaw_rad,yaw_rate_rad_s,depth_m,pressure_pa,received_channels_forward_right_down_yaw,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available,vision_fresh,vision_age_s,vision_count,vision_stamp_s,vision_frame_id,vision_position_xyz_m,vision_quat_xyzw,vision_covariance_diag,vision_status_age_s,vision_status_count,vision_detected,vision_detected_ids,vision_pnp_valid,vision_pnp_reprojection_error_px,vision_decision_margin,vision_detection_fps,refracted_status_age_s,refracted_status_count,refracted_mode,refracted_valid,refracted_residual_m,refracted_reject_reason
2026-08-11T09:56:43.720544+00:00,1229599.188239879,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,"[NaN,NaN,NaN]","[NaN,NaN,NaN,NaN]","[NaN,NaN,NaN,NaN,NaN,NaN]",,0,0,[],0,,,,,0,,0,,
2026-08-11T09:56:43.771147+00:00,1229599.238524405,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,0,1,0.000000,4826,241351,1,0,0,1,0,752342020,104,28034,62,0,,"[-0.3759443759918213,0.015022016130387783,-0.03036302886903286,0.9260228276252747]","[0.0004174129571765661,-0.001027841935865581,7.6672324212268e-05]","[-0.012288999743759632,-0.6518620252609253,9.82275676727295]",-2.37012672,7.66723242e-05,0.00285714259,28,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.000050,1,1786442203.736364126,pool_world,"[0.8312003569039008,-0.7123169821739721,1.0949097671395471]","[0.4721652132170538,0.8814919267352255,0.0030108814570871576,0.004788436192074275]","[0.05,0.05,0.05,0.2,0.2,0.2]",,0,0,[],0,,,,,0,,0,,
2026-08-11T09:56:43.821686+00:00,1229599.288456273,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4827,241401,1,0,0,1,0,3304843504,0,62033,63,0,101,"[-0.37582218647003174,0.015041007660329342,-0.030293013900518417,0.9260743856430054]","[-0.003244444727897644,-0.001597238122485578,0.002511389320716262]","[0.027612999081611633,-0.652692973613739,9.780848503112793]",-2.37038898,0.00251138932,0.00293207914,28.734375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.049982,1,1786442203.736364126,pool_world,"[0.8312003569039008,-0.7123169821739721,1.0949097671395471]","[0.4721652132170538,0.8814919267352255,0.0030108814570871576,0.004788436192074275]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000156,1,1,"[15,16]",1,0.074809,153.571701,96.030205,,0,,0,,
2026-08-11T09:56:43.871466+00:00,1229599.338373125,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4828,241451,1,0,0,1,0,3304843504,0,62033,63,0,101,"[-0.3757101893424988,0.015107007697224617,-0.03024301491677761,0.926120400428772]","[-0.000815557490568608,-0.002860646927729249,0.0025482680648565292]","[0.07150500267744064,-0.6536039710044861,9.734989166259766]",-2.37062573,0.00254826806,0.00293207914,28.734375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.099899,1,1786442203.736364126,pool_world,"[0.8312003569039008,-0.7123169821739721,1.0949097671395471]","[0.4721652132170538,0.8814919267352255,0.0030108814570871576,0.004788436192074275]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.050073,1,1,"[15,16]",1,0.074809,153.571701,96.030205,0.000125,1,air,1,0.203961,air_pinhole_pose_pressure_depth_z
2026-08-11T09:56:43.921590+00:00,1229599.388165015,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4829,241501,1,0,0,1,0,3304843504,0,62033,63,0,101,"[-0.37557220458984375,0.01516800932586193,-0.03020501509308815,0.9261766076087952]","[-0.0014265623176470399,-0.00349598191678524,0.0013327335473150015]","[0.08113899827003479,-0.6491299867630005,9.715843200683594]",-2.37091875,0.00133273355,0.00287786988,28.203125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.149691,1,1786442203.736364126,pool_world,"[0.8312003569039008,-0.7123169821739721,1.0949097671395471]","[0.4721652132170538,0.8814919267352255,0.0030108814570871576,0.004788436192074275]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.099865,1,1,"[15,16]",1,0.074809,153.571701,96.030205,0.049917,1,air,1,0.203961,air_pinhole_pose_pressure_depth_z
2026-08-11T09:56:43.971835+00:00,1229599.438846896,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4830,241551,1,0,0,1,0,3304843504,0,62033,63,0,101,"[-0.37542304396629333,0.015239003114402294,-0.03016800433397293,0.926237165927887]","[-0.000819414621219039,-0.00413917051628232,0.0001245816092705354]","[0.09787700325250626,-0.6543110013008118,9.696921348571777]",-2.37123537,0.000124581609,0.00287786988,28.203125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.000066,2,1786442203.768058777,pool_world,"[0.8312619776307691,-0.7123158807028258,1.0949097671395471]","[0.4722351454836908,0.8814557445134132,0.002718908107882989,0.004727089273838775]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.150547,1,1,"[15,16]",1,0.074809,153.571701,96.030205,0.100599,1,air,1,0.203961,air_pinhole_pose_pressure_depth_z
2026-08-11T09:56:44.021510+00:00,1229599.488406186,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4831,241601,1,0,0,1,0,3304843504,4,56866,64,0,100,"[-0.37526020407676697,0.015302008017897606,-0.030154014006257057,0.9263024926185608]","[-0.0038564621936529875,-0.0028795315884053707,-0.000527438533026725]","[0.10748600214719772,-0.644806981086731,9.692094802856445]",-2.37158155,-0.000527438533,0.00286830356,28.109375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.049625,2,1786442203.768058777,pool_world,"[0.8312619776307691,-0.7123158807028258,1.0949097671395471]","[0.4722351454836908,0.8814557445134132,0.002718908107882989,0.004727089273838775]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.000133,2,1,"[15,16]",1,0.070774,156.358139,95.92785,0.150158,1,air,1,0.203961,air_pinhole_pose_pressure_depth_z
2026-08-11T09:56:44.072011+00:00,1229599.538443665,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4832,241651,1,0,0,1,0,3304843504,5,40815,65,0,100,"[-0.3751053214073181,0.015368013642728329,-0.030170025303959846,0.9263636469841003]","[-0.003239016979932785,-0.0016434892313554883,-0.001157310325652361]","[0.13126899302005768,-0.6593859791755676,9.690184593200684]",-2.37191057,-0.00115731033,0.00286830356,28.109375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.099662,2,1786442203.768058777,pool_world,"[0.8312619776307691,-0.7123158807028258,1.0949097671395471]","[0.4722351454836908,0.8814557445134132,0.002718908107882989,0.004727089273838775]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.050170,2,1,"[15,16]",1,0.070774,156.358139,95.92785,0.000156,2,air,1,0.20433,air_pinhole_pose_pressure_depth_z
2026-08-11T09:56:44.121427+00:00,1229599.588151086,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4833,241701,1,0,0,1,0,3304843504,5,40815,65,0,100,"[-0.3749481737613678,0.015411007218062878,-0.0301740150898695,0.9264264106750488]","[-0.0020169897470623255,-0.0003728372394107282,0.0012737413635477424]","[0.1479479968547821,-0.6544679999351501,9.70229721069336]",-2.37224603,0.00127374136,0.00293686218,28.78125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.149370,2,1786442203.768058777,pool_world,"[0.8312619776307691,-0.7123158807028258,1.0949097671395471]","[0.4722351454836908,0.8814557445134132,0.002718908107882989,0.004727089273838775]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.099878,2,1,"[15,16]",1,0.070774,156.358139,95.92785,0.049864,2,air,1,0.20433,air_pinhole_pose_pressure_depth_z
2026-08-11T09:56:44.172726+00:00,1229599.639165672,v4_depth_down_10cm,0,"[0.0,0.0,0.0,0.0]",1,1,1,1,0.000000,4834,241751,1,0,0,1,0,3304843504,7,62693,66,0,101,"[-0.37479332089424133,0.015412013977766037,-0.030181026086211205,0.9264888167381287]","[-0.0013968219282105565,0.0008400444057770073,-0.0011904716957360506]","[0.13838200271129608,-0.6592350006103516,9.70225715637207]",-2.37257981,-0.0011904717,0.00291613513,28.578125,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1,1,0.000100,3,1786442203.808465242,pool_world,"[0.8313853080177046,-0.7124886020073193,1.0949097671395471]","[0.47230573276179016,0.8814166521071894,0.0029243796233215376,0.004840267794366706]","[0.05,0.05,0.05,0.2,0.2,0.2]",0.150892,2,1,"[15,16]",1,0.070774,156.358139,95.92785,0.100878,2,air,1,0.20433,air_pinhole_pose_pressure_depth_z
