host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T09:58:46.768040+00:00,1229722.235772,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T09:58:46.819317+00:00,1229722.286135,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,7287,364401,1,0,1,1,0,1,0,3304843504,404,25807,1229619394,296,0,-2.6663370,0.0215106,"[-0.23509399592876434,0.0128720011562109,-0.031675003468990326,0.9713711142539978]","[-0.0032874150201678276,-0.0038535299245268106,0.021510642021894455]","[0.1525530070066452,-0.6759189963340759,9.717059135437012]",0.0029161,28.578,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:46.871255+00:00,1229722.337714,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7288,364451,1,0,1,1,0,1,0,2102884816,0,42774,1229722235,297,0,-2.6653304,0.0221294,"[-0.23557829856872559,0.013007016852498055,-0.031702037900686264,0.9712510704994202]","[-0.0045114667154848576,-0.004669750574976206,0.022129448130726814]","[0.1087300032377243,-0.6695669889450073,9.751643180847168]",0.0029161,28.578,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:46.922901+00:00,1229722.389733,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7289,364501,1,0,1,1,0,1,0,2102884816,0,42774,1229722235,297,0,-2.6642957,0.0221589,"[-0.23607607185840607,0.01315100397914648,-0.03173401206731796,0.9711272716522217]","[-0.004521432798355818,-0.006333311088383198,0.022158944979310036]","[0.0686739981174469,-0.6885730028152466,9.807435989379883]",0.0029640,29.047,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:46.974887+00:00,1229722.441268,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7290,364551,1,0,1,1,0,1,0,2102884816,0,42774,1229722235,297,0,-2.6632354,0.0227372,"[-0.2365860790014267,0.013298003934323788,-0.031730011105537415,0.9710012674331665]","[-0.0026801449712365866,-0.003842045785859227,0.02273724228143692]","[0.04965199902653694,-0.6739799976348877,9.811800956726074]",0.0030022,29.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:47.026936+00:00,1229722.493299,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7291,364601,1,0,1,1,0,1,0,2102884816,3,44932,1229722390,298,0,-2.6621900,0.0221000,"[-0.23708918690681458,0.01343501079827547,-0.03172102943062782,0.970876932144165]","[-0.0032808524556457996,-0.0025981494691222906,0.022099969908595085]","[0.04248800128698349,-0.6739100217819214,9.814115524291992]",0.0030022,29.422,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:47.079020+00:00,1229722.545420,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7292,364651,1,0,1,1,0,1,0,2102884816,3,44932,1229722390,298,0,-2.6611040,0.0233487,"[-0.23761209845542908,0.01356600597500801,-0.03171301260590553,0.9707475304603577]","[-0.002681052777916193,-0.0038343314081430435,0.02334868162870407]","[0.03522200137376785,-0.6832420229911804,9.830961227416992]",0.0030110,29.508,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:47.130695+00:00,1229722.597509,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7293,364701,1,0,1,1,0,1,0,2102884816,3,44932,1229722390,298,0,-2.6600201,0.0233487,"[-0.2381351739168167,0.01367001049220562,-0.03168702498078346,0.9706187844276428]","[-0.002681052777916193,-0.0038343314081430435,0.02334868162870407]","[0.020979000255465508,-0.6736279726028442,9.825860023498535]",0.0030110,29.508,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:47.182235+00:00,1229722.649035,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7294,364751,1,0,1,1,0,1,0,2102884816,6,21232,1229722546,299,0,-2.6588757,0.0245458,"[-0.23868821561336517,0.013752013444900513,-0.03165002912282944,0.9704829454421997]","[-0.002063817111775279,-0.0021592690609395504,0.024545788764953613]","[0.03855900093913078,-0.6732730269432068,9.802067756652832]",0.0029672,29.078,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:58:47.233668+00:00,1229722.700568,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,7295,364801,1,0,1,1,0,1,0,2102884816,6,21232,1229722546,299,0,-2.6577110,0.0245126,"[-0.2392541766166687,0.013754010200500488,-0.031613025814294815,0.9703447818756104]","[-0.0014422876993194222,-8.372344746021554e-05,0.024512624368071556]","[0.054621998220682144,-0.6674820184707642,9.76618480682373]",0.0029672,29.078,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
