host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T10:11:53.798738+00:00,1230509.266467,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T10:11:53.849615+00:00,1230509.316844,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,12494,624751,1,0,1,1,0,1,0,79705716,128,65392,1230459399,749,0,-4.1591673,0.0145633,"[0.48669812083244324,-0.020426003262400627,-0.028681008145213127,0.872860312461853]","[-0.017850739881396294,0.003642118303105235,0.014563323929905891]","[-0.16271400451660156,-0.7046020030975342,9.788219451904297]",0.0002918,2.859,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:53.900855+00:00,1230509.367853,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12495,624801,1,0,1,1,0,1,0,1396667,0,2955,1230509266,750,0,-4.1585975,0.0139445,"[0.48643913865089417,-0.02066800743341446,-0.028945010155439377,0.8729902505874634]","[-0.017237013205885887,0.004254309926182032,0.013944500125944614]","[-0.17219099402427673,-0.7072939872741699,9.766561508178711]",0.0000574,0.562,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:53.952313+00:00,1230509.419126,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12496,624851,1,0,1,1,0,1,0,1396667,0,2955,1230509266,750,0,-4.1580577,0.0133552,"[0.48619329929351807,-0.02091101184487343,-0.02918301708996296,0.8731135129928589]","[-0.015412583947181702,0.0036109467037022114,0.013355189934372902]","[-0.1347460001707077,-0.7266650199890137,9.717700958251953]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:54.004268+00:00,1230509.470687,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12497,624901,1,0,1,1,0,1,0,1396667,2,38219,1230509368,751,0,-4.1575089,0.0133995,"[0.48594313859939575,-0.021160002797842026,-0.02937900461256504,0.8732401728630066]","[-0.011765526607632637,0.0023396662436425686,0.01339946873486042]","[-0.09329099953174591,-0.7306249737739563,9.681453704833984]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:54.055595+00:00,1230509.522703,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12498,624951,1,0,1,1,0,1,0,1396667,2,38219,1230509368,751,0,-4.1568894,0.0151675,"[0.4856623709201813,-0.021402014419436455,-0.029553020372986794,0.8733845949172974]","[-0.01174583937972784,0.006105842534452677,0.015167471021413803]","[-0.08624099940061569,-0.7572630047798157,9.672331809997559]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:54.107432+00:00,1230509.573869,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12499,625001,1,0,1,1,0,1,0,1396667,4,7024,1230509471,752,0,-4.1562052,0.0157753,"[0.4853522479534149,-0.02166501060128212,-0.029644014313817024,0.8735474348068237]","[-0.00869385153055191,0.007341570686548948,0.015775280073285103]","[-0.07903099805116653,-0.7550740242004395,9.660387992858887]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:54.159041+00:00,1230509.625843,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12500,625051,1,0,1,1,0,1,0,1396667,5,59030,1230509523,753,0,-4.1554427,0.0182248,"[0.48500728607177734,-0.021951012313365936,-0.029653016477823257,0.8737315535545349]","[-0.00442639971151948,0.008592570200562477,0.018224814906716347]","[-0.0671050027012825,-0.7551289796829224,9.66052532196045]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:54.210986+00:00,1230509.677389,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12501,625101,1,0,1,1,0,1,0,1396667,6,58619,1230509575,754,0,-4.1546111,0.0182568,"[0.48463329672813416,-0.022202013060450554,-0.029601017013192177,0.8739344477653503]","[-0.002809631172567606,0.0073343971744179726,0.018256789073348045]","[-0.07120200246572495,-0.7611460089683533,9.685354232788086]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:11:54.263533+00:00,1230509.729492,cycle_1_neutral_before,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,12502,625151,1,0,1,1,0,1,0,1396667,7,62315,1230509626,755,0,-4.1537719,0.0198800,"[0.48425811529159546,-0.022404007613658905,-0.029484009370207787,0.8741412162780762]","[-0.00036822957918047905,0.008586915209889412,0.019879981875419617]","[-0.058455999940633774,-0.7596740126609802,9.680683135986328]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
