host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T09:53:00.431043+00:00,1229375.898679,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T09:53:00.481370+00:00,1229375.948574,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,360,18051,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.1030242,-0.0059752,"[-0.0190420038998127,0.007515001576393843,-0.03328700736165047,0.9992361664772034]","[0.0004053003794979304,-0.0046400451101362705,-0.005975170060992241]","[0.060780998319387436,-0.6666439771652222,9.823016166687012]",0.0006154,6.031,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.532194+00:00,1229375.998520,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,361,18101,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.1034019,-0.0060747,"[-0.018851017579436302,0.007592007517814636,-0.03320702910423279,0.9992418885231018]","[-0.000171408784808591,0.0007704931194894016,-0.006074706092476845]","[0.08562900125980377,-0.6528630256652832,9.787915229797363]",0.0006154,6.031,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.582168+00:00,1229376.048537,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,362,18151,1,0,1,1,0,1,0,752342020,1,6661,1229375949,1,0,-3.1037939,-0.0036326,"[-0.018656019121408463,0.00757600786164403,-0.0331360325217247,0.9992480278015137]","[0.0010468659456819296,0.0014173120725899935,-0.003632571315392852]","[0.10718800127506256,-0.6484439969062805,9.76890754699707]",0.0009120,8.938,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.632162+00:00,1229376.098529,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,363,18201,1,0,1,1,0,1,0,752342020,1,6661,1229375949,1,0,-3.1041706,-0.0037284,"[-0.0184710044413805,0.007491002324968576,-0.03307100757956505,0.9992542266845703]","[-0.00014142402505967766,0.006415900308638811,-0.003728424897417426]","[0.12629899382591248,-0.6560410261154175,9.750048637390137]",0.0009120,8.938,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.682181+00:00,1229376.148535,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,364,18251,1,0,1,1,0,1,0,752342020,3,51702,1229376049,2,0,-3.1045489,-0.0049440,"[-0.01828601397573948,0.007371005602180958,-0.03303302824497223,0.9992597699165344]","[-0.0007524289540015161,0.005780565552413464,-0.004943959414958954]","[0.15269699692726135,-0.6470170021057129,9.719034194946289]",0.0011767,11.531,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.732192+00:00,1229376.198530,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,365,18301,1,0,1,1,0,1,0,752342020,4,2221,1229376099,3,0,-3.1049237,-0.0057666,"[-0.018103010952472687,0.00724100461229682,-0.03301502391695976,0.999264657497406]","[-0.001969394739717245,0.005778156686574221,-0.005766620393842459]","[0.19801700115203857,-0.6562539935112,9.706096649169922]",0.0011767,11.531,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.781213+00:00,1229376.248514,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,366,18351,1,0,1,1,0,1,0,752342020,5,29833,1229376149,4,0,-3.1053042,-0.0049476,"[-0.017917003482580185,0.007113001774996519,-0.0330050066113472,0.9992692470550537]","[-0.0013615139760077,0.00578450970351696,-0.004947642330080271]","[0.21953700482845306,-0.6598650217056274,9.686408042907715]",0.0014094,13.812,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.831698+00:00,1229376.298512,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,367,18401,1,0,1,1,0,1,0,752342020,6,35383,1229376199,5,0,-3.1057167,-0.0061632,"[-0.017715012654662132,0.006984005682170391,-0.03300602734088898,0.9992737770080566]","[-0.0019725363235920668,0.005149174947291613,-0.0061631943099200726]","[0.21952800452709198,-0.6598280072212219,9.68880558013916]",0.0014094,13.812,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.881181+00:00,1229376.348510,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,368,18451,1,0,1,1,0,1,0,752342020,6,35383,1229376199,5,0,-3.1061473,-0.0073861,"[-0.017504004761576653,0.0068550026044249535,-0.03300300985574722,0.9992784857749939]","[-0.001970721175894141,0.005133746657520533,-0.007386093493551016]","[0.21713900566101074,-0.6573389768600464,9.6935396194458]",0.0016311,15.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.932174+00:00,1229376.398524,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,369,18501,1,0,1,1,0,1,0,752342020,8,12880,1229376299,6,0,-3.1066678,-0.0074045,"[-0.017248010262846947,0.006725003942847252,-0.03300601989030838,0.9992836713790894]","[-0.0031851560343056917,0.005765451118350029,-0.0074045415967702866]","[0.19563399255275726,-0.6595349907875061,9.700520515441895]",0.0016311,15.984,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:00.981770+00:00,1229376.448577,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,370,18551,1,0,1,1,0,1,0,752342020,8,12880,1229376299,6,0,-3.1071949,-0.0086164,"[-0.016988003626465797,0.006615001708269119,-0.0329970084130764,0.9992892146110535]","[-0.003187076188623905,0.005126189440488815,-0.008616376668214798]","[0.18131500482559204,-0.6446700096130371,9.724125862121582]",0.0017730,17.375,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.031865+00:00,1229376.498522,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,371,18601,1,0,1,1,0,1,0,752342020,8,12880,1229376299,6,0,-3.1077306,-0.0074537,"[-0.016725001856684685,0.006464000325649977,-0.03301400691270828,0.9992940425872803]","[-0.0039823357947170734,0.008266053162515163,-0.007453689817339182]","[0.13106000423431396,-0.6469990015029907,9.765961647033691]",0.0017427,17.078,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.082071+00:00,1229376.548580,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,372,18651,1,0,1,1,0,1,0,752342020,8,12880,1229376299,6,0,-3.1082995,-0.0075078,"[-0.016447005793452263,0.006264002062380314,-0.033034007996320724,0.9992992877960205]","[-0.005591633729636669,0.010771910659968853,-0.007507778238505125]","[0.07125400006771088,-0.6402199864387512,9.823546409606934]",0.0017427,17.078,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.131519+00:00,1229376.598516,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,373,18701,1,0,1,1,0,1,0,752342020,8,12880,1229376299,6,0,-3.1088347,-0.0069295,"[-0.016188008710741997,0.005994003266096115,-0.03308301791548729,0.9993035197257996]","[-0.005581336095929146,0.012651141732931137,-0.006929498631507158]","[0.03788299858570099,-0.6376969814300537,9.82072639465332]",0.0015944,15.625,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.181900+00:00,1229376.648577,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,374,18751,1,0,1,1,0,1,0,752342020,8,12880,1229376299,6,0,-3.1093564,-0.0063697,"[-0.015938004478812218,0.005655001383274794,-0.03315301239490509,0.9993072152137756]","[-0.006785491015762091,0.015162094496190548,-0.006369667127728462]","[0.018806999549269676,-0.6351670026779175,9.822869300842285]",0.0015944,15.625,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.231541+00:00,1229376.698519,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,375,18801,1,0,1,1,0,1,0,752342020,14,12456,1229376599,7,0,-3.1098411,-0.0064102,"[-0.015708014369010925,0.005269004963338375,-0.03324303403496742,0.9993099570274353]","[-0.007992456667125225,0.017041483893990517,-0.006410227622836828]","[-0.00034199998481199145,-0.6446279883384705,9.827587127685547]",0.0013736,13.461,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.281959+00:00,1229376.748584,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,376,18851,1,0,1,1,0,1,0,752342020,15,25322,1229376649,8,0,-3.1103206,-0.0052242,"[-0.015483004041016102,0.004814001265913248,-0.03334801271557808,0.9993122816085815]","[-0.006761161144822836,0.019544389098882675,-0.005224172025918961]","[-0.02415899932384491,-0.639743983745575,9.824840545654297]",0.0013736,13.461,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.332186+00:00,1229376.798531,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,377,18901,1,0,1,1,0,1,0,752342020,15,25322,1229376649,8,0,-3.1107616,-0.0052758,"[-0.015279008075594902,0.00431000255048275,-0.03344001621007919,0.9993146657943726]","[-0.006743725389242172,0.022455649450421333,-0.005275781732052565]","[-0.015394999645650387,-0.6636469960212708,9.785313606262207]",0.0010730,10.516,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T09:53:01.381277+00:00,1229376.848573,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,378,18951,1,0,1,1,0,1,0,752342020,17,20186,1229376749,9,0,-3.1111758,-0.0028152,"[-0.015090009197592735,0.003760002087801695,-0.03353402018547058,0.9993165731430054]","[-0.003700674045830965,0.02267477661371231,-0.002815198851749301]","[0.01410400029271841,-0.6649630069732666,9.760883331298828]",0.0010730,10.516,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
