host_time_utc,host_monotonic_s,phase,requested_forward,requested_right,requested_down,requested_yaw,requested_motor_index,requested_motor_throttle,requested_armed,sent,transport_open,session_confirmed,armed_confirmation_fresh,telemetry_fresh,telemetry_age_s,telemetry_sequence,mcu_tick_ms,state,telemetry_armed,telemetry_mpc_direct,telemetry_yaw_direct,telemetry_failsafe,command_status,reject_flags,last_command_session,last_command_sequence,last_command_crc,last_command_sender_time_ms,command_count,rejected_command_count,yaw_rad,yaw_rate_rad_s,imu_quat_wxyz,imu_angular_velocity_xyz_rad_s,imu_linear_acceleration_xyz_m_s2,depth_m,pressure_pa,received_channels,applied_motor_throttle_m1_m8,motor_rpm_m1_m8,rpm_valid_mask,execution_feedback_valid,rpm_available
2026-08-11T10:01:40.710499+00:00,1229896.178111,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T10:01:40.760732+00:00,1229896.228050,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,232,11651,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.1538668,0.0000103,"[-0.4738292694091797,0.013949008658528328,-0.031226016581058502,0.8799523711204529]","[-0.005053147207945585,0.000879070081282407,1.0262536306981929e-05]","[-0.06466399878263474,-0.6495819687843323,9.798133850097656]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:40.811218+00:00,1229896.277968,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,0,0,1,0.000000,233,11701,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.1538749,0.0000102,"[-0.47382330894470215,0.014025009237229824,-0.031280022114515305,0.8799524903297424]","[-0.0068841371685266495,0.0002670353860594332,1.0245083103654906e-05]","[-0.08624900132417679,-0.6489700078964233,9.831460952758789]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:40.860799+00:00,1229896.328024,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,234,11751,1,0,1,1,0,1,0,2214755596,1,14869,1229896228,1,0,-2.1538744,-0.0005717,"[-0.4738204777240753,0.014123013243079185,-0.03135602921247482,0.8799497485160828]","[-0.0075035193003714085,-0.001608251128345728,-0.0005717175081372261]","[-0.10537699609994888,-0.6511409878730774,9.840867042541504]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:40.910648+00:00,1229896.377957,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,235,11801,1,0,1,1,0,1,0,2214755596,2,41772,1229896278,2,0,-2.1538765,0.0000483,"[-0.4738151729106903,0.014259004034101963,-0.03144201263785362,0.879947304725647]","[-0.010965868830680847,-0.0032418270129710436,4.8275811423081905e-05]","[-0.11722899973392487,-0.6563249826431274,9.812820434570312]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:40.961228+00:00,1229896.428029,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,236,11851,1,0,1,1,0,1,0,2214755596,3,61806,1229896328,3,0,-2.1538980,0.0000139,"[-0.4738013446331024,0.014397011138498783,-0.03154802694916725,0.8799486756324768]","[-0.009326707571744919,-0.000756949360948056,1.3892821698391344e-05]","[-0.11408299952745438,-0.6693140268325806,9.803451538085938]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.010955+00:00,1229896.477964,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,237,11901,1,0,1,1,0,1,0,2214755596,4,39100,1229896378,4,0,-2.1539130,0.0012626,"[-0.4737912118434906,0.014510005712509155,-0.0316610150039196,0.8799482583999634]","[-0.007506224792450666,-0.0015851255739107728,0.0012626235838979483]","[-0.09571799635887146,-0.6664599776268005,9.786029815673828]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.060689+00:00,1229896.527951,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,238,11951,1,0,1,1,0,1,0,2214755596,5,23808,1229896428,5,0,-2.1538997,0.0012368,"[-0.4737935960292816,0.014617018401622772,-0.03177504241466522,0.8799410462379456]","[-0.008107856847345829,-0.0003334975044708699,0.001236810116097331]","[-0.0693499967455864,-0.6745309829711914,9.738475799560547]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.111482+00:00,1229896.577974,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,239,12001,1,0,1,1,0,1,0,2214755596,5,23808,1229896428,5,0,-2.1538589,0.0012479,"[-0.47380825877189636,0.014723007567226887,-0.03188402205705643,0.8799275159835815]","[-0.00628058472648263,-0.00034529593540355563,0.001247892971150577]","[-0.04549799859523773,-0.6844819784164429,9.724503517150879]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.161590+00:00,1229896.628035,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,240,12051,1,0,1,1,0,1,0,2214755596,7,63876,1229896528,6,0,-2.1538336,0.0000029,"[-0.47381728887557983,0.014790010638535023,-0.03199102357029915,0.8799176216125488]","[-0.006271317135542631,0.0008869414450600743,2.8623401249205926e-06]","[-0.03591100126504898,-0.6822670102119446,9.714985847473145]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.211537+00:00,1229896.677980,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,241,12101,1,0,1,1,0,1,0,2214755596,8,18487,1229896579,7,0,-2.1537907,0.0012442,"[-0.4738342761993408,0.014852008782327175,-0.032125018537044525,0.8799025416374207]","[-0.00688968738541007,-0.00034136895556002855,0.0012441928265616298]","[0.011886999942362309,-0.6927440166473389,9.674108505249023]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.261718+00:00,1229896.728073,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,242,12151,1,0,1,1,0,1,0,2214755596,8,18487,1229896579,7,0,-2.1537561,0.0012295,"[-0.47384822368621826,0.014895007945597172,-0.032225023955106735,0.8798906803131104]","[-0.005664047785103321,0.0008984256419353187,0.0012294622138142586]","[0.042899999767541885,-0.6879900097846985,9.679993629455566]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.311608+00:00,1229896.777978,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,243,12201,1,0,1,1,0,1,0,2214755596,8,18487,1229896579,7,0,-2.1537344,0.0006070,"[-0.4738572835922241,0.014913010410964489,-0.032330021262168884,0.8798816204071045]","[-0.005659404676407576,0.0015145618235692382,0.0006069556693546474]","[0.02850399911403656,-0.6924790143966675,9.696684837341309]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.361743+00:00,1229896.828044,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,244,12251,1,0,1,1,0,1,0,2214755596,8,18487,1229896579,7,0,-2.1536951,-0.0000155,"[-0.47387439012527466,0.014921012334525585,-0.032399024814367294,0.8798696994781494]","[-0.0056547620333731174,0.0021306807175278664,-1.5533430996583775e-05]","[0.026033999398350716,-0.692101001739502,9.7206392288208]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.411605+00:00,1229896.877964,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,245,12301,1,0,1,1,0,1,0,2214755596,12,23447,1229896779,8,0,-2.1536698,0.0000508,"[-0.47388553619384766,0.01492201630026102,-0.032446034252643585,0.8798620104789734]","[-0.0020151745993644,-0.0003882659657392651,5.0841445045080036e-05]","[0.006930999923497438,-0.6943820118904114,9.722851753234863]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.461705+00:00,1229896.928044,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,246,12351,1,0,1,1,0,1,0,2214755596,13,13986,1229896829,9,0,-2.1536820,0.0012516,"[-0.47388023138046265,0.014924007467925549,-0.032484013587236404,0.879863440990448]","[-0.0020095198415219784,0.0008748288964852691,0.0012516280403360724]","[-0.009809999726712704,-0.6867219805717468,9.746535301208496]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.511642+00:00,1229896.977973,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,247,12401,1,0,1,1,0,1,0,2214755596,14,5635,1229896879,10,0,-2.1536937,0.0000312,"[-0.4738754332065582,0.014909014105796814,-0.03246702998876572,0.8798668384552002]","[-0.0028223195113241673,0.0004487590922508389,3.1171581213129684e-05]","[-0.06477600336074829,-0.6778039932250977,9.788151741027832]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.561423+00:00,1229897.027964,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,248,12451,1,0,1,1,0,1,0,2214755596,14,5635,1229896879,10,0,-2.1537428,-0.0012089,"[-0.47385522723197937,0.01486800704151392,-0.03244101256132126,0.8798794150352478]","[-0.0007802668260410428,0.0020837835036218166,-0.001208884990774095]","[-0.11503700166940689,-0.6801080107688904,9.831587791442871]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.611645+00:00,1229897.077967,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,249,12501,1,0,1,1,0,1,0,2214755596,16,3388,1229896979,11,0,-2.1537776,0.0012443,"[-0.47384029626846313,0.014854011125862598,-0.03241202235221863,0.8798887133598328]","[0.0004342728352639824,0.002106769708916545,0.001244280138053]","[-0.11743500083684921,-0.6825019717216492,9.83159351348877]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.661700+00:00,1229897.128062,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,250,12551,1,0,1,1,0,1,0,2214755596,16,3388,1229896979,11,0,-2.1538210,0.0000214,"[-0.47382214665412903,0.014823004603385925,-0.032380010932683945,0.8799002170562744]","[0.000436087982961908,0.002091340720653534,2.1380283214966767e-05]","[-0.1269879937171936,-0.6848639845848083,9.831520080566406]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.711638+00:00,1229897.177972,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,251,12601,1,0,1,1,0,1,0,2214755596,16,3388,1229896979,11,0,-2.1538391,-0.0011831,"[-0.4738154113292694,0.014784011989831924,-0.032315026968717575,0.8799068927764893]","[0.0016523381927981973,0.001444225083105266,-0.001183053944259882]","[-0.11738000065088272,-0.6802799701690674,9.819568634033203]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.761698+00:00,1229897.228045,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,252,12651,1,0,1,1,0,1,0,2214755596,19,52469,1229897129,12,0,-2.1538839,-0.0011572,"[-0.47379621863365173,0.014765005558729172,-0.03224001079797745,0.8799203038215637]","[0.0022539531346410513,0.00019261454872321337,-0.0011572405928745866]","[-0.11501099914312363,-0.6949800252914429,9.803021430969238]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.811637+00:00,1229897.277973,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,253,12701,1,0,1,1,0,1,0,2214755596,20,27177,1229897179,13,0,-2.1539099,0.0000730,"[-0.4737863540649414,0.014714010991156101,-0.032152026891708374,0.8799296617507935]","[0.0028599838260561228,-3.8397242860810366e-06,7.302458107005805e-05]","[-0.059881001710891724,-0.6816440224647522,9.748284339904785]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.861613+00:00,1229897.327998,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,254,12751,1,0,1,1,0,1,0,2214755596,20,27177,1229897179,13,0,-2.1539450,-0.0011867,"[-0.4737723171710968,0.014672011137008667,-0.032052021473646164,0.8799416422843933]","[0.0028742430731654167,0.002060186816379428,-0.0011867366265505552]","[-0.0024679999332875013,-0.6777200102806091,9.708105087280273]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.911606+00:00,1229897.377975,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,255,12801,1,0,1,1,0,1,0,2214755596,20,27177,1229897179,13,0,-2.1539810,0.0000583,"[-0.4737584888935089,0.014605015516281128,-0.0319480337202549,0.879953920841217]","[0.002864958019927144,0.0008279318572022021,5.827654240420088e-05]","[0.004780000075697899,-0.6732360124588013,9.688933372497559]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:41.961299+00:00,1229897.427966,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,256,12851,1,0,1,1,0,1,0,2214755596,23,31846,1229897329,14,0,-2.1539793,0.0012922,"[-0.4737613797187805,0.014534012414515018,-0.03183002769947052,0.8799578547477722]","[0.002859425265341997,0.00021952753013465554,0.0012922418536618352]","[0.01434599980711937,-0.6635479927062988,9.696096420288086]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:42.010698+00:00,1229897.477960,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,257,12901,1,0,1,1,0,1,0,2214755596,23,31846,1229897329,14,0,-2.1540012,0.0000767,"[-0.4737541079521179,0.014457004144787788,-0.031738005578517914,0.8799663186073303]","[0.004079410340636969,0.00019622738182079047,7.672467472730204e-05]","[0.04537799954414368,-0.6687219738960266,9.682136535644531]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
2026-08-11T10:01:42.060809+00:00,1229897.528033,disarmed_link,0.0000000,0.0000000,0.0000000,0.0000000,,,0,1,1,1,0,1,0.000000,258,12951,1,0,1,1,0,1,0,2214755596,25,28654,1229897428,15,0,-2.1540058,0.0012369,"[-0.4737553596496582,0.014357010833919048,-0.031644027680158615,0.8799706697463989]","[0.0028780829161405563,0.0033387276344001293,0.0012369498144835234]","[0.026211999356746674,-0.668267011642456,9.705899238586426]",0.0000000,0.000,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0,1,1
